,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,564935683,2490386,-1.0172963,0.16352397,-9.979511,-0.016907044,0.0017986217,0.02242948,51.65459
1,564936945,2490386,-0.88992476,0.09624691,-10.031226,-0.0064417305,-0.003104288,0.009439434,51.61836
2,564938071,2490386,-0.84108305,0.28293478,-9.39407,-0.018052833,-0.013955972,0.012064089,51.74517
3,564939332,2490386,-0.8841787,0.22337902,-9.79037,-0.023088975,-0.0047230474,0.020744104,51.70894
4,564940566,2490386,-1.0939108,0.11731589,-10.196905,-0.008586753,0.0030443338,0.015634686,51.57005
5,564941905,2490386,-0.75680715,0.13263878,-9.589736,-0.013343109,-0.010265467,0.008553445,51.630436
6,564943159,2490386,-1.0199299,0.39432502,-9.562442,-0.019072052,-0.011337979,0.015681317,51.7029
7,564944337,2490386,-0.9232042,0.16304514,-9.902179,-0.016294181,-0.000119908116,0.023235528,51.630436
8,564945569,2490386,-1.0074801,0.07230489,-10.148542,-0.005975421,0.000119908116,0.011218071,51.57005
9,564946832,2490386,-0.761835,0.236188,-9.3318205,-0.017886294,-0.013622895,0.01177098,51.497585
10,564948068,2490386,-0.9533711,0.27437553,-9.816945,-0.021057198,-0.008093798,0.018952144,51.52778
11,564949320,2490386,-1.0230424,0.08020576,-10.081265,-0.011537826,0.0012457122,0.016660567,51.69686
12,564950640,2490386,-0.84299845,0.107739076,-9.7738495,-0.011524502,-0.008306968,0.008413553,51.66063
13,564951896,2490386,-0.93738985,0.36750996,-9.433394,-0.021310337,-0.01219732,0.015741272,51.678745
14,564952811,2490386,-0.9495404,0.21452047,-9.90577,-0.020970598,0.00061952526,0.023208883,51.690823
15,564956509,2490386,-1.1602302,0.9938331,-9.623973,-0.020764088,-0.0047696787,0.01787297,51.648552
16,564961469,2490386,-0.88034797,-0.3406949,-10.107122,-0.021823278,-0.0069613326,0.0068480857,51.455315
17,564962708,2490386,-1.3227965,0.8937555,-9.779356,-0.011777642,-0.0034773354,-0.002478101,51.61836
18,564966390,2490386,-1.3223176,0.13359645,-9.8262825,-0.025300613,-0.0023915009,0.016107658,51.624397
19,564971356,2490386,-1.1484985,-0.061770406,-10.259394,-0.0019718225,0.0044699083,0.017173506,51.74517
20,564973821,2490386,-0.8252813,0.34476504,-9.717107,-0.025280628,-0.012563706,0.027612176,51.727055
21,564977525,2490386,-0.8461109,0.05626374,-9.782948,-0.0075808577,-0.019518377,0.031802297,51.781403
22,564981221,2490386,-0.7699753,0.13215993,-9.625409,-0.007560873,-0.011231394,0.038017534,51.666668
