i,timestamp(ns),T_ch_wrt_par_x(m),T_ch_wrt_par_y(m),T_ch_wrt_par_z(m),roll(rad),pitch(rad),yaw(rad),vel_ch_wrt_par_x(m/s),vel_ch_wrt_par_y(m/s),vel_ch_wrt_par_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s)
593588463292,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.002,0.001,-0.001,-0.0,
593618066603,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.002,-0.0,-0.002,0.0,
593647699295,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,-0.0,0.002,0.001,0.001,0.001,
593687206339,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.001,-0.0,-0.001,
593716832309,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.002,0.003,0.002,0.0,
593746471293,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.002,-0.002,-0.001,0.0,
593786012292,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,0.0,0.0,-0.0,
593815783608,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.002,0.0,-0.001,0.001,
593855366019,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,-0.002,-0.002,0.0,
593885077421,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,0.002,0.001,0.0,
593914811544,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.002,-0.004,0.0,
593954509102,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.002,0.001,0.0,
593984294250,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.001,-0.001,0.001,
594014099075,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.002,0.003,0.005,0.001,
594053847236,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.0,-0.002,-0.001,
594083719739,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.001,0.002,0.0,
594113555397,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,0.001,0.002,-0.001,
594148338351,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.0,-0.001,0.001,
594187975047,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.003,0.001,0.001,
594217661552,-0.0,0.0,-0.1,-0.045,-0.059,0.001,0.001,0.0,0.003,-0.001,-0.003,-0.001,
594247330684,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.0,0.001,-0.0,
594282134066,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.001,-0.004,-0.0,
594321812083,-0.0,0.0,-0.1,-0.045,-0.059,0.001,0.001,0.0,0.003,0.003,0.004,-0.0,
594351466724,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.001,-0.003,-0.0,
594381143368,-0.0,0.0,-0.1,-0.045,-0.059,0.001,0.001,0.0,0.003,0.002,-0.003,-0.001,
594420701383,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.003,0.004,0.0,
594450360156,-0.0,0.0,-0.1,-0.045,-0.059,0.001,0.001,0.0,0.003,-0.002,-0.003,0.0,
594480040116,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,-0.0,0.003,0.003,0.002,-0.0,
594519693178,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.002,0.001,0.0,
594549363215,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,0.002,-0.005,-0.001,
594579026078,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,-0.002,0.003,0.0,
594618610831,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,0.0,-0.006,0.0,
594648328205,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.0,0.001,0.001,
594687929810,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,0.0,-0.003,0.0,
594717622724,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.001,0.0,0.003,-0.001,0.001,-0.001,
594747381841,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.003,0.001,0.006,0.0,
594796895299,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.003,0.002,0.004,0.0,
594816714003,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.003,-0.001,0.005,0.001,
594846428917,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.002,0.001,-0.005,-0.001,
594888192856,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.002,0.001,0.004,0.001,
594918045974,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.002,0.0,-0.004,0.001,
594947742490,-0.0,0.0,-0.1,-0.046,-0.059,0.001,0.0,0.0,0.002,-0.001,0.002,0.0,
594987327527,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.002,-0.0,-0.002,0.001,
595017018742,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.002,0.0,-0.001,-0.0,
595046699761,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.002,-0.0,0.006,0.001,
595086299213,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.001,0.0,0.002,-0.0,-0.003,0.0,
595116059109,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.002,-0.0,0.001,0.001,
595145791427,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.002,0.001,0.001,0.0,
595185459035,-0.0,0.0,-0.1,-0.046,-0.058,0.001,0.0,0.0,0.003,-0.0,0.003,0.0,
