i,timestamp(ns),T_imu_wrt_vio_x(m),T_imu_wrt_vio_y(m),T_imu_wrt_vio_z(m),roll(rad),pitch(rad),yaw(rad),vel_imu_wrt_vio_x(m/s),vel_imu_wrt_vio_y(m/s),vel_imu_wrt_vio_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s),gravity_vector_x(m/s2),gravity_vector_y(m/s2),gravity_vector_z(m/s2),T_cam_wrt_imu_x(m),T_cam_wrt_imu_y(m),T_cam_wrt_imu_z(m),imu_to_cam_roll_x(rad),imu_to_cam_pitch_y(rad),imu_to_cam_yaw_z(rad),features,quality,state,error_code
0,591887965521,0.0003,0.0001,0.0004,-0.0007,-0.0015,-0.0002,0.001,0.0,0.006,-0.0,-0.001,0.001,0.552,-0.444,9.771,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
1,591917592177,0.0003,0.0001,0.0004,-0.0007,-0.0015,-0.0002,0.001,-0.0,0.006,-0.001,-0.001,-0.001,0.552,-0.444,9.771,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
2,591947243467,0.0003,0.0001,0.0003,-0.0007,-0.0016,-0.0002,0.002,0.0,0.006,-0.0,-0.0,-0.0,0.552,-0.444,9.771,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
3,591986811987,0.0004,0.0001,0.0004,-0.0007,-0.0016,-0.0002,0.001,0.0,0.006,-0.001,0.001,0.0,0.553,-0.445,9.771,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
4,592016502824,0.0003,0.0001,0.0003,-0.0008,-0.0016,-0.0002,0.001,0.0,0.006,0.0,-0.0,-0.0,0.553,-0.445,9.771,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
5,592046232646,0.0003,0.0001,0.0003,-0.0007,-0.0016,-0.0002,0.001,0.0,0.006,0.001,0.001,0.001,0.553,-0.445,9.771,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
6,592085880135,0.0003,0.0001,0.0004,-0.0007,-0.0015,-0.0002,0.001,0.0,0.006,0.002,0.002,-0.0,0.553,-0.445,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
7,592115640324,0.0003,0.0001,0.0004,-0.0007,-0.0015,-0.0002,0.001,0.0,0.006,0.001,0.002,0.001,0.554,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
8,592155359031,0.0003,0.0001,0.0004,-0.0007,-0.0015,-0.0002,0.001,0.0,0.006,0.001,0.001,0.001,0.554,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
9,592183034746,0.0003,0.0001,0.0004,-0.0008,-0.0016,-0.0002,0.001,0.0,0.005,-0.0,0.003,0.0,0.554,-0.446,9.77,0.065,-0.014,0.013,0.0,0.65,1.571,28,100,2,0
