i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,559608520172,-1.14522,-0.05616,-9.52487,0.00901,0.00148,-0.00030,41.05
1,559609403443,-1.07338,0.29739,-9.44367,0.00582,-0.00491,-0.00456,41.06
2,559610286714,-1.07817,0.45028,-9.63951,0.00262,-0.01237,-0.00030,41.06
3,559611169985,-1.02549,0.30695,-9.82101,-0.00590,-0.00597,0.00290,41.06
4,559612053256,-1.08296,-0.09438,-9.79713,-0.00484,-0.00278,0.00397,41.06
5,559612936527,-1.15480,-0.17560,-9.56308,0.00155,0.00148,0.00077,41.06
6,559613819798,-1.08775,0.21139,-9.43412,0.00368,-0.00384,-0.00349,41.06
7,559614703069,-1.08775,0.37861,-9.54876,0.00049,-0.01237,0.00077,41.06
8,559615586340,-1.06381,0.42161,-9.78280,-0.00484,-0.01130,0.00290,41.05
9,559616469611,-1.04465,0.06806,-9.86878,-0.00271,-0.00597,0.00077,41.05
10,559617352882,-1.19311,-0.26638,-9.71593,-0.00164,-0.00491,-0.00136,41.05
11,559618236153,-1.14043,0.07762,-9.49621,0.00688,0.00148,-0.00562,41.05
12,559619119424,-1.06860,0.33561,-9.43412,0.00262,-0.00917,-0.00243,41.05
13,559620002695,-1.05423,0.45983,-9.65384,-0.00058,-0.01024,-0.00136,41.05
14,559620885966,-1.01113,0.25439,-9.82101,-0.00271,-0.00491,-0.00030,41.05
15,559621769237,-1.12606,-0.18516,-9.74936,0.00155,0.00255,-0.00243,41.05
16,559622652508,-1.18353,-0.10871,-9.52965,0.00582,-0.00171,-0.00136,41.04
17,559623535779,-1.10691,0.29261,-9.42935,0.00688,-0.00704,-0.00349,41.04
18,559624419050,-1.11170,0.43117,-9.57741,0.00368,-0.01237,-0.00136,41.05
19,559625302321,-1.06860,0.36906,-9.81146,-0.00164,-0.00810,-0.00030,41.05
20,559626185592,-1.06860,-0.02749,-9.86878,-0.00164,-0.00171,0.00397,41.05
21,559627068863,-1.16438,-0.23771,-9.66817,0.00155,0.00468,-0.00030,41.05
22,559627952134,-1.10212,0.15884,-9.45800,0.00688,0.00148,-0.00136,41.05
23,559628835405,-1.05902,0.39772,-9.47233,0.00155,-0.01130,0.00184,41.04
24,559629718676,-1.02070,0.48372,-9.72548,-0.00058,-0.01024,0.00184,41.04
25,559630601947,-1.00155,0.19228,-9.85445,-0.00271,-0.00065,0.00077,41.04
26,559631485218,-1.14522,-0.17082,-9.72071,0.00049,0.00042,-0.00030,41.04
27,559632368489,-1.13564,0.03939,-9.47711,0.00582,0.00255,-0.00349,41.04
28,559633251760,-1.05902,0.35472,-9.39113,0.00582,-0.00491,-0.00243,41.04
29,559634135031,-1.04465,0.47894,-9.61085,0.00262,-0.00491,-0.00456,41.05
30,559635018302,-1.00155,0.32128,-9.80668,-0.00164,-0.00491,-0.00030,41.05
31,559635901573,-1.07817,-0.10394,-9.78280,0.00155,0.00361,0.00184,41.05
32,559636784844,-1.17874,-0.13260,-9.56786,0.00688,-0.00065,-0.00349,41.05
33,559637668115,-1.08296,0.28306,-9.42935,0.01114,-0.00171,-0.00562,41.05
34,559638551386,-1.06381,0.43594,-9.52965,0.00582,-0.01769,-0.00243,41.06
35,559639434657,-1.07338,0.45028,-9.76847,-0.00058,-0.01237,0.00077,41.06
36,559640317928,-1.08775,0.06806,-9.86400,-0.00058,-0.00597,0.00184,41.06
