i,timestamp(ns),T_ch_wrt_par_x(m),T_ch_wrt_par_y(m),T_ch_wrt_par_z(m),roll(rad),pitch(rad),yaw(rad),vel_ch_wrt_par_x(m/s),vel_ch_wrt_par_y(m/s),vel_ch_wrt_par_z(m/s),angular_vel_x(rad/s),angular_vel_y(rad/s),angular_vel_z(rad/s)
46,561185132761,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.000,-0.001,-0.001,
47,561214743617,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.003,0.000,0.001,-0.001,
48,561247321843,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.000,0.001,0.000,
49,561276807383,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.001,0.002,0.000,
50,561316154708,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,-0.000,-0.001,0.000,
51,561345690384,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.000,0.000,-0.001,
52,561385104064,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,-0.001,-0.001,0.000,
53,561414691225,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.001,0.000,0.000,
54,561444305288,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.001,-0.000,-0.000,
55,561479787663,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,0.000,0.003,-0.000,
56,561509156282,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.000,0.002,-0.000,
57,561548330554,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.001,-0.002,-0.000,
58,561577796536,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.001,-0.001,-0.001,
59,561617008473,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.003,-0.004,0.000,0.001,0.001,
60,561646523751,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.003,-0.004,0.000,0.001,0.000,
61,561675991660,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.003,-0.001,-0.001,0.000,
62,561715320625,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,-0.000,-0.000,-0.001,
63,561744953623,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.003,-0.001,-0.001,-0.001,
64,561784376384,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,0.001,0.003,-0.000,
65,561813953975,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.002,-0.004,0.001,0.002,-0.000,
66,561843564774,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.001,-0.003,-0.004,-0.001,0.000,-0.000,
67,561883080782,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,-0.001,-0.001,0.000,
68,561912732298,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.000,0.001,0.001,
69,561942420649,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,0.000,-0.000,-0.001,
70,561982052578,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.001,0.001,0.000,
71,562011773440,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.002,-0.004,-0.000,0.000,-0.000,
72,562051468602,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,-0.000,0.001,-0.000,
73,562081235558,-0.001,-0.000,-0.101,-0.090,-0.050,0.004,-0.002,-0.003,-0.004,0.001,0.003,-0.000,
74,562111018488,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.003,-0.004,-0.001,0.002,-0.002,
75,562150788955,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.003,-0.004,0.001,0.001,-0.000,
76,562180627881,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.003,-0.004,0.000,0.001,-0.000,
77,562210461337,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,0.000,0.001,0.001,
78,562250343115,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,-0.000,-0.000,0.001,
79,562281220911,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,0.001,0.000,-0.000,
80,562308990172,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,0.000,-0.000,0.000,
81,562348358678,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,-0.000,0.001,-0.000,
82,562377997808,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,-0.001,-0.002,-0.000,
83,562417414865,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,-0.001,0.000,0.000,
84,562446971267,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,0.001,0.002,-0.000,
85,562476658729,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.001,-0.002,-0.004,-0.002,-0.000,0.000,
86,562516055637,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.001,-0.003,-0.004,-0.000,0.001,0.000,
87,562545631889,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.003,-0.004,-0.000,0.002,0.000,
88,562585043545,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.003,-0.004,0.000,-0.000,-0.000,
89,562614621327,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.004,0.001,0.001,-0.000,
90,562644229072,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.003,-0.004,0.001,0.002,0.000,
91,562683858477,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.003,-0.003,-0.004,0.000,-0.000,-0.001,
92,562713498237,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.003,-0.002,-0.004,-0.001,-0.002,0.000,
93,562743275014,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,0.000,0.001,-0.000,
94,562782884100,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,0.000,0.001,-0.001,
95,562812639957,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,-0.001,-0.001,0.000,
96,562842390741,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,-0.001,-0.000,-0.000,
97,562881062169,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,-0.000,0.001,-0.001,
98,562910671956,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,-0.000,0.000,-0.001,
99,562950183654,-0.001,-0.000,-0.101,-0.090,-0.049,0.004,-0.002,-0.002,-0.003,-0.000,0.000,-0.000,
