timestamp,device
559728664,voxl_imu0
559729518,voxl_imu1
559729658,voxl_imu0
559730411,voxl_imu1
559730651,voxl_imu0
559731303,voxl_imu1
559731645,voxl_imu0
559732196,voxl_imu1
559732638,voxl_imu0
559733089,voxl_imu1
559733632,voxl_imu0
559733981,voxl_imu1
559734625,voxl_imu0
559734874,voxl_imu1
559735619,voxl_imu0
559735766,voxl_imu1
559736612,voxl_imu0
559736659,voxl_imu1
559737552,voxl_imu1
559737606,voxl_imu0
559738445,voxl_imu1
559738599,voxl_imu0
559739339,voxl_imu1
559739593,voxl_imu0
559740233,voxl_imu1
559740586,voxl_imu0
559741127,voxl_imu1
559741580,voxl_imu0
559742021,voxl_imu1
559742574,voxl_vo
559742574,voxl_imu0
559742914,voxl_imu1
559743567,voxl_imu0
559743808,voxl_imu1
559744561,voxl_imu0
559744702,voxl_imu1
559745555,voxl_imu0
559745596,voxl_imu1
559746490,voxl_imu1
559746549,voxl_imu0
559747383,voxl_imu1
559747542,voxl_imu0
559748278,voxl_imu1
559748536,voxl_imu0
559749172,voxl_imu1
559749530,voxl_imu0
559750066,voxl_imu1
559750524,voxl_imu0
559750960,voxl_imu1
559751518,voxl_imu0
559751854,voxl_imu1
559752511,voxl_imu0
559752748,voxl_imu1
559753505,voxl_imu0
559753642,voxl_imu1
559754499,voxl_imu0
559754536,voxl_imu1
559755430,voxl_imu1
559755493,voxl_imu0
559756324,voxl_imu1
559756487,voxl_imu0
559757218,voxl_imu1
559757481,voxl_imu0
559758110,voxl_imu1
559758475,voxl_imu0
559759002,voxl_imu1
559759469,voxl_imu0
559759894,voxl_imu1
559760462,voxl_imu0
559760786,voxl_imu1
559761456,voxl_imu0
559761679,voxl_imu1
559762450,voxl_imu0
559762571,voxl_imu1
559763445,voxl_imu0
559763463,voxl_imu1
559764355,voxl_imu1
559764439,voxl_imu0
559765247,voxl_imu1
559765433,voxl_imu0
559766139,voxl_imu1
559766428,voxl_imu0
559767031,voxl_imu1
559767422,voxl_imu0
559767923,voxl_imu1
559768416,voxl_imu0
559768816,voxl_imu1
559769411,voxl_imu0
559769709,voxl_imu1
559770405,voxl_imu0
559770602,voxl_imu1
559771399,voxl_imu0
559771496,voxl_imu1
559772389,voxl_imu1
559772394,voxl_imu0
559773282,voxl_imu1
559773388,voxl_imu0
559774175,voxl_imu1
559774382,voxl_imu0
559775068,voxl_imu1
559775376,voxl_imu0
559775961,voxl_imu1
559776370,voxl_imu0
559776854,voxl_imu1
559777365,voxl_imu0
559777747,voxl_imu1
559778359,voxl_imu0
559778641,voxl_imu1
559779353,voxl_imu0
559779535,voxl_imu1
559780347,voxl_imu0
559780428,voxl_imu1
559781322,voxl_imu1
559781341,voxl_imu0
559782215,voxl_imu1
559782336,voxl_vo
559782336,voxl_imu0
559783109,voxl_imu1
559783330,voxl_imu0
559784002,voxl_imu1
559784324,voxl_imu0
559784896,voxl_imu1
559785319,voxl_imu0
559785789,voxl_imu1
559786313,voxl_imu0
559786683,voxl_imu1
559787307,voxl_imu0
559787577,voxl_imu1
559788302,voxl_imu0
559788468,voxl_imu1
559789296,voxl_imu0
559789360,voxl_imu1
559790252,voxl_imu1
559790291,voxl_imu0
559791143,voxl_imu1
559791285,voxl_imu0
559792035,voxl_imu1
559792279,voxl_imu0
559792927,voxl_imu1
559793274,voxl_imu0
559793818,voxl_imu1
559794268,voxl_imu0
559794710,voxl_imu1
559795263,voxl_imu0
559795602,voxl_imu1
559796257,voxl_imu0
