i,timestamp(ns),gain,exposure(ns),format,height,width,frame_id,reserved
0,591934608997,100,38669,2,480,640,17433,0
1,592034590997,100,38669,2,480,640,17436,0
2,592134574997,100,38669,2,480,640,17439,0
3,592234558997,100,38669,2,480,640,17442,0
4,592334545997,100,38669,2,480,640,17445,0
5,592434527997,100,38669,2,480,640,17448,0
6,592534508997,100,38669,2,480,640,17451,0
7,592634493997,100,38669,2,480,640,17454,0
8,592734482997,100,38669,2,480,640,17457,0
9,592834458997,100,38669,2,480,640,17460,0
10,592934448997,100,38669,2,480,640,17463,0
11,593034447997,100,38669,2,480,640,17466,0
12,593134409997,100,38669,2,480,640,17469,0
13,593234392997,100,38669,2,480,640,17472,0
14,593334384997,100,38669,2,480,640,17475,0
15,593434374997,100,38669,2,480,640,17478,0
16,593534343997,100,38669,2,480,640,17481,0
17,593634321997,100,38669,2,480,640,17484,0
18,593734305997,100,38669,2,480,640,17487,0
19,593834292997,100,38669,2,480,640,17490,0
20,593934274997,100,38669,2,480,640,17493,0
21,594034273997,100,38669,2,480,640,17496,0
22,594134241997,100,38669,2,480,640,17499,0
23,594234223997,100,38669,2,480,640,17502,0
24,594334207997,100,38669,2,480,640,17505,0
25,594434189997,100,38669,2,480,640,17508,0
26,594534174997,100,38669,2,480,640,17511,0
27,594634184997,100,38669,2,480,640,17514,0
28,594734154997,100,38669,2,480,640,17517,0
29,594834161997,100,38669,2,480,640,17520,0
30,594934125997,100,38669,2,480,640,17523,0
31,595034103997,100,38669,2,480,640,17526,0
32,595134083997,100,38669,2,480,640,17529,0
33,595234071997,100,38669,2,480,640,17532,0
34,595334046997,100,38669,2,480,640,17535,0
35,595434027997,100,38669,2,480,640,17538,0
36,595534029997,100,38669,2,480,640,17541,0
37,595634041997,100,38669,2,480,640,17544,0
38,595733982997,100,38669,2,480,640,17547,0
39,595833968997,100,38669,2,480,640,17550,0
40,595933943997,100,38669,2,480,640,17553,0
41,596033939997,100,38669,2,480,640,17556,0
42,596133928997,100,38669,2,480,640,17559,0
43,596233943997,100,38669,2,480,640,17562,0
44,596333885997,100,38669,2,480,640,17565,0
45,596433956997,100,38669,2,480,640,17568,0
46,596533847997,100,38669,2,480,640,17571,0
47,596633868997,100,38669,2,480,640,17574,0
48,596733824997,100,38669,2,480,640,17577,0
49,596833798997,100,38669,2,480,640,17580,0
50,596933785997,100,38669,2,480,640,17583,0
51,597033767997,100,38669,2,480,640,17586,0
52,597133754997,100,38669,2,480,640,17589,0
53,597233737997,100,38669,2,480,640,17592,0
54,597333725997,100,38669,2,480,640,17595,0
55,597433705997,100,38669,2,480,640,17598,0
56,597533692997,100,38669,2,480,640,17601,0
57,597633676997,100,38669,2,480,640,17604,0
58,597733648997,100,38669,2,480,640,17607,0
59,597833633997,100,38669,2,480,640,17610,0
60,597933617997,100,38669,2,480,640,17613,0
61,598033596997,100,38669,2,480,640,17616,0
62,598133594997,100,38669,2,480,640,17619,0
63,598233563997,100,38669,2,480,640,17622,0
64,598333557997,100,38669,2,480,640,17625,0
65,598466868997,100,38669,2,480,640,17629,0
66,598566845997,100,38669,2,480,640,17632,0
67,598666833997,100,38669,2,480,640,17635,0
68,598766812997,100,38669,2,480,640,17638,0
69,598866799997,100,38669,2,480,640,17641,0
70,598966790997,100,38669,2,480,640,17644,0
71,599066768997,100,38669,2,480,640,17647,0
72,599166753997,100,38669,2,480,640,17650,0
73,599266732997,100,38669,2,480,640,17653,0
74,599366727997,100,38669,2,480,640,17656,0
75,599466753997,100,38669,2,480,640,17659,0
76,599566674997,100,38669,2,480,640,17662,0
77,599700020997,100,38669,2,480,640,17666,0
78,599799999997,100,38669,2,480,640,17669,0
79,599899960997,100,38669,2,480,640,17672,0
80,599999955997,100,38669,2,480,640,17675,0
81,600099924997,100,38669,2,480,640,17678,0
82,600199911997,100,38669,2,480,640,17681,0
83,600299898997,100,38669,2,480,640,17684,0
84,600399891997,100,38669,2,480,640,17687,0
85,600499866997,100,38669,2,480,640,17690,0
86,600599845997,100,38669,2,480,640,17693,0
87,600708104997,100,38669,2,480,640,17696,0
88,600808075997,100,38669,2,480,640,17699,0
89,600908084997,100,38669,2,480,640,17702,0
90,601008039997,100,38669,2,480,640,17705,0
91,601108035997,100,38669,2,480,640,17708,0
92,601208018997,100,38669,2,480,640,17711,0
93,601307998997,100,38669,2,480,640,17714,0
94,601407987997,100,38669,2,480,640,17717,0
95,601507963997,100,38669,2,480,640,17720,0
96,601607948997,100,38669,2,480,640,17723,0
97,601707929997,100,38669,2,480,640,17726,0
98,601807934997,100,38669,2,480,640,17729,0
99,601907901997,100,38669,2,480,640,17732,0
