i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,591879913240,-0.30234,-0.20905,-9.62995,0.00368,-0.00704,0.00503,36.76
1,591880797702,-0.2353,-0.04183,-9.51054,0.00688,-0.00597,-0.00136,36.76
2,591881682164,-0.25445,0.04895,-9.51054,0.00582,-0.00384,-0.0003,36.76
3,591882566626,-0.30713,0.07762,-9.63951,0.00049,-0.00384,-0.00243,36.76
4,591883451088,-0.26403,0.34995,-9.79713,0.00262,-0.00278,-0.00136,36.76
5,591884335550,-0.30234,0.07762,-9.7828,0.00688,-0.00384,0.00397,36.76
6,591885220012,-0.32629,-0.19949,-9.62995,0.00688,-0.00065,0.00184,36.76
7,591886104474,-0.26882,-0.01316,-9.52487,0.00475,-0.00065,-0.0003,36.76
8,591886988936,-0.29756,-0.01794,-9.5201,0.00262,-0.00384,0.00077,36.76
9,591887873398,-0.28319,0.13495,-9.72548,0.00049,-0.00597,-0.0003,36.76
10,591888757860,-0.22572,0.31172,-9.83056,0.00155,-0.00384,0.0029,36.76
11,591889643002,-0.30713,-0.07049,-9.72071,0.00262,-0.00278,0.00503,36.76
12,591890528135,-0.28798,-0.19949,-9.61563,0.00475,-0.00384,-0.0003,36.76
13,591891413268,-0.24488,0.00595,-9.51532,0.00582,-0.00278,-0.0003,36.76
14,591892298401,-0.30234,-0.03705,-9.56308,0.00262,-0.0081,0.00077,36.76
15,591893183534,-0.26403,0.22573,-9.7828,0.00155,-0.00278,0.00184,36.76
16,591894068667,-0.24967,0.22095,-9.82101,0.00475,-0.00491,0.00503,36.76
17,591894953800,-0.31671,-0.22338,-9.67772,0.00475,-0.00491,0.00184,36.76
18,591895838933,-0.27361,-0.18038,-9.54876,0.00368,0.00042,-0.00349,36.75
19,591896724066,-0.24967,-0.02749,-9.49621,0.00155,-0.00065,-0.00243,36.75
20,591897609199,-0.30234,-0.03227,-9.59652,0.00049,-0.00491,-0.00243,36.75
21,591898494332,-0.29277,0.29739,-9.75414,-0.00271,-0.00065,-0.00349,36.75
22,591899378481,-0.31192,0.13017,-9.76369,0.00582,0.00042,0.0029,36.75
23,591900262625,-0.3215,-0.2616,-9.60607,0.00368,-0.00171,0.00184,36.75
24,591901146769,-0.2353,-0.08483,-9.49144,0.00582,-0.00065,-0.00136,36.75
25,591902030913,-0.2353,-0.02749,-9.49621,0.00155,-0.00278,0.00077,36.75
26,591902915057,-0.24967,0.10628,-9.64428,0.00155,-0.00065,0.00184,36.75
27,591903799201,-0.23051,0.39294,-9.79235,0.00368,-0.00065,0.0029,36.75
28,591904683345,-0.29756,0.02506,-9.74459,0.00795,-0.00384,0.00503,36.75
29,591905567489,-0.28798,-0.2186,-9.6204,0.00901,-0.00597,-0.0003,36.75
30,591906451633,-0.22572,0.02984,-9.51532,0.00582,-0.00278,-0.00136,36.75
31,591907335777,-0.27361,-0.00361,-9.50577,0.00155,-0.00384,0.0029,36.75
32,591908219921,-0.28319,0.15884,-9.71593,-0.00058,-0.00597,0.00184,36.75
33,591909104065,-0.27361,0.28784,-9.82579,0.00475,-0.00278,0.0029,36.75
34,591909988336,-0.34545,-0.11827,-9.71115,0.00795,-0.00065,0.00184,36.75
35,591910872604,-0.28319,-0.1756,-9.57264,0.00688,0.00681,-0.0003,36.75
36,591911756872,-0.20177,0.03939,-9.458,0.00368,0.00148,0.00077,36.75
37,591912641140,-0.25445,0.02028,-9.51054,0.00582,-0.00384,0.00077,36.75
38,591913525408,-0.26882,0.28306,-9.7016,0.00262,-0.00065,-0.0003,36.75
39,591914409676,-0.28798,0.22095,-9.76847,0.00688,0.00255,0.00397,36.75
40,591915293944,-0.31192,-0.18994,-9.63473,0.00582,0.00361,0.00184,36.75
41,591916178212,-0.24009,-0.0896,-9.49144,0.00582,0.00148,-0.00136,36.75
42,591917062480,-0.2353,0.05373,-9.49144,0.00475,-0.00065,-0.00243,36.75
43,591917946748,-0.2784,0.05373,-9.60607,-0.00271,-0.00065,-0.00243,36.75
44,591918831016,-0.2353,0.34039,-9.77325,-0.00164,0.00468,-0.00136,36.75
45,591919714496,-0.26882,0.13017,-9.77325,0.00155,0.00148,0.00184,36.75
46,591920597975,-0.30713,-0.22816,-9.59652,0.00901,-0.00171,0.00077,36.75
47,591921481454,-0.24967,-0.06094,-9.48189,0.00475,-0.00171,-0.00243,36.75
