i,timestamp(ns),AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,591879082692,-0.1688,0.03617,-9.68105,-0.00313,-0.00044,0.00248,49.83
1,591880069673,-0.1688,0.0553,-9.71942,-0.00366,-0.00017,0.00262,49.83
2,591881056654,-0.16403,0.06965,-9.76258,-0.00393,-4e-05,0.00288,49.83
3,591882043635,-0.14969,0.0553,-9.76258,-0.00353,9e-05,0.00328,49.82
4,591883030616,-0.14491,0.03617,-9.71942,-0.00273,9e-05,0.00368,49.82
5,591884017597,-0.14969,0.04095,-9.69544,-0.00246,-0.00017,0.00368,49.82
6,591885004578,-0.15925,0.06487,-9.71463,-0.00259,-0.00084,0.00381,49.82
7,591885991559,-0.16403,0.07444,-9.7482,-0.00273,-0.00097,0.00395,49.82
8,591886978540,-0.15925,0.0553,-9.7434,-0.00206,-0.00084,0.00408,49.82
9,591887965521,-0.15447,0.0266,-9.70024,-0.0014,-0.00057,0.00381,49.82
10,591888952942,-0.15925,0.02182,-9.66667,-0.0014,-0.00057,0.00328,49.82
11,591889940355,-0.1688,0.04573,-9.68585,-0.0018,-0.00084,0.00288,49.82
12,591890927768,-0.17358,0.06009,-9.72422,-0.00233,-0.00111,0.00275,49.83
13,591891915181,-0.16403,0.05052,-9.7386,-0.00206,-0.00084,0.00288,49.83
14,591892902594,-0.15925,0.0266,-9.70503,-0.0014,-4e-05,0.00301,49.83
15,591893890007,-0.15925,0.0266,-9.68585,-0.0006,0.00102,0.00315,49.83
16,591894877420,-0.1688,0.05052,-9.70503,-6e-05,0.00236,0.00328,49.83
17,591895864833,-0.1688,0.06487,-9.75299,0.00047,0.00329,0.00368,49.83
18,591896852246,-0.15925,0.0553,-9.76258,0.00127,0.00355,0.00395,49.83
19,591897839659,-0.14969,0.03138,-9.72901,0.00193,0.00302,0.00408,49.83
20,591898827107,-0.14969,0.0266,-9.69065,0.0018,0.00209,0.00381,49.83
21,591899814549,-0.15925,0.0553,-9.69544,0.00087,0.00089,0.00355,49.83
22,591900801991,-0.15925,0.07922,-9.72901,-0.0002,-4e-05,0.00355,49.83
23,591901789433,-0.15447,0.07444,-9.7434,-0.0002,-0.00017,0.00368,49.83
24,591902776875,-0.14491,0.0553,-9.71463,0.00033,0.00022,0.00381,49.83
25,591903764317,-0.14969,0.05052,-9.67626,0.00073,0.00089,0.00355,49.83
26,591904751759,-0.15447,0.06965,-9.68105,0.0006,0.00142,0.00328,49.83
27,591905739201,-0.15925,0.09357,-9.72422,7e-05,0.00156,0.00341,49.83
28,591906726643,-0.15447,0.08879,-9.7434,-6e-05,0.00169,0.00368,49.83
29,591907714085,-0.14491,0.06965,-9.71942,0.00033,0.00169,0.00381,49.83
30,591908701896,-0.14491,0.0553,-9.69065,0.0006,0.00182,0.00368,49.83
31,591909689705,-0.15447,0.07444,-9.69544,0.0002,0.00169,0.00368,49.83
32,591910677514,-0.15925,0.09357,-9.7386,-0.00033,0.00142,0.00368,49.83
33,591911665323,-0.15447,0.08879,-9.76258,-0.00033,0.00156,0.00381,49.82
34,591912653132,-0.14491,0.06487,-9.7434,-6e-05,0.00209,0.00381,49.82
35,591913640941,-0.14491,0.04573,-9.70024,7e-05,0.00222,0.00355,49.83
36,591914628750,-0.15447,0.06009,-9.69065,-0.00073,0.00182,0.00301,49.82
37,591915616559,-0.15925,0.07922,-9.72422,-0.0018,0.00102,0.00262,49.82
38,591916604368,-0.15447,0.084,-9.7482,-0.00233,0.00049,0.00262,49.82
39,591917592177,-0.14491,0.06487,-9.72901,-0.00193,0.00022,0.00248,49.83
40,591918580535,-0.14013,0.05052,-9.68585,-0.0014,9e-05,0.00235,49.83
41,591919568890,-0.14969,0.06965,-9.67146,-0.00126,-4e-05,0.00235,49.83
42,591920557245,-0.15447,0.09357,-9.70983,-0.00153,-4e-05,0.00248,49.82
43,591921545600,-0.14969,0.09835,-9.7386,-0.00153,0.00036,0.00288,49.82
44,591922533955,-0.14491,0.07444,-9.72901,-0.001,0.00102,0.00341,49.83
45,591923522310,-0.14013,0.0553,-9.68585,-0.00073,0.00142,0.00355,49.82
46,591924510665,-0.14969,0.06009,-9.67626,-0.001,0.00142,0.00341,49.82
47,591925499020,-0.15925,0.084,-9.71463,-0.0018,0.00129,0.00341,49.82
48,591926487375,-0.15447,0.084,-9.7482,-0.00206,0.00142,0.00368,49.82
49,591927475730,-0.14969,0.06487,-9.7434,-0.00166,0.00182,0.00381,49.82
50,591928463994,-0.14491,0.04573,-9.70024,-0.001,0.00209,0.00368,49.82
51,591929452252,-0.14491,0.05052,-9.68585,-0.00113,0.00156,0.00341,49.82
52,591930440510,-0.15447,0.07922,-9.71463,-0.00193,9e-05,0.00328,49.82
53,591931428768,-0.15447,0.09357,-9.7482,-0.00273,-0.00137,0.00341,49.81
54,591932417026,-0.14969,0.06965,-9.7482,-0.00286,-0.00231,0.00355,49.81
55,591933405284,-0.14969,0.04573,-9.70503,-0.00246,-0.00244,0.00341,49.81
56,591934393542,-0.15447,0.04573,-9.68585,-0.00259,-0.00244,0.00328,49.81
57,591935381800,-0.16403,0.06965,-9.70503,-0.00313,-0.00217,0.00328,49.81
58,591936370058,-0.16403,0.07922,-9.7434,-0.00339,-0.00164,0.00341,49.81
59,591937358316,-0.15447,0.06487,-9.7386,-0.00299,-0.00084,0.00368,49.81
60,591938346832,-0.14491,0.04095,-9.70024,-0.00246,9e-05,0.00368,49.81
