timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
605559940,0,1724403625375286,0,593948195,246601288,26856,45447,0.13900001,0.73223054,0.80300003,1.4860001,1.9399999,3.35,87,37,0.063,-0.010000001,0.062000003,-0.032,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
605678756,0,1724403625500286,0,593948194,246601286,26866,45457,0.17600001,0.73223084,0.80300003,1.4860001,1.9399999,3.35,87,37,0.061000004,-0.051000003,-0.032,-0.007,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
605809450,0,1724403625625286,0,593948195,246601287,26848,45439,0.18900001,0.7322314,0.804,1.4870001,1.9399999,3.35,87,37,0.040000003,0.035,0.019000001,0.025,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
605935576,0,1724403625750286,0,593948196,246601290,26821,45412,0.21200001,0.7322319,0.804,1.4870001,1.9399999,3.35,87,37,0.11400001,0.014,-0.113000005,-0.21000001,5.531075,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
606060098,0,1724403625875286,0,593948199,246601285,27054,45645,0.187,0.40692875,0.804,1.4870001,1.9399999,3.35,87,37,0.31300002,0.273,0.15400001,-0.57900006,0.21511863,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
606202726,0,1724403626000286,0,593948195,246601290,27069,45660,0.201,0.41650587,0.80500007,1.4890001,1.9399999,3.35,87,37,0.411,-0.393,0.12100001,-0.54200006,1.4987515,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
606307474,0,1724403626125286,0,593948202,246601298,27148,45739,0.18,0.23345767,0.80500007,1.4900001,1.9399999,3.35,87,37,0.64000005,0.568,0.294,-0.652,0.7216606,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
606433690,0,1724403626250286,0,593948203,246601291,27279,45870,0.231,0.23346272,0.80600005,1.491,1.9399999,3.35,87,37,0.201,0.157,-0.126,-0.65000004,0.7216606,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
606559748,0,1724403626375286,0,593948203,246601292,27384,45975,0.23900001,0.23346816,0.80600005,1.4920001,1.9399999,3.35,87,37,0.047000002,0.019000001,0.043,-0.739,0.7216606,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
606680440,0,1724403626500286,0,593948206,246601292,27463,46054,0.22000001,0.56443197,0.80600005,1.493,1.9399999,3.35,87,37,0.273,0.264,0.068,-0.64500004,0.6529156,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
606806772,0,1724403626625286,0,593948209,246601286,27689,46280,0.23200001,0.4874591,0.80700004,1.493,1.9399999,3.35,87,37,0.34,0.33600003,-0.052,-1.0090001,0.19129594,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
606930928,0,1724403626750286,0,593948207,246601283,27770,46361,0.22200002,0.38224316,0.80600005,1.4920001,1.9399999,3.35,87,37,0.3,-0.23600002,-0.18400002,-0.90500003,4.8199854,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
607059646,0,1724403626875286,0,593948208,246601289,27932,46523,0.21400002,0.70821726,0.80600005,1.4920001,1.9399999,3.35,86,52,0.156,0.07700001,0.136,-1.212,5.3883085,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
607201742,0,1724403627000286,0,593948206,246601291,28059,46650,0.22100002,0.70822024,0.80700004,1.4920001,1.9399999,3.35,86,52,0.125,-0.124000005,0.008,-1.19,5.3883085,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
607308960,0,1724403627125286,0,593948207,246601288,28228,46818,0.22800002,0.70822316,0.80700004,1.4920001,1.9399999,3.35,86,52,0.11000001,0.101,-0.043,-1.199,5.3883085,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
607434650,0,1724403627250286,0,593948205,246601283,28477,47068,0.216,0.7082263,0.80700004,1.4920001,1.9399999,3.35,86,52,0.14400001,-0.142,0.027,-1.3340001,5.3883085,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
607556074,0,1724403627375287,0,593948203,246601288,28573,47164,0.209,0.7082291,0.80700004,1.491,1.9399999,3.35,86,52,0.12900001,-0.11400001,0.059000004,-1.174,5.3883085,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
607680368,0,1724403627500287,0,593948204,246601284,28916,47507,0.20700002,0.5194047,0.80700004,1.491,1.9399999,3.35,86,52,0.20600002,0.087000005,0.187,-1.58,0.42483544,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
607809178,0,1724403627625287,0,593948202,246601288,28987,47577,0.22000001,0.51940906,0.80700004,1.491,1.9399999,3.35,86,52,0.187,-0.18400002,-0.030000001,-1.2800001,0.42483544,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
607931900,0,1724403627750287,0,593948201,246601279,29240,47831,0.22800002,0.65737444,0.80700004,1.491,1.9399999,3.35,86,52,0.20400001,0.011000001,-0.20300001,-1.496,5.9623957,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
608059834,0,1724403627875287,0,593948200,246601282,29331,47921,0.23,0.6573777,0.80700004,1.491,1.9399999,3.35,86,60,0.14600001,-0.116000004,-0.089,-1.2880001,5.9623957,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
608208190,0,1724403628000287,0,593948204,246601280,29386,47977,0.328,0.56290793,0.80700004,1.4920001,1.9399999,3.35,86,60,0.418,0.257,-0.33,-1.1240001,5.6236997,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
608308460,0,1724403628125287,0,593948200,246601265,29691,48282,0.324,0.4265,0.808,1.4920001,1.9399999,3.35,86,60,0.425,-0.25,-0.344,-1.468,4.6454587,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
608431590,0,1724403628250287,0,593948203,246601245,29904,48495,0.365,0.3002579,0.808,1.4920001,1.9399999,3.35,86,60,0.82400006,0.23500001,-0.79,-1.5070001,4.883607,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
608561648,0,1724403628375287,0,593948195,246601208,30021,48611,0.34300002,0.12387596,0.808,1.493,1.9399999,3.35,86,60,1.7780001,-0.577,-1.682,-1.3240001,4.454924,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
608681648,0,1724403628500287,0,593948196,246601177,29914,48505,0.37800002,0.13852642,0.809,1.493,1.9399999,3.35,86,60,1.9570001,0.07300001,-1.955,-0.80100006,4.5859423,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
608807012,0,1724403628625287,0,593948192,246601096,30284,48875,0.33800003,0.07025735,0.80700004,1.4900001,1.9399999,3.35,86,60,2.923,-0.16600001,-2.9180002,-1.2210001,4.6412024,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
608933404,0,1724403628750287,0,593948186,246601027,30388,48979,0.388,0.074855424,0.808,1.491,1.24,2.5,86,60,3.2070003,-0.499,-3.1680002,-1.087,4.601266,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
609059678,0,1724403628875287,0,593948179,246600939,30532,49123,0.24000001,0.05424448,0.80600005,1.488,1.9399999,3.35,86,51,3.8000002,-0.50100005,-3.7660003,-0.95400006,4.587439,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609212210,0,1724403629000287,0,593948175,246600849,30732,49323,0.20600002,0.049412537,0.804,1.485,1.24,2.5,86,51,3.7890003,-0.277,-3.7790003,-1.01,4.6158156,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609310964,0,1724403629125287,0,593948175,246600750,31074,49665,0.158,0.046775345,0.80200005,1.4820001,1.24,2.5,86,51,4.051,-0.025,-4.051,-1.376,4.6636386,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609437656,0,1724403629250287,0,593948173,246600678,31264,49855,0.158,0.053619657,0.799,1.478,1.24,2.5,86,51,3.1390002,-0.057000004,-3.1380002,-1.2980001,4.676866,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609563644,0,1724403629375287,0,593948173,246600621,31479,50070,0.162,0.061926376,0.79700005,1.475,1.24,2.5,86,51,2.519,0.013,-2.519,-1.3920001,4.694385,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609686284,0,1724403629500287,0,593948173,246600577,31616,50207,0.17400001,0.0693236,0.795,1.4720001,1.24,2.5,86,51,1.9700001,0.132,-1.9660001,-1.261,4.7321477,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609810710,0,1724403629625287,0,593948174,246600544,31875,50466,0.21800001,0.116529346,0.79300004,1.468,1.24,2.5,86,51,1.325,0.055000003,-1.3240001,-1.5070001,4.7378626,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
609933022,0,1724403629750287,0,593948176,246600526,32074,50664,0.22600001,0.1778637,0.791,1.465,1.24,2.5,86,51,0.81100005,0.20700002,-0.78400004,-1.519,4.8075676,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610059910,0,1724403629875287,0,593948177,246600511,32275,50866,0.216,0.20272852,0.78800005,1.4610001,1.24,2.5,86,51,0.671,0.123,-0.66,-1.5130001,4.846195,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610216332,0,1724403630000287,0,593948177,246600504,32399,50989,0.216,0.38052347,0.786,1.4580001,1.24,2.5,86,45,0.33900002,0.058000002,-0.335,-1.248,4.8542747,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610309294,0,1724403630125287,0,593948178,246600495,32540,51131,0.23200001,0.46002495,0.78400004,1.455,1.24,2.5,86,45,0.34100002,0.112,-0.323,-1.151,4.9320087,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610438056,0,1724403630250287,0,593948180,246600489,32560,51151,0.20700002,0.22710624,0.78200006,1.452,1.24,2.5,86,45,0.381,0.277,-0.261,-0.75600004,5.410814,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610561150,0,1724403630375287,0,593948181,246600491,32619,51210,0.21200001,0.22711131,0.78000003,1.4490001,1.24,2.5,86,45,0.11400001,0.085,0.076000005,-0.65400004,5.410814,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610688402,0,1724403630500287,0,593948184,246600494,32651,51242,0.192,0.25184926,0.77800006,1.4460001,1.24,2.5,86,45,0.372,0.35500002,0.113000005,-0.536,5.940618,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610807840,0,1724403630625287,0,593948188,246600495,32618,51209,0.15100001,0.18406503,0.776,1.4430001,1.24,2.5,86,45,0.49600002,0.49300003,0.053000003,-0.25300002,6.2337356,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
610934670,0,1724403630750287,0,593948197,246600497,32642,51233,0.12100001,0.11092719,0.77400005,1.44,1.24,2.5,86,45,0.90300006,0.88900006,0.15400001,-0.17600001,0.11275681,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611057656,0,1724403630875287,0,593948214,246600499,32614,51205,0.113000005,0.07560225,0.772,1.437,1.24,2.5,86,45,1.593,1.5910001,0.087000005,0.006,0.07285685,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611213652,0,1724403631000287,0,593948236,246600499,32648,51238,0.120000005,0.060911816,0.77000004,1.434,1.24,2.5,86,57,2.0010002,1.9990001,0.09,-0.057000004,0.055803757,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611308236,0,1724403631125287,0,593948264,246600499,32667,51258,0.123,0.04584334,0.768,1.432,1.24,2.5,86,57,2.6710002,2.6690001,0.096,-0.086,0.043055527,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611439648,0,1724403631250287,0,593948299,246600497,32667,51258,0.12200001,0.039134994,0.767,1.429,1.24,2.5,86,57,3.154,3.153,0.022000002,-0.007,0.022108085,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611559666,0,1724403631375287,0,593948342,246600499,32677,51268,0.119,0.030278495,0.76500005,1.4260001,1.24,2.5,86,57,3.89,3.8880002,0.143,-0.025,0.031249946,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611686644,0,1724403631500287,0,593948389,246600499,32686,51277,0.119,0.02751529,0.763,1.424,1.24,2.5,86,57,4.2660003,4.2660003,0.064,-0.011000001,0.022237238,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611810804,0,1724403631625287,0,593948441,246600499,32703,51293,0.117000006,0.023340287,0.76100004,1.4210001,1.24,2.5,86,57,4.728,4.727,0.054,-0.051000003,0.015947247,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
611933910,0,1724403631750287,0,593948495,246600502,32682,51273,0.116000004,0.022567281,0.75900006,1.419,1.24,2.5,86,57,4.8690004,4.8650002,0.18200001,0.033,0.02716448,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612058430,0,1724403631875287,0,593948549,246600499,32709,51300,0.12900001,0.019035956,0.758,1.416,1.24,2.5,86,37,4.8360004,4.8360004,-0.05,-0.047000002,0.004964414,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612206774,0,1724403632000287,0,593948599,246600502,32708,51298,0.14600001,0.021138031,0.75600004,1.414,1.24,2.5,86,37,4.5010004,4.5,0.09900001,-0.080000006,0.012770748,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612309290,0,1724403632125287,0,593948643,246600502,32719,51310,0.149,0.02419131,0.754,1.411,1.24,2.5,86,37,3.903,3.903,0.007,-0.13800001,0.007954861,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612435954,0,1724403632250287,0,593948679,246600502,32695,51285,0.13700001,0.026815062,0.753,1.409,1.24,2.5,86,37,3.2990003,3.2990003,0.025,-0.051000003,0.0077541484,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612559330,0,1724403632375287,0,593948706,246600502,32695,51285,0.119,0.035017937,0.75100005,1.406,1.24,2.5,86,37,2.453,2.453,-0.022000002,-0.051000003,0.0015077898,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612685654,0,1724403632500287,0,593948726,246600499,32742,51333,0.126,0.047651503,0.749,1.404,1.24,2.5,86,37,1.8970001,1.8950001,-0.087000005,-0.16900001,6.2680244,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612810298,0,1724403632625287,0,593948737,246600496,32674,51265,0.12200001,0.097091444,0.748,1.401,1.24,2.5,86,37,0.88900006,0.882,-0.11100001,0.07,6.246626,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
612935686,0,1724403632750287,0,593948742,246600495,32665,51256,0.11400001,0.17331938,0.74600005,1.3980001,1.24,2.5,86,37,0.47800002,0.47700003,-0.030000001,-0.004,6.240144,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
613061244,0,1724403632875287,0,593948740,246600489,32689,51280,0.117000006,0.5029599,0.744,1.396,1.24,2.5,86,46,0.252,-0.11800001,-0.22200002,-0.127,6.026152,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
613214216,0,1724403633000287,0,593948732,246600486,32698,51289,0.135,0.14620867,0.74300003,1.393,1.24,2.5,86,46,0.786,-0.781,-0.085,-0.095000006,3.466107,0,,0.0,0.0,0.0,0,3,2,1,1,10,0
613310648,0,1724403633125287,0,593948718,246600477,32556,51147,0.128,0.09593674,0.74100006,1.391,1.24,2.5,86,46,1.3230001,-1.2240001,-0.50200003,0.30400002,3.5112686,0,,0.0,0.0,0.0,0,3,2,1,1,9,0
