timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],terr_flow[0],terr_flow[1],heading,mag_field[0],mag_field[1],mag_field[2],gravity[0],gravity[1],gravity[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
603055245,602955383,0.043454014,0.084111035,-0.21430726,-0.021212704,0.12710753,0.16135001,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.9419484,0.0,0.0,,0.0,0.0,0.0,0.0,-0.029053807,0.09463774,-0.19212493,0.22295877,0.013441234,-0.0053600105,2.5070656e-06,0.0,0.0,0.0,0.0,0.0,0.0
603066103,602965264,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.9419484,0.0,0.0,,0.0,0.0,0.0,0.0,-0.029053807,0.09463774,-0.19212493,0.22295877,0.005814114,0.011025933,5.9249585e-05,0.0,0.0,0.0,0.0,0.0,0.0
603075303,602975146,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.9419484,0.0,0.0,,0.0,0.0,0.0,0.0,-0.029053807,0.09463774,-0.19212493,0.22295877,0.009394261,0.022584394,0.00010374739,0.0,0.0,0.0,0.0,0.0,0.0
603084844,602985027,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.9419484,0.0,0.0,,0.0,0.0,0.0,0.0,-0.029053807,0.09463774,-0.19212493,0.22295877,-0.0025250737,0.006872675,1.8914274e-05,0.0,0.0,0.0,0.0,0.0,0.0
603095540,602994909,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.9419484,0.0,0.0,,0.0,0.0,0.0,0.0,-0.029053807,0.09463774,-0.19212493,0.22295877,-0.0059409556,-0.01255472,-8.7653105e-05,0.0,0.0,0.0,0.0,0.0,0.0
603105506,603004790,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.0040327404,-0.00623784,-1.930427e-05,0.0,0.0,0.0,0.0,0.0,0.0
603115258,603014672,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.0027532582,-0.002115988,-2.217042e-06,0.0,0.0,0.0,0.0,0.0,0.0
603125115,603024553,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,-0.0013997699,-0.007030886,-0.1457697,0.0071700215,-0.027462885,-3.3941965,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.0006880106,-0.0075511443,-3.6305173e-05,0.0,0.0,0.0,0.0,0.0,0.0
603135050,603034435,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.0051774834,-0.00481309,-0.1429187,0.015904024,-0.025301233,-3.391295,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.007788758,-0.009599526,-2.981083e-05,0.0,0.0,0.0,0.0,0.0,0.0
603145048,603044316,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.0051774834,-0.00481309,-0.1429187,0.015904024,-0.025301233,-3.391295,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.02328941,0.10105888,2.2379736e-06,0.0,0.0,0.0,0.0,0.0,0.0
603155106,603054198,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.0051774834,-0.00481309,-0.1429187,0.015904024,-0.025301233,-3.391295,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.0344331,0.0037936692,5.6724093e-05,0.0,0.0,0.0,0.0,0.0,0.0
603164740,603064079,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.0051774834,-0.00481309,-0.1429187,0.015904024,-0.025301233,-3.391295,0.0,-0.8694444,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024435401,0.097136,-0.19347614,0.2261107,0.1670968,0.07846489,-0.00087447226,0.0,0.0,0.0,0.0,0.0,0.0
603174956,603073961,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.004282033,-0.006599798,-0.14504597,0.015328452,-0.024218902,-3.3913853,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,-0.27438214,-0.21298705,-0.008044264,0.0,0.0,0.0,0.0,0.0,0.0
603183596,603083843,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.004282033,-0.006599798,-0.14504597,0.015328452,-0.024218902,-3.3913853,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,0.072912015,-0.008686694,-6.096262e-05,0.0,0.0,0.0,0.0,0.0,0.0
603193467,603093724,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.004282033,-0.006599798,-0.14504597,0.015328452,-0.024218902,-3.3913853,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,-0.014630596,-0.022788486,-0.00019144359,0.0,0.0,0.0,0.0,0.0,0.0
603203380,603103605,-0.07867419,-0.06827336,-0.16345862,-0.03580133,0.112566695,0.18129253,0.004282033,-0.006599798,-0.14504597,0.015328452,-0.024218902,-3.3913853,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,-0.12087995,0.23679072,-0.0028604092,0.0,0.0,0.0,0.0,0.0,0.0
603215242,603113487,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.0032549857,-0.010532353,-0.14468683,0.0073126704,-0.03444639,-3.3904152,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,0.019930776,-0.08321243,-0.00072402664,0.0,0.0,0.0,0.0,0.0,0.0
603223194,603123368,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.0032549857,-0.010532353,-0.14468683,0.0073126704,-0.03444639,-3.3904152,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,0.16783585,-0.06416297,-0.0014794031,0.0,0.0,0.0,0.0,0.0,0.0
603233292,603133250,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.0032549857,-0.010532353,-0.14468683,0.0073126704,-0.03444639,-3.3904152,0.0,-1.0040014,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023138642,0.09560609,-0.18973708,0.22137225,0.019752512,-0.02028295,-8.319303e-05,0.0,0.0,0.0,0.0,0.0,0.0
603243280,603143142,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.0020127257,-0.010089053,-0.14529964,0.006909527,-0.03302002,-3.3892758,0.0,-0.99115515,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,-0.0024229004,0.12561338,-0.00020675205,0.0,0.0,0.0,0.0,0.0,0.0
603252825,603153013,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.0020127257,-0.010089053,-0.14529964,0.006909527,-0.03302002,-3.3892758,0.0,-0.99115515,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,-0.0056771436,-0.23394962,-0.0039376663,0.0,0.0,0.0,0.0,0.0,0.0
603262693,603162894,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.0020127257,-0.010089053,-0.14529964,0.006909527,-0.03302002,-3.3892758,0.0,-0.99115515,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,-0.055959407,0.017156666,-0.0002636676,0.0,0.0,0.0,0.0,0.0,0.0
603272655,603172776,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.00028591347,-0.009743535,-0.14780845,0.0065290183,-0.031713635,-3.3935308,0.0,-0.99115515,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,-0.14623708,0.1816107,-0.0023383505,0.0,0.0,0.0,0.0,0.0,0.0
603282423,603182657,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.00028591347,-0.009743535,-0.14780845,0.0065290183,-0.031713635,-3.3935308,0.0,-0.99115515,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,0.13029237,0.16309816,-0.0010666052,0.0,0.0,0.0,0.0,0.0,0.0
603292577,603192539,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.00028591347,-0.009743535,-0.14780845,0.0065290183,-0.031713635,-3.3935308,0.0,-0.99115515,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,0.13721439,-0.4056088,-0.010840985,0.0,0.0,0.0,0.0,0.0,0.0
603302430,603202420,0.08069434,0.05869651,-0.15989497,-0.004128024,0.13046165,0.1849587,-0.00028591347,-0.009743535,-0.14780845,0.0065290183,-0.031713635,-3.3935308,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.021108627,0.09727982,-0.19124398,0.22332516,-0.26088944,0.046902932,-0.004102854,0.0,0.0,0.0,0.0,0.0,0.0
603312970,603212301,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0018382149,-0.006950633,-0.14550424,0.011796184,-0.030620605,-3.387527,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,0.09591299,0.17879853,-0.0009288465,0.0,0.0,0.0,0.0,0.0,0.0
603321978,603222187,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0018382149,-0.006950633,-0.14550424,0.011796184,-0.030620605,-3.387527,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,0.2519519,0.026426494,-0.0023650508,0.0,0.0,0.0,0.0,0.0,0.0
603331848,603232064,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0018382149,-0.006950633,-0.14550424,0.011796184,-0.030620605,-3.387527,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,-0.1323752,-0.0032212934,-0.0013413993,0.0,0.0,0.0,0.0,0.0,0.0
603341885,603241946,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0017808697,-0.0062445663,-0.14490883,0.011282109,-0.029353008,-3.3917234,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,-0.09758706,-0.061964005,-0.0012961011,0.0,0.0,0.0,0.0,0.0,0.0
603351920,603251828,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0017808697,-0.0062445663,-0.14490883,0.011282109,-0.029353008,-3.3917234,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,-0.003754197,-0.041527282,-0.00029554256,0.0,0.0,0.0,0.0,0.0,0.0
603361513,603261709,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0017808697,-0.0062445663,-0.14490883,0.011282109,-0.029353008,-3.3917234,0.0,-1.0974381,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,0.17169295,0.10780657,-0.0010436086,0.0,0.0,0.0,0.0,0.0,0.0
603371484,603271590,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0017808697,-0.0062445663,-0.14490883,0.011282109,-0.029353008,-3.3917234,0.0,-1.050672,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,-0.2742555,-0.008967947,-0.0047435546,0.0,0.0,0.0,0.0,0.0,0.0
603381261,603281472,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0027011887,-0.0058857286,-0.14659435,0.010822445,-0.028204143,-3.3917744,0.0,-1.050672,0.0,0.0,,0.0,0.0,0.0,0.0,-0.026892781,0.094708465,-0.19063663,0.22562209,0.17106648,-0.22065273,-0.0045177974,0.0,0.0,0.0,0.0,0.0,0.0
603391221,603291354,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0027011887,-0.0058857286,-0.14659435,0.010822445,-0.028204143,-3.3917744,0.0,-1.050672,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,-0.028582154,0.28963426,-0.003012262,0.0,0.0,0.0,0.0,0.0,0.0
603401002,603301235,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,0.0027011887,-0.0058857286,-0.14659435,0.010822445,-0.028204143,-3.3917744,0.0,-1.050672,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,0.16369267,0.15345906,-0.001355368,0.0,0.0,0.0,0.0,0.0,0.0
603410955,603311117,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,-0.00020756037,-0.0059492798,-0.14998806,0.010347612,-0.027043566,-3.3961165,0.0,-1.050672,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,-0.18639666,-0.3366122,-0.009702036,0.0,0.0,0.0,0.0,0.0,0.0
603420800,603320998,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,-0.00020756037,-0.0059492798,-0.14998806,0.010347612,-0.027043566,-3.3961165,0.0,-1.050672,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,0.0135070095,-0.23489444,-0.0039102975,0.0,0.0,0.0,0.0,0.0,0.0
603430774,603330879,-0.050521996,-0.060661696,-0.16115725,-0.022831313,0.12957181,0.21611118,-0.00020756037,-0.0059492798,-0.14998806,0.010347612,-0.027043566,-3.3961165,0.0,-1.1884506,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,-0.034512267,0.48797542,-0.009929187,0.0,0.0,0.0,0.0,0.0,0.0
603441739,603340777,0.10266396,0.015552884,-0.18411322,0.0053000897,0.1344226,0.2086885,-0.00020756037,-0.0059492798,-0.14998806,0.010347612,-0.027043566,-3.3961165,0.0,-1.1884506,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,0.04185761,0.040335063,0.00015820395,0.0,0.0,0.0,0.0,0.0,0.0
603450493,603350643,0.10266396,0.015552884,-0.18411322,0.0053000897,0.1344226,0.2086885,-0.007183328,-0.007966749,-0.14511843,0.0001513511,-0.033349574,-3.3877072,0.0,-1.1884506,0.0,0.0,,0.0,0.0,0.0,0.0,-0.024026394,0.09401915,-0.18732944,0.22304365,-0.006291756,-0.38772327,-0.009580332,0.0,0.0,0.0,0.0,0.0,0.0
603460419,603360524,0.10266396,0.015552884,-0.18411322,0.0053000897,0.1344226,0.2086885,-0.007183328,-0.007966749,-0.14511843,0.0001513511,-0.033349574,-3.3877072,0.0,-1.1884506,0.0,0.0,,0.0,0.0,0.0,0.0,-0.023611784,0.09585356,-0.19039033,0.22433615,-0.031689405,0.079891294,-7.236546e-05,0.0,0.0,0.0,0.0,0.0,0.0
