timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
603027009,602910573,-0.00010575381,0.0004612738,-0.10002646,0.99932534,-0.023998154,-0.027802253,-0.0001281083,0.00032230737,-0.00010696108,0.0020591323,-0.00023301863,0.0023894212,-0.00024831254,1.2899929e-07,1.5494152e-07,1.0288412e-07,1.1621439e-08,8.22888e-09,2.1800403e-08,4.4782914e-06,3.9803995e-06,4.2603e-06,2,3,2,100
603067098,603038760,-0.000115842304,0.00045275968,-0.100026675,0.999324,-0.02401674,-0.02783356,-0.0002213678,-0.00080647756,-0.0011416032,0.0023180018,0.008683069,-0.0009405922,-0.0017101102,1.2897817e-07,1.5492529e-07,1.0279832e-07,1.1671497e-08,8.163763e-09,2.2080007e-08,4.512749e-06,3.971002e-06,4.2569877e-06,2,3,2,100
603107345,603078254,-0.00015466195,0.0003926517,-0.10002713,0.99932957,-0.023961274,-0.027679613,-0.00027012697,-0.0015092446,-0.0013408766,0.0018711486,-0.0021980095,0.034732122,-0.013162063,1.2893683e-07,1.5490086e-07,1.0274602e-07,1.1243109e-08,8.119949e-09,2.1586157e-08,4.443477e-06,3.9755428e-06,4.2162474e-06,2,3,2,100
603141875,603113685,-0.00012389218,0.00041750778,-0.10001727,0.99932384,-0.02400146,-0.027852451,-0.00023842817,-0.00023306155,-7.480761e-05,0.0029460567,0.009077492,-0.011057192,-0.0031749364,1.2879218e-07,1.5486837e-07,1.0268598e-07,1.0865171e-08,8.049543e-09,2.1392406e-08,4.4396666e-06,3.9706033e-06,4.2164033e-06,2,3,2,100
603166029,603143261,-0.00013061032,0.00041704622,-0.100033276,0.99932915,-0.023992952,-0.027669229,-0.0001901663,-0.0011607248,-0.001183776,0.0024826506,0.0153509015,0.007309136,-0.010095283,1.2871243e-07,1.5486933e-07,1.026605e-07,1.1001271e-08,7.959213e-09,2.1181766e-08,4.5016664e-06,3.9573447e-06,4.2417323e-06,2,3,2,100
603197565,603172851,-0.00013373556,0.00043093011,-0.10003797,0.999328,-0.024046045,-0.027663548,-0.00015020763,0.001540716,-0.0021740545,0.00205166,0.030771678,-0.029829368,-0.014751595,1.285282e-07,1.5476422e-07,1.02644314e-07,1.1126153e-08,7.959275e-09,2.0700103e-08,4.469767e-06,3.955622e-06,4.222692e-06,2,3,2,100
603241533,603212320,-0.00011589249,0.00043328054,-0.10002295,0.9993264,-0.024056446,-0.027713584,-0.00017856061,3.3364027e-05,-0.00042556055,0.0022942475,0.0006836546,0.0014554677,0.013199178,1.2837657e-07,1.5468625e-07,1.0260326e-07,1.1079265e-08,7.861547e-09,2.0837598e-08,4.458194e-06,3.9216366e-06,4.1962326e-06,2,3,2,100
603268260,603241944,-0.0001441024,0.0004211477,-0.1000364,0.99933,-0.024018038,-0.027617028,-0.00017476514,0.00048602067,0.00012763498,0.0023047905,-0.00036523794,-0.0077289008,-0.007970869,1.2829976e-07,1.5461265e-07,1.025946e-07,1.12107905e-08,7.944462e-09,2.0765661e-08,4.466584e-06,3.945397e-06,4.200596e-06,2,3,2,100
603310795,603281448,-0.00013100321,0.00043580815,-0.10002091,0.99932474,-0.024107553,-0.027727298,-0.00018222419,0.00043979354,0.0011031345,0.0024661995,-0.01408688,0.0014575208,0.010398322,1.2817935e-07,1.5458319e-07,1.0262075e-07,1.1084545e-08,7.952456e-09,2.082209e-08,4.4735157e-06,3.959742e-06,4.2083466e-06,2,3,2,100
603340836,603311055,-0.00014001923,0.0004364989,-0.10001597,0.9993293,-0.024013693,-0.027645392,-0.00016832049,3.7756716e-05,0.0025178478,0.0028060314,-0.014474251,-0.008525783,-0.007043774,1.2809285e-07,1.545099e-07,1.0260968e-07,1.1021438e-08,8.064472e-09,2.0781709e-08,4.46368e-06,3.993699e-06,4.2437437e-06,2,3,2,100
