timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
602987847,602986707,527625,0.23891667,0.10225,-0.45016667,,0
603007651,603006708,527625,0.23666666,0.10391667,-0.451,,0
603027640,603026707,527625,0.2385,0.10125,-0.4443333,,0
603047636,603046705,527625,0.241,0.1,-0.45016667,,0
603067865,603066924,527625,0.23933333,0.09791666,-0.446,,0
603087639,603086707,527625,0.23808333,0.105,-0.446,,0
603107696,603106706,527625,0.241,0.10141666,-0.446,,0
603127636,603126704,527625,0.23308334,0.09683333,-0.44891667,,0
603147643,603146705,527625,0.23666666,0.10183333,-0.4485,,0
603167639,603166708,527625,0.2385,0.10225,-0.45141667,,0
603187653,603186720,527625,0.24208333,0.10225,-0.45058334,,0
603207822,603206708,527625,0.24016666,0.100833334,-0.45433334,,0
603227638,603226705,527625,0.23891667,0.09725,-0.44808334,,0
603247645,603246707,527625,0.23808333,0.099583335,-0.451,,0
603267649,603266708,527625,0.23975,0.10183333,-0.45058334,,0
603287712,603286778,527625,0.24058333,0.0975,-0.44891667,,0
603307827,603306718,527625,0.23766667,0.1,-0.44975,,0
603327640,603326707,527625,0.23891667,0.099583335,-0.45225,,0
603347654,603346709,527625,0.23766667,0.098749995,-0.44766667,,0
603367707,603366742,527625,0.2385,0.10125,-0.4485,,0
603387798,603386866,527625,0.23766667,0.103083335,-0.45141667,,0
603407893,603406709,527625,0.23975,0.10125,-0.4485,,0
603427650,603426707,527625,0.23666666,0.094333336,-0.44808334,,0
603447640,603446707,527625,0.23625,0.096,-0.45016667,,0
603467650,603466708,527625,0.24166666,0.10183333,-0.44766667,,0
603487807,603486875,527625,0.2385,0.10225,-0.44808334,,0
603507645,603506709,527625,0.24016666,0.10183333,-0.44808334,,0
603527640,603526706,527625,0.24016666,0.10266667,-0.4485,,0
603547659,603546724,527625,0.24249999,0.10125,-0.45266667,,0
603567707,603566769,527625,0.2385,0.1035,-0.44891667,,0
603587905,603586708,527625,0.24374999,0.100833334,-0.446,,0
603607962,603606745,527625,0.241,0.100833334,-0.446,,0
603627703,603626704,527625,0.24058333,0.100833334,-0.446,,0
603647639,603646707,527625,0.241,0.09475,-0.4455833,,0
603667651,603666714,527625,0.241,0.10141666,-0.44766667,,0
