timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
603028717,3670026,3670026,0,0,233,0,0,0,0,0,798.7142,798.7142,3993.5708,7987.1416,0.041288316,0.0024421024,2.4095897e-10,0.07686056,0.1192386,-10.391107,-0.026808098,0.0002620467,0.0022902216,0.019288374,0.1063221,0.20615269,0.00012512218,2.7383794e-05,2.6493271e-05,44.130417,44.130417
603128871,3670026,3670026,0,0,233,0,0,0,0,0,798.71423,798.71423,3993.571,7987.142,0.14642479,0.0077010137,3.2407617e-09,0.096204676,0.07346573,-10.429514,-0.025615968,-0.0005994557,0.003455273,0.3374155,1.5723164,0.75476915,0.0009781711,0.00039807687,0.0012936776,44.091747,44.091747
603234093,3670026,3670026,0,0,233,0,0,0,0,0,798.71405,798.71405,3993.5703,7987.1406,0.20817195,0.010381372,1.7774683e-09,0.0743738,0.10950137,-10.393718,-0.026482191,0.004698411,0.0022563378,0.31406835,1.1696683,0.9956472,0.00078265136,0.0004176107,0.0003451634,44.067314,44.067314
603334122,3670026,3670026,0,0,233,0,0,0,0,0,798.7144,798.7144,3993.572,7987.144,0.2424654,0.012100714,1.5605358e-09,0.07489175,0.0796043,-10.376922,-0.027429482,-0.00046449323,0.0024578515,0.34441108,0.8893239,0.5339498,0.00074753363,0.00021738862,0.00041459507,44.053684,44.053684
603434155,3670026,3670026,0,0,233,0,0,0,0,0,798.7145,798.7145,3993.5723,7987.1445,0.27249178,0.013169962,1.328451e-09,0.09799651,0.13244866,-10.3324995,-0.02618298,-0.00020030548,0.0024667261,0.20602092,0.62767017,0.483844,0.00076155877,0.00023600223,0.00025681042,44.058872,44.058872
603534373,3670026,3670026,0,0,233,0,0,0,0,0,798.71454,798.71454,3993.5728,7987.1455,0.3040082,0.015105392,1.7827727e-09,0.09991267,0.087046504,-10.29757,-0.026897406,0.0006801875,0.0025983832,0.3291503,0.7692808,1.002849,0.0008707133,0.00035350706,0.00044813872,44.103317,44.103317
603634517,3670026,3670026,0,0,233,0,0,0,0,0,798.71466,798.71466,3993.573,7987.146,0.3115258,0.016508019,1.2428983e-09,0.09132951,0.12736747,-10.267975,-0.026772851,0.0005219313,0.001709298,0.28384334,0.77148753,0.6040619,0.0008267266,0.00042613468,0.00034653573,44.133415,44.133415
603734668,3670026,3670026,0,0,233,0,0,0,0,0,798.7147,798.7147,3993.5735,7987.147,0.34764132,0.017729063,1.4981328e-09,0.09670353,0.06519176,-10.316288,-0.025757737,0.00080597994,0.0026189133,0.31537017,0.943361,1.035649,0.0007897743,0.0004486355,0.00019993875,44.157284,44.157284
603834879,3670026,3670026,0,0,233,0,0,0,0,0,798.7147,798.7147,3993.5737,7987.1475,0.36787903,0.018347092,1.2750258e-09,0.1035251,0.097351894,-10.31438,-0.02608336,0.00047651696,0.0024227651,0.1990261,0.8221074,0.39320922,0.0008848428,0.0005897868,0.0002820235,44.15661,44.15661
603935015,3670026,3670026,0,0,233,0,0,0,0,0,798.7148,798.7148,3993.5742,7987.1484,0.3716196,0.018515991,1.4570696e-09,0.08236795,0.100035384,-10.368109,-0.026210036,0.00040623356,0.0025673676,0.18029132,0.6003196,1.0825553,0.000850234,0.00029173747,0.0003454701,44.146942,44.146942
604035430,3670026,3670026,0,0,233,0,0,0,0,0,798.7149,798.7149,3993.5745,7987.149,0.38300407,0.01982439,1.8209241e-09,0.0752913,0.09148987,-10.405806,-0.027993923,-0.00028137732,0.0021394277,0.18149492,0.79544866,0.55010575,0.0009101473,0.000547083,0.00041326194,44.115856,44.115856
604135560,3670026,3670026,0,0,233,0,0,0,0,0,798.71497,798.71497,3993.5747,7987.1494,0.4215126,0.0213323,1.3214321e-09,0.088168785,0.09458399,-10.378807,-0.024343755,0.0014252568,0.0032808448,0.2187749,0.6539243,0.9721031,0.0014613977,0.00041886428,0.0003413322,44.077488,44.077488
604235681,3670026,3670026,0,0,233,0,0,0,0,0,798.715,798.715,3993.5752,7987.1504,0.4435701,0.022151487,2.502293e-09,0.10318128,0.108248666,-10.364687,-0.02684686,0.0008603416,0.0023513422,0.2346217,0.89863867,0.65329516,0.0009824864,0.00046289296,0.00061302184,44.07351,44.07351
604335746,3670026,3670026,0,0,233,0,0,0,0,0,798.715,798.715,3993.5752,7987.1504,0.45830873,0.022994354,2.2341062e-09,0.09902717,0.09510944,-10.394429,-0.026271349,0.00026448807,0.0016530703,0.24121487,0.55116284,0.59579706,0.00082972285,0.00038132037,0.0009268473,44.05673,44.05673
604435881,3670026,3670026,0,0,233,0,0,0,0,0,798.7151,798.7151,3993.5757,7987.1514,0.4868364,0.024486331,2.036041e-09,0.080676995,0.09951729,-10.379732,-0.02688329,-0.00017958856,0.0015380427,0.26566318,0.8893201,1.0191659,0.0008953948,0.00052532204,0.0008762954,44.044487,44.044487
604535932,3670026,3670026,0,0,233,0,0,0,0,0,798.7151,798.7151,3993.5754,7987.151,0.50513786,0.025051365,1.2852696e-09,0.07442465,0.096885756,-10.402622,-0.024588333,0.00051968184,0.0029545175,0.25829637,0.80691546,0.5679702,0.0009619209,0.00033309756,0.00041832542,44.01591,44.01591
604636155,3670026,3670026,0,0,233,0,0,0,0,0,798.71533,798.71533,3993.5767,7987.1533,0.51194566,0.024973683,1.8723825e-09,0.095193155,0.097057395,-10.431026,-0.02651486,0.0008149774,0.0024481786,0.15455411,0.86914366,0.7747538,0.00093362696,0.00035979057,0.000538313,43.996025,43.996025
604736238,3670026,3670026,0,0,233,0,0,0,0,0,798.71545,798.71545,3993.577,7987.154,0.51243526,0.02548649,2.502242e-09,0.08677752,0.121074215,-10.39394,-0.02782989,0.0010071954,0.0017700335,0.19349374,0.76271355,0.7903039,0.00071190886,0.00032705514,0.00094995357,43.97105,43.97105
604836398,3670026,3670026,0,0,233,0,0,0,0,0,798.7155,798.7155,3993.5774,7987.155,0.52787787,0.026084915,2.1969349e-09,0.08593594,0.089409456,-10.4005375,-0.025760079,0.00018635174,0.0022445933,0.1642844,1.0017576,0.7530033,0.0010577784,0.0004631999,0.0007640638,43.95612,43.95612
604936607,3670026,3670026,0,0,233,0,0,0,0,0,798.7156,798.7156,3993.578,7987.156,0.5271565,0.025764886,1.7061301e-09,0.08593467,0.08503422,-10.388505,-0.025125537,0.00054920814,0.0023613558,0.28000054,0.6851359,0.95526904,0.0012114815,0.00032468096,0.00046970864,43.952087,43.952087
605036744,3670026,3670026,0,0,233,0,0,0,0,0,798.7156,798.7156,3993.5781,7987.1562,0.52548754,0.024892507,2.1262434e-09,0.07553855,0.09853915,-10.402386,-0.027524488,0.0006501787,0.0027813353,0.1714746,0.6332499,0.6173141,0.0009911067,0.00040497098,0.0006135109,43.925274,43.925274
605137187,3670026,3670026,0,0,233,0,0,0,0,0,798.71564,798.71564,3993.5784,7987.1567,0.52005327,0.024848886,1.6206527e-09,0.0946963,0.106511466,-10.379867,-0.024937747,0.0008966788,0.0022510523,0.2051249,0.6340439,0.7652883,0.00087174424,0.00038253306,0.00063048693,43.919884,43.919884
605237288,3670026,3670026,0,0,233,0,0,0,0,0,798.71576,798.71576,3993.5786,7987.157,0.5126088,0.02501876,1.9803092e-09,0.09849134,0.09420935,-10.376337,-0.027273184,0.0001704804,0.0023276105,0.22841947,0.8331752,0.95887345,0.0008629946,0.0004569332,0.00064499193,43.918907,43.918907
605337456,3670026,3670026,0,0,233,0,0,0,0,0,798.7159,798.7159,3993.5793,7987.1587,0.5239108,0.02488168,1.6249705e-09,0.1036663,0.11627918,-10.365937,-0.024808979,0.00092947134,0.0020747755,0.18474708,0.73353255,0.51479506,0.0005850405,0.00041128325,0.00050096575,43.92527,43.92527
605442373,3670026,3670026,0,0,233,0,0,0,0,0,798.71594,798.71594,3993.5796,7987.159,0.7016891,0.030609066,4.1683883e-09,0.05229946,0.10597809,-10.384627,-0.023361158,0.0024863696,0.0041418546,4.8908367,8.874547,15.882997,0.0031350504,0.0036109684,0.001083062,43.916134,43.916134
605542484,3670026,3670026,0,0,233,0,0,0,0,0,798.71606,798.71606,3993.58,7987.16,1.1374382,0.04493264,2.238555e-08,0.12524419,0.0369589,-10.310779,-0.036511507,0.023550376,0.0012096523,8.184994,30.72345,33.410183,0.017545965,0.008759364,0.0063399216,43.914738,43.914738
