timestamp,process_load,system_load,ram_usage,platform[0],platform[1],platform[2],platform[3],platform[4]
602907872,0.73298323,0.73298323,0.76816916,78,85,84,84,88
603407107,0.8503193,0.8503193,0.76827115,78,85,84,84,88
603907360,0.80686176,0.80686176,0.76827115,78,85,84,84,88
604407262,0.78299975,0.78299975,0.76827115,78,85,84,84,88
604907792,0.78053004,0.78053004,0.76827115,78,85,84,84,88
605408344,0.77594435,0.77594435,0.76827115,78,85,84,84,88
605907056,0.7838728,0.7838728,0.76827115,78,85,84,84,88
606407061,0.78191864,0.78191864,0.76827115,78,85,84,84,88
606907233,0.77961177,0.77961177,0.76827115,78,85,84,84,88
607407084,0.7887201,0.7887201,0.76827115,78,85,84,84,88
607908134,0.7834389,0.7834389,0.76827115,78,85,84,84,88
608407161,0.7442382,0.7442382,0.76827115,78,85,84,84,88
608907061,0.7810032,0.7810032,0.76827115,78,85,84,84,88
609407270,0.7368295,0.7368295,0.76827115,78,85,84,84,88
609907915,0.75559455,0.75559455,0.76827115,78,85,84,84,88
610407946,0.78765684,0.78765684,0.76827115,78,85,84,84,88
610907206,0.75401443,0.75401443,0.76827115,78,85,84,84,88
611407539,0.77757126,0.77757126,0.76827115,78,85,84,84,88
611907229,0.7485443,0.7485443,0.76827115,78,85,84,84,88
612407736,0.72826,0.72826,0.76827115,78,85,84,84,88
612907999,0.7693882,0.7693882,0.76827115,78,85,84,84,88
613407232,0.7844955,0.7844955,0.76827115,78,85,84,84,88
613907113,0.74064755,0.74064755,0.76827115,78,85,84,84,88
614407056,0.7725539,0.7725539,0.76827115,78,85,84,84,88
614907911,0.78166616,0.78166616,0.76827115,78,85,84,84,88
615407079,0.7727642,0.7727642,0.76827115,78,85,84,84,88
615907060,0.77975464,0.77975464,0.76827115,78,85,84,84,88
616407165,0.7788316,0.7788316,0.76827115,78,85,84,84,88
616907305,0.7812558,0.7812558,0.76827115,78,85,84,84,88
617408267,0.7803583,0.7803583,0.76827115,78,85,84,84,88
617908575,0.78113616,0.78113616,0.76827115,78,85,84,84,88
618407067,0.7804283,0.7804283,0.76827115,78,85,84,84,88
618907286,0.777744,0.777744,0.76827115,78,85,84,84,88
619407059,0.774768,0.774768,0.76827115,78,85,84,84,88
619907575,0.78047407,0.78047407,0.76827115,78,85,84,84,88
620407479,0.7756036,0.7756036,0.76827115,78,85,84,84,88
620907054,0.7801369,0.7801369,0.76827115,78,85,84,84,88
621407076,0.78130496,0.78130496,0.76827115,78,85,84,84,88
621907439,0.7775751,0.7775751,0.76827115,78,85,84,84,88
622407082,0.77953756,0.77953756,0.76827115,78,85,84,84,88
622907841,0.7823583,0.7823583,0.76827115,78,85,84,84,88
623407211,0.778792,0.778792,0.76827115,78,85,84,84,88
623907965,0.7792182,0.7792182,0.76827115,78,85,84,84,88
624409561,0.77842784,0.77842784,0.76827115,78,85,84,84,88
624907078,0.77665704,0.77665704,0.76827115,78,85,84,84,88
625407063,0.78084415,0.78084415,0.76827115,78,85,84,84,88
625907067,0.77889,0.77889,0.76827115,78,85,84,84,88
626407055,0.7793724,0.7793724,0.76827115,78,85,84,84,88
626907639,0.7796617,0.7796617,0.76827115,78,85,84,84,88
627407379,0.78207445,0.78207445,0.76827115,78,85,84,84,88
627907962,0.7779746,0.7779746,0.76827115,78,85,84,84,88
628407096,0.77856505,0.77856505,0.76827115,78,85,84,84,88
628907059,0.7792809,0.7792809,0.76827115,78,85,84,84,88
629407231,0.7795643,0.7795643,0.76827115,78,85,84,84,88
629907260,0.7815302,0.7815302,0.76827115,78,85,84,84,88
630408384,0.77166665,0.77166665,0.76827115,78,85,84,84,88
630909098,0.77644604,0.77644604,0.76827115,78,85,84,84,88
631407054,0.781365,0.781365,0.76827115,78,85,84,84,88
631907760,0.77670133,0.77670133,0.76827115,78,85,84,84,88
632407194,0.78117985,0.78117985,0.76827115,78,85,84,84,88
632907389,0.7815365,0.7815365,0.76827115,78,85,84,84,88
633407501,0.7807689,0.7807689,0.76827115,78,85,84,84,88
633907055,0.7759744,0.7759744,0.76827115,78,85,84,84,88
634408724,0.77647066,0.77647066,0.76827115,78,85,84,84,88
634907391,0.77797765,0.77797765,0.76827115,78,85,84,84,88
635407126,0.7829996,0.7829996,0.76827115,78,85,84,84,88
635907054,0.77543586,0.77543586,0.76827115,78,85,84,84,88
636407056,0.773895,0.773895,0.76827115,78,85,84,84,88
636907495,0.7848982,0.7848982,0.76827115,78,85,84,84,88
637408948,0.7767134,0.7767134,0.76827115,78,85,84,84,88
637907235,0.77521336,0.77521336,0.76827115,78,85,84,84,88
638407700,0.77654463,0.77654463,0.76827115,78,85,84,84,88
638907054,0.7791213,0.7791213,0.76827115,78,85,84,84,88
639407242,0.7805824,0.7805824,0.76827115,78,85,84,84,88
639907227,0.7831223,0.7831223,0.76827115,78,85,84,84,88
640407110,0.7793299,0.7793299,0.76827115,78,85,84,84,88
640907475,0.77671,0.77671,0.76827115,78,85,84,84,88
641407197,0.779014,0.779014,0.76827115,78,85,84,84,88
641907289,0.7715253,0.7715253,0.76827115,78,85,84,84,88
642407066,0.7821039,0.7821039,0.76827115,78,85,84,84,88
642907068,0.784453,0.784453,0.76827115,78,85,84,84,88
643407255,0.78131056,0.78131056,0.76827115,78,85,84,84,88
643908218,0.77849627,0.77849627,0.76827115,78,85,84,84,88
644409051,0.7789364,0.7789364,0.76827115,78,85,84,84,88
644907055,0.77948415,0.77948415,0.76827115,78,85,84,84,88
645407075,0.78061724,0.78061724,0.76827115,78,85,84,84,88
645907418,0.782711,0.782711,0.76827115,78,85,84,84,88
