timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
603035484,602933007,3670026,-0.008635172,-0.002524877,0.0018492317,0.15,1.9207323e-07,1.9207313e-07,4.1720182e-07,3670026,0.0009738726,0.06209306,-0.34573194,0.4,0.00049919344,0.00049918675,0.00049841776,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603064761,602963055,3670026,-0.008640573,-0.0025364747,0.0018490846,0.15,1.9114836e-07,1.9114788e-07,4.1750206e-07,3670026,0.0009652967,0.062094823,-0.34717873,0.4,0.00049919507,0.0004991883,0.0004984172,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603214830,603113293,3670026,-0.008634046,-0.0025286633,0.0018452844,0.15,1.9137946e-07,1.9137863e-07,4.1761476e-07,3670026,0.0009712564,0.06209159,-0.3487711,0.4,0.0004992077,0.00049920095,0.000498417,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603315429,603213451,3670026,-0.008636785,-0.0025381981,0.0018412302,0.15,1.9115355e-07,1.9115241e-07,4.1722706e-07,3670026,0.00096344476,0.062091727,-0.35036674,0.4,0.0004992165,0.0004992097,0.0004984174,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603445359,603343657,3670026,-0.0086262915,-0.0025340368,0.0018393693,0.15,1.9121622e-07,1.9121474e-07,4.1783568e-07,3670026,0.0009676734,0.062085032,-0.3521244,0.4,0.00049922755,0.0004992208,0.0004984174,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603565438,603463847,3670026,-0.008633279,-0.0025429635,0.0018366226,0.15,1.9118585e-07,1.9118413e-07,4.1764923e-07,3670026,0.0009597395,0.062088385,-0.3535327,0.4,0.0004992379,0.0004992311,0.0004984175,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603695876,603594052,3670026,-0.008624271,-0.0025451004,0.0018320034,0.15,1.9124585e-07,1.9124381e-07,4.1756442e-07,3670026,0.0009593354,0.062082056,-0.3551426,0.4,0.00049924996,0.0004992432,0.0004984184,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603815784,603714244,3670026,-0.008627422,-0.002541179,0.0018278793,0.15,1.9121289e-07,1.9121057e-07,4.173776e-07,3670026,0.0009608821,0.0620844,-0.35650188,0.4,0.0004992585,0.0004992517,0.00049841666,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
603946123,603844449,3670026,-0.008626557,-0.002549124,0.0018222544,0.15,1.9127074e-07,1.9126811e-07,4.1729382e-07,3670026,0.0009559884,0.06208215,-0.3579474,0.4,0.0004992706,0.0004992638,0.0004984175,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604066250,603964639,3670026,-0.008638791,-0.0025528073,0.001819944,0.15,1.912345e-07,1.9123155e-07,4.1780348e-07,3670026,0.0009514848,0.062089134,-0.3591775,0.4,0.0004992809,0.0004992741,0.0004984175,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604216975,604114876,3670026,-0.008623962,-0.002545861,0.0018148266,0.15,1.9145402e-07,1.9145078e-07,4.179208e-07,3670026,0.0009579398,0.062080707,-0.36073935,0.4,0.00049929426,0.00049928745,0.0004984178,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
604317078,604215034,3670026,-0.008629585,-0.0025602547,0.0018110272,0.15,1.9121865e-07,1.9121516e-07,4.1753708e-07,3670026,0.00094752194,0.062081784,-0.36211208,0.4,0.00049930305,0.0004992962,0.0004984181,527625,0.24803257,-0.29404035,-0.49993172,0.5,2.663173e-05,5.6832403e-05,0.00012484267,1,1,1,0,1,0
