timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
603047200,603046786,2490386,0.48961425,0.170946,-10.35588,39.95773,0,0,0,0,10
603048444,603048022,2490386,0.59017074,1.0919954,-10.051098,39.91546,0,0,0,0,10
603049648,603049257,2490386,-0.44556093,0.09983821,-10.700167,39.794685,0,0,0,0,10
603050890,603050493,2490386,-0.98617166,-1.564132,-11.006385,39.830917,0,0,0,0,10
603052174,603051728,2490386,-0.13599066,0.3963601,-8.540895,39.855072,0,0,0,0,10
603053398,603052963,2490386,-0.23942018,0.53678,-10.534727,39.86111,0,0,0,0,10
603054583,603054198,2490386,-0.72496426,0.4213795,-10.539994,39.758453,0,0,0,0,10
603055849,603055441,2490386,-0.3878607,0.43239284,-9.218874,39.8128,0,0,0,0,10
603057056,603056668,2490386,-0.09672575,0.22146367,-9.1784115,39.91546,0,0,0,0,10
603058282,603057903,2490386,0.18171991,-0.2786851,-10.820355,39.830917,0,0,0,0,10
603059515,603059139,2490386,0.45537716,0.8614338,-10.868718,39.77053,0,0,0,0,10
603060777,603060374,2490386,-0.1067814,1.2943054,-9.680955,39.758453,0,0,0,0,10
603062076,603061612,2490386,-1.8880675,-0.818817,-11.0935335,39.764492,0,0,0,0,10
603063261,603062844,2490386,-0.0081402855,-3.2515655,-9.617029,39.746376,0,0,0,0,10
603064431,603064079,2490386,-0.5760449,2.3264458,-9.816466,39.746376,0,0,0,0,10
603066914,603066550,2490386,1.087207,1.3204023,-9.971372,39.710144,0,0,0,0,10
603069357,603069020,2490386,-0.59783214,-1.2744336,-10.0092,39.806763,0,0,0,0,10
603073137,603072726,2490386,-0.61530983,-0.5224148,-12.115379,39.81884,0,0,0,0,10
603076840,603076442,2490386,-0.39767691,0.2612074,-10.225636,39.81884,0,0,0,0,10
603080483,603080137,2490386,-0.4192247,1.5033193,-8.295191,39.746376,0,0,0,0,10
603084182,603083843,2490386,-0.07062895,1.117374,-9.260533,39.788647,0,0,0,0,10
603086657,603086312,2490386,-0.4118027,0.5353435,-9.833466,39.800724,0,0,0,0,10
603090355,603090018,2490386,-0.541329,-1.6251842,-10.526587,39.740337,0,0,0,0,10
603096601,603096195,2490386,0.59615624,-0.88585466,-9.653421,39.806763,0,0,0,0,10
