timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7],control[8],control[9],control[10],control[11],reversible_flags
603055735,603055441,0.0021366146,5.258889e-11,0.002136615,0.0,,,,,,,,,0
603056948,603056668,0.0021366142,7.465131e-11,0.0016057639,0.0005308501,,,,,,,,,0
603058180,603057903,0.0013958771,7.908957e-11,0.0010973191,0.0017800335,,,,,,,,,0
603059413,603059139,6.566017e-11,0.0021233498,0.0006413911,0.0015084882,,,,,,,,,0
603060668,603060374,3.7686257e-11,0.0021366142,0.0,0.002136615,,,,,,,,,0
603065590,603065315,2.366718e-12,0.002136614,0.0,0.0021366149,,,,,,,,,0
603068053,603067785,1.21264665e-11,0.0021366142,0.0,0.002136615,,,,,,,,,0
603070567,603070256,1.1773915e-10,0.0021366149,1.1509149e-10,0.0021366146,,,,,,,,,0
603075518,603075196,0.0,0.0021366149,2.20235e-10,0.002136614,,,,,,,,,0
603077933,603077666,0.0,0.002136615,1.6621415e-10,0.0021366142,,,,,,,,,0
603081641,603081372,0.0,0.0021366149,1.973097e-10,0.0021366144,,,,,,,,,0
603085347,603085078,0.00010020549,0.00223682,1.6337665e-10,0.001936203,,,,,,,,,0
603089062,603088783,0.0009054846,0.0013980054,0.0016014678,0.00036827128,,,,,,,,,0
603091512,603091253,0.0021366142,5.3847524e-11,0.002136615,1.7898312e-10,,,,,,,,,0
603095269,603094959,0.0021366146,5.3932733e-11,0.002136615,0.0,,,,,,,,,0
603098929,603098666,0.0021366146,5.4941662e-11,0.0021366146,0.0,,,,,,,,,0
603102694,603102370,6.134472e-11,0.0021366144,0.0014223497,0.00071426475,,,,,,,,,0
603106367,603106077,0.00082770345,0.0029643178,0.0004812078,2.3119909e-11,,,,,,,,,0
603110049,603109782,0.00033279767,0.0024694123,2.0025245e-10,0.0014710187,,,,,,,,,0
603115046,603114722,0.00032906127,0.0024656758,1.4084267e-10,0.0014784915,,,,,,,,,0
603116226,603115958,0.00012325993,0.0022598745,1.5240201e-10,0.0018900944,,,,,,,,,0
603119934,603119663,0.00024215311,0.0023787678,7.694802e-11,0.0016523082,,,,,,,,,0
603124932,603124603,6.079831e-12,0.0021366144,0.0,0.0021366144,,,,,,,,,0
603127357,603127074,1.44115e-11,0.0021366149,0.0,0.0021366149,,,,,,,,,0
603131053,603130780,1.0396703e-10,0.0021366146,0.0,0.0021366144,,,,,,,,,0
603134762,603134485,2.7209415e-11,0.0021366146,0.0,0.0021366149,,,,,,,,,0
603137266,603136955,4.312673e-11,0.002136614,7.328859e-11,0.0021366146,,,,,,,,,0
603141054,603140661,9.141215e-11,0.0021366149,2.5003173e-11,0.0021366142,,,,,,,,,0
603145906,603145602,2.0960937e-10,0.0021366146,2.3221272e-11,0.0021366142,,,,,,,,,0
603148341,603148072,0.0,0.0021366144,1.2020357e-11,0.0021366149,,,,,,,,,0
603152033,603151777,0.0,0.0021362472,5.588035e-11,0.0021362475,,,,,,,,,0
603154555,603154248,4.461473e-11,0.0021362472,1.3592932e-11,0.0021362472,,,,,,,,,0
603158211,603157953,1.900843e-11,0.00013350243,0.0031376197,0.0010013724,,,,,,,,,0
603161929,603161659,0.002136247,6.851032e-11,0.0021362477,1.6432032e-10,,,,,,,,,0
603165645,603165365,0.0021362468,8.356983e-11,0.0021362472,1.4926081e-10,,,,,,,,,0
603169382,603169070,1.7253862e-11,0.0021362472,0.00045621835,0.0016800289,,,,,,,,,0
603174290,603174011,2.2812147e-10,0.0021362472,4.7091775e-12,0.002136247,,,,,,,,,0
603175529,603175255,0.0,0.0021362472,5.131775e-11,0.0021362472,,,,,,,,,0
603179263,603178951,0.0024283563,0.0016524132,6.053366e-12,0.00019172486,,,,,,,,,0
603184165,603183893,0.003038793,0.0010315647,1.0489214e-11,0.00020213677,,,,,,,,,0
603186628,603186363,0.0015309858,0.00060526154,1.8555085e-11,0.0021362475,,,,,,,,,0
