timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
603055321,603054198,59.39481951217148,24.66013339412876,29.427904,45.079494,0.001706928,0.9858715,1.2532564,,7,7,0,0
603066179,603064079,59.39481951528532,24.66013338574605,29.42778,45.07993,0.001706928,0.9839167,1.2521596,,7,7,0,0
603075727,603073961,59.394819518182274,24.660133377588927,29.42772,45.07987,0.001706928,0.98407716,1.2522748,,7,7,0,0
603084922,603083843,59.39481952103029,24.660133369659484,29.427727,45.079876,0.001706928,0.9842391,1.2523906,,7,7,0,0
603095618,603093724,59.39481952407599,24.66013336181743,29.427773,45.07992,0.001706928,0.9844026,1.2525073,,7,7,0,0
603105601,603103605,59.39481952682754,24.66013335422701,29.4277,45.07985,0.001706928,0.98456764,1.2524835,,7,7,0,0
603115331,603113487,59.39481952938009,24.660133346835583,29.427696,45.079845,0.001706928,0.9847343,1.2526009,,7,7,0,0
603125188,603123368,59.39481953200104,24.660133339884787,29.42774,45.079887,0.001706928,0.98490244,1.2527192,,7,7,0,0
603135125,603133250,59.39481953463646,24.66013333314825,29.427843,45.079994,0.001706928,0.9850722,1.252838,,7,7,0,0
603145129,603143142,59.394819537064514,24.66013332677785,29.428007,45.080154,0.001706928,0.98524356,1.2529577,,7,7,0,0
603155180,603153013,59.39481953951789,24.660133320651447,29.428219,45.080368,0.001706928,0.98541653,1.2530781,,7,7,0,0
603164873,603162894,59.394819541996725,24.66013331447161,29.428488,45.080635,0.001706928,0.9855912,1.2531993,,7,7,0,0
603175030,603172776,59.39481954429935,24.660133308562106,29.42859,45.08074,0.001706928,0.9857674,1.2531726,,7,7,0,0
603184476,603182657,59.39481954632612,24.66013330281395,29.428743,45.080894,0.001706928,0.9859453,1.2532946,,7,7,0,0
603193539,603192539,59.3948195486085,24.660133297484315,29.428944,45.081093,0.001706928,0.9861249,1.2534174,,7,7,0,0
603203487,603202420,59.39481955084163,24.660133291946995,29.42921,45.08136,0.001706928,0.9863061,1.2535409,,7,7,0,0
603215316,603212301,59.39481955025038,24.660133278859533,29.429268,45.083904,0.001706928,0.9842802,1.2524173,,7,7,0,0
603223267,603222187,59.39481954965264,24.66013326636984,29.42938,45.084015,0.001706928,0.9844441,1.2525342,,7,7,0,0
603233435,603232064,59.39481954912337,24.660133254316293,29.429537,45.08417,0.001706928,0.9846094,1.2526516,,7,7,0,0
603243597,603241946,59.394819548466046,24.66013324239199,29.429527,45.084164,0.001706928,0.9847763,1.2526271,,7,7,0,0
603252899,603251828,59.39481954790909,24.660133230727748,29.429577,45.084213,0.001706928,0.9849448,1.2527454,,7,7,0,0
603262773,603261709,59.39481954742251,24.66013321958309,29.429693,45.084328,0.001706928,0.9851149,1.2528645,,7,7,0,0
603272727,603271590,59.3948195467936,24.660133208630597,29.429863,45.0845,0.001706928,0.9852866,1.2529843,,7,7,0,0
603282503,603281472,59.39481954623526,24.660133197855764,29.430082,45.084717,0.001706928,0.9854599,1.2531049,,7,7,0,0
603292691,603291354,59.39481954572488,24.66013318748971,29.430357,45.08499,0.001706928,0.9856348,1.2532262,,7,7,0,0
603302534,603301235,59.39481954497959,24.66013317766931,29.430452,45.085087,0.001706928,0.9858114,1.2531993,,7,7,0,0
603313042,603311117,59.39481954630213,24.66013316799052,29.430374,45.086945,0.001706928,0.98386306,1.2521079,,7,7,0,0
603322051,603320998,59.3948195478587,24.660133158316995,29.43035,45.08692,0.001706928,0.984023,1.2522227,,7,7,0,0
603331926,603330879,59.394819549247856,24.660133149035136,29.430393,45.086964,0.001706928,0.98418444,1.2523382,,7,7,0,0
603341973,603340777,59.394819550344245,24.66013314025787,29.4305,45.08707,0.001706928,0.9843474,1.2524545,,7,7,0,0
603352012,603350643,59.39481955151288,24.660133131530085,29.430649,45.08722,0.001706928,0.9845119,1.2525715,,7,7,0,0
603361585,603360524,59.39481955286724,24.66013312296049,29.430851,45.08742,0.001706928,0.984678,1.2526892,,7,7,0,0
603371556,603370405,59.3948195539485,24.66013311494156,29.430895,45.087467,0.001706928,0.98484564,1.2526647,,7,7,0,0
603381338,603380286,59.39481955487624,24.660133107206896,29.430992,45.087563,0.001706928,0.98501486,1.2527833,,7,7,0,0
603391325,603390168,59.39481955614278,24.660133099399324,29.431133,45.087704,0.001706928,0.98518574,1.2529026,,7,7,0,0
603401076,603400049,59.394819557348654,24.660133091982104,29.431341,45.087914,0.001706928,0.9853582,1.2530227,,7,7,0,0
603411034,603409932,59.39481955810326,24.660133085021304,29.431618,45.08819,0.001706928,0.9855322,1.2531434,,7,7,0,0
603420874,603419813,59.39481955900045,24.66013307816921,29.431932,45.088505,0.001706928,0.98570794,1.253265,,7,7,0,0
603430856,603429694,59.39481956012781,24.660133071307907,29.432032,45.088604,0.001706928,0.98588526,1.253238,,7,7,0,0
603441859,603439575,59.39481955756086,24.66013305974,29.431887,45.09089,0.001706928,0.98392487,1.2521428,,7,7,0,0
