timestamp,timestamp_sample,device_id,bias,bias_var,innov,innov_var,innov_test_ratio
573120138,572995335,0,-7.239439,0.034578655,-0.24295044,0.63381016,0.010347458
573280332,573159531,0,-7.2544265,0.035098672,-0.25529003,0.63514036,0.011401329
573350317,573233335,0,-7.2676015,0.03420408,-0.22984362,0.63299817,0.009272994
573490558,573372205,0,-7.2805905,0.034463346,-0.22502375,0.6336227,0.008879397
573620758,573497189,0,-7.2919517,0.034543548,-0.19640017,0.6338158,0.0067620464
573741204,573620125,0,-7.3040066,0.03446404,-0.20883417,0.63360995,0.0076478375
573861706,573736565,0,-7.3155627,0.034393072,-0.20057201,0.6334204,0.0070567727
573991668,573870739,0,-7.3268666,0.034480765,-0.19572687,0.63362783,0.006717755
574112300,573992143,0,-7.3375416,0.03440793,-0.18519354,0.633436,0.00601598
574272000,574152387,0,-7.349289,0.034946755,-0.20091057,0.63479435,0.00706529
574352255,574231667,0,-7.3587923,0.034219403,-0.16570377,0.63297236,0.0048198947
574492056,574370647,0,-7.371578,0.034478724,-0.2216053,0.6341686,0.00860425
574613016,574488961,0,-7.383479,0.03440986,-0.20683956,0.6345636,0.007491168
574732562,574615713,0,-7.3961916,0.03435064,-0.22154808,0.63508976,0.008587334
574853169,574729401,0,-7.4082413,0.03429965,-0.21048737,0.63552827,0.00774595
575023054,574900033,0,-7.4213347,0.035011236,-0.22465515,0.6378962,0.008791041
575133647,575016789,0,-7.437401,0.03474161,-0.2778535,0.63770616,0.013451434
575263590,575142983,0,-7.4544625,0.0348048,-0.29481983,0.63835394,0.015128969
575354533,575233687,0,-7.4706936,0.034255795,-0.28445864,0.6366892,0.014121092
575484367,575366875,0,-7.4864764,0.0343693,-0.2756176,0.63665897,0.013257588
575615199,575490841,0,-7.5020432,0.03446957,-0.27098036,0.6365926,0.01281656
575745185,575620441,0,-7.5176153,0.034557987,-0.27028894,0.6364966,0.012753165
575854649,575730539,0,-7.5335245,0.034335475,-0.27789497,0.6361844,0.013487637
575995263,575870311,0,-7.5507216,0.034591056,-0.29847717,0.63707155,0.015537872
576115799,575991417,0,-7.5677977,0.034517713,-0.29706717,0.6371177,0.015390301
576285830,576161249,0,-7.586583,0.035208166,-0.3210745,0.639166,0.01792072
576355581,576236891,0,-7.605647,0.034314785,-0.3337803,0.6371956,0.019427016
576496657,576371593,0,-7.6252365,0.034575626,-0.34065247,0.63794035,0.02021159
576616731,576492025,0,-7.6471314,0.034507167,-0.3816223,0.638061,0.025360793
576736691,576619705,0,-7.668579,0.03444652,-0.37452078,0.63804996,0.024426127
576856535,576737143,0,-7.6915965,0.034392744,-0.40258884,0.6380291,0.028225426
576997156,576871711,0,-7.712009,0.03464377,-0.35406828,0.6376876,0.021843566
577117724,576998695,0,-7.729154,0.034565903,-0.29805517,0.6375831,0.015481535
577277894,577158119,0,-7.745472,0.03510295,-0.28003836,0.63968545,0.013621535
577357925,577241043,0,-7.7590833,0.03437267,-0.23801994,0.6375368,0.009873676
577488146,577367697,0,-7.7713523,0.03447764,-0.2140727,0.6381508,0.007979153
577618313,577493431,0,-7.7808022,0.034572378,-0.16455984,0.63870203,0.004710933
577738577,577617795,0,-7.790757,0.034506183,-0.1736865,0.6386464,0.005248427
577869019,577744557,0,-7.7995305,0.034598924,-0.1527443,0.6390905,0.004056254
577998994,577873687,0,-7.809002,0.03468221,-0.16458082,0.6394558,0.0047065797
578109806,577991783,0,-7.8164186,0.0344542,-0.12965298,0.63885677,0.0029236067
578269529,578150041,0,-7.8266706,0.035007104,-0.1767044,0.6405487,0.0054162676
578370103,578246649,0,-7.8368616,0.034593377,-0.17752266,0.6392929,0.0054772836
578489997,578369051,0,-7.8462453,0.0345259,-0.16371346,0.6389911,0.004660488
578630455,578505865,0,-7.857683,0.03476799,-0.19828749,0.63963187,0.006829958
578740417,578615497,0,-7.868515,0.034529828,-0.18888187,0.6387584,0.006205852
578870741,578749703,0,-7.8796263,0.03461908,-0.19325829,0.6388571,0.0064957608
578991282,578869921,0,-7.8902574,0.034546893,-0.18518925,0.63845474,0.0059684133
579131170,579010633,0,-7.901029,0.034784257,-0.18643427,0.6389441,0.0060443017
579281391,579156493,0,-7.912051,0.035146523,-0.18893576,0.6397876,0.006199404
579371484,579247687,0,-7.922348,0.034562305,-0.17912388,0.63790417,0.005588677
579491930,579375141,0,-7.9325776,0.034493335,-0.1781969,0.63746583,0.0055347863
579612109,579495143,0,-7.9425964,0.034430884,-0.17473936,0.63704187,0.00532563
579742259,579618111,0,-7.9540854,0.034525473,-0.19979668,0.63704187,0.006962513
579872529,579747953,0,-7.9663773,0.034609076,-0.21320152,0.6370141,0.007928465
579992704,579875651,0,-7.9792066,0.03453212,-0.22292519,0.6366761,0.008672758
580123011,580000533,0,-7.9928074,0.034613714,-0.23572111,0.6366409,0.0096975025
580273133,580148685,0,-8.007678,0.03498729,-0.25506496,0.6372668,0.0113432575
580363458,580246653,0,-8.022477,0.034414005,-0.25766468,0.635674,0.01160467
580493517,580368899,0,-8.037679,0.034505982,-0.26390934,0.6356673,0.012174107
580614269,580494655,0,-8.053819,0.034436207,-0.28061676,0.6352617,0.013773111
580734109,580610741,0,-8.07068,0.034373164,-0.29353046,0.63488054,0.015078975
580864394,580744649,0,-8.088926,0.034467265,-0.3167448,0.63490164,0.017557798
580994452,580869745,0,-8.108325,0.034550544,-0.33589554,0.634912,0.019744786
581115110,580989921,0,-8.128569,0.034473196,-0.3511362,0.6345376,0.021589937
581265186,581145535,0,-8.150053,0.034856483,-0.36877918,0.63531816,0.023784773
581365225,581244601,0,-8.171536,0.034443006,-0.37274647,0.634151,0.024343997
581495550,581371633,0,-8.193409,0.034526717,-0.37854576,0.634202,0.025105372
581616037,581491335,0,-8.217845,0.034450248,-0.4237566,0.63397527,0.03147155
581735731,581611137,0,-8.2415495,0.034381595,-0.41174126,0.63367504,0.029726218
581866086,581741067,0,-8.266026,0.03447096,-0.4240322,0.6337705,0.03152268
581986287,581867171,0,-8.290204,0.0343993,-0.41961193,0.63348854,0.030882638
582116893,581999837,0,-8.315645,0.03448602,-0.4404297,0.63360167,0.03401687
582266850,582146793,0,-8.342308,0.03486485,-0.45688152,0.6344554,0.036556415
582366982,582247327,0,-8.369297,0.034447804,-0.46759033,0.63337815,0.038355306
582497172,582372249,0,-8.394816,0.034528602,-0.44112968,0.6335089,0.03413008
582617718,582496673,0,-8.421014,0.034449507,-0.4537611,0.6332611,0.036126774
582737795,582614661,0,-8.446803,0.034378782,-0.44750404,0.6330369,0.03514976
582868032,582747813,0,-8.472791,0.03446655,-0.44984627,0.6332062,0.035509173
582998275,582873855,0,-8.497948,0.034544703,-0.43454552,0.63336664,0.033126295
583118618,582997674,0,-8.522701,0.034463357,-0.428483,0.6331449,0.032219704
583288750,583165700,0,-8.547729,0.035145037,-0.4254837,0.63482994,0.031685892
583368751,583248718,0,-8.572077,0.03439514,-0.42232323,0.63308215,0.031303097
583488952,583369742,0,-8.596809,0.034330234,-0.42972565,0.63290304,0.032419242
583619120,583493830,0,-8.620358,0.034423307,-0.4081316,0.63311654,0.029233059
583739590,583619789,0,-8.642896,0.034355283,-0.39129734,0.63294125,0.026878675
583869583,583745164,0,-8.664598,0.03444561,-0.3758917,0.63315934,0.024795331
583989818,583868858,0,-8.685595,0.03437517,-0.36434555,0.6329865,0.023301829
584110099,583993004,0,-8.705832,0.034312323,-0.35176945,0.6328303,0.021726334
584270390,584153602,0,-8.726852,0.034860104,-0.3601055,0.63420737,0.02271882
584370455,584246028,0,-8.748275,0.034442995,-0.3710909,0.63319516,0.02416465
584490807,584373734,0,-8.767928,0.034372993,-0.34109783,0.6330289,0.020421699
584611373,584491676,0,-8.786025,0.034310553,-0.31460667,0.6328779,0.017376944
584741484,584620666,0,-8.80253,0.034405906,-0.2862091,0.6331195,0.014376021
584861571,584744658,0,-8.818231,0.034340277,-0.2727728,0.6330594,0.013059156
584991690,584871088,0,-8.832922,0.03443279,-0.25462055,0.6332972,0.011374618
585112438,584991006,0,-8.847837,0.034364317,-0.2589817,0.6331344,0.01177063
585272156,585148556,0,-8.862345,0.03490673,-0.24825478,0.6344148,0.010793926
585362300,585237600,0,-8.875651,0.034334145,-0.23124695,0.6331013,0.009385044
585492497,585368734,0,-8.888358,0.034427494,-0.22026825,0.6333342,0.008511936
