timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
564870707,564869759,527625,0.22433333,0.15458333,-0.45391667,nan,0
564890747,564889815,527625,0.22749999,0.15766667,-0.45558333,nan,0
564910698,564909761,527625,0.22749999,0.15558334,-0.4535,nan,0
564930699,564929765,527625,0.22874999,0.16041666,-0.45475,nan,0
564950695,564949761,527625,0.22391666,0.15683334,-0.45391667,nan,0
564970695,564969761,527625,0.22708333,0.156,-0.456,nan,0
564990714,564989760,527625,0.2225,0.15375,-0.45141667,nan,0
565010760,565009759,527625,0.226,0.15458333,-0.45308334,nan,0
565030845,565029759,527625,0.22683333,0.155,-0.45475,nan,0
565050827,565049759,527625,0.22749999,0.15641667,-0.45558333,nan,0
565070873,565069763,527625,0.22683333,0.15558334,-0.45516667,nan,0
565090894,565089764,527625,0.22475,0.1525,-0.45725,nan,0
565110957,565109802,527625,0.23,0.155,-0.45641667,nan,0
565131039,565129773,527625,0.22749999,0.15766667,-0.45475,nan,0
565150695,565149761,527625,0.23141666,0.15558334,-0.45683333,nan,0
565170726,565169792,527625,0.23266667,0.15725,-0.45475,nan,0
565190754,565189808,527625,0.2335,0.15058333,-0.456,nan,0
565210829,565209893,527625,0.22791666,0.15683334,-0.446,nan,0
565230770,565229832,527625,0.226,0.1585,-0.45225,nan,0
565251140,565249976,527625,0.22683333,0.15808333,-0.44808334,nan,0
565270860,565269930,527625,0.22916667,0.15558334,-0.44891667,nan,0
565290918,565289983,527625,0.22708333,0.1585,-0.44725,nan,0
565310698,565309761,527625,0.226,0.15375,-0.446,nan,0
565330696,565329761,527625,0.23041667,0.15291667,-0.44766667,nan,0
565350694,565349757,527625,0.22916667,0.15416667,-0.44766667,nan,0
565370713,565369781,527625,0.22833332,0.15058333,-0.44975,nan,0
565390712,565389778,527625,0.23141666,0.1485,-0.44725,nan,0
565410695,565409760,527625,0.22791666,0.155,-0.45558333,nan,0
565430723,565429787,527625,0.22558333,0.15541667,-0.45183334,nan,0
565450695,565449762,527625,0.22516666,0.15541667,-0.45058334,nan,0
565470713,565469761,527625,0.22833332,0.156,-0.4535,nan,0
565490695,565489759,527625,0.22874999,0.15541667,-0.456,nan,0
565510695,565509762,527625,0.226,0.15766667,-0.45975,nan,0
565530697,565529763,527625,0.22475,0.15208334,-0.46183333,nan,0
565550695,565549756,527625,0.22558333,0.15458333,-0.461,nan,0
565570694,565569756,527625,0.22916667,0.15808333,-0.46225,nan,0
565590710,565589769,527625,0.22833332,0.15416667,-0.46266666,nan,0
565610692,565609759,527625,0.22791666,0.15766667,-0.461,nan,0
565630706,565629770,527625,0.22874999,0.15541667,-0.45975,nan,0
565650724,565649762,527625,0.22791666,0.15958333,-0.45558333,nan,0
565670791,565669759,527625,0.23,0.15375,-0.46141666,nan,0
565690815,565689758,527625,0.22558333,0.1525,-0.45808333,nan,0
565710863,565709758,527625,0.22916667,0.15725,-0.45891666,nan,0
565730822,565729762,527625,0.23041667,0.15458333,-0.46558332,nan,0
565750953,565749779,527625,0.23266667,0.1525,-0.46766666,nan,0
565770946,565769758,527625,0.22683333,0.15725,-0.46225,nan,0
565790962,565789786,527625,0.23099999,0.15541667,-0.46016666,nan,0
565810689,565809759,527625,0.22641666,0.155,-0.46266666,nan,0
565830739,565829800,527625,0.22475,0.15375,-0.46391666,nan,0
565851076,565849902,527625,0.22874999,0.156,-0.461,nan,0
565870787,565869848,527625,0.22749999,0.151,-0.46141666,nan,0
565890814,565889882,527625,0.22874999,0.15725,-0.46433333,nan,0
565910846,565909904,527625,0.22833332,0.15641667,-0.45933333,nan,0
565930872,565929938,527625,0.22308333,0.15291667,-0.46516666,nan,0
565950932,565949998,527625,0.22958334,0.15291667,-0.461,nan,0
565970694,565969763,527625,0.226,0.15416667,-0.46058333,nan,0
565990754,565989760,527625,0.2235,0.14975,-0.46433333,nan,0
566010690,566009756,527625,0.22433333,0.15541667,-0.4585,nan,0
566030725,566029787,527625,0.22791666,0.16083333,-0.46266666,nan,0
566050719,566049787,527625,0.226,0.15958333,-0.46183333,nan,0
566070784,566069845,527625,0.22791666,0.156,-0.46266666,nan,0
566090695,566089763,527625,0.226,0.16208333,-0.466,nan,0
566110707,566109762,527625,0.23224999,0.156,-0.45808333,nan,0
566130701,566129761,527625,0.22708333,0.15725,-0.45725,nan,0
566150696,566149760,527625,0.23,0.15933333,-0.46266666,nan,0
566170693,566169756,527625,0.23041667,0.1585,-0.45933333,nan,0
566190728,566189778,527625,0.23099999,0.15683334,-0.45725,nan,0
566210755,566209762,527625,0.22708333,0.15558334,-0.46016666,nan,0
566230693,566229760,527625,0.22874999,0.15291667,-0.46308333,nan,0
566250691,566249760,527625,0.2335,0.155,-0.46016666,nan,0
566270722,566269760,527625,0.23141666,0.15416667,-0.46308333,nan,0
566290687,566289756,527625,0.22791666,0.15333334,-0.46016666,nan,0
566310779,566309761,527625,0.22874999,0.15766667,-0.45975,nan,0
566330752,566329758,527625,0.22916667,0.15458333,-0.45975,nan,0
566350834,566349763,527625,0.22874999,0.15333334,-0.45975,nan,0
566370790,566369757,527625,0.22516666,0.15541667,-0.46308333,nan,0
566390829,566389757,527625,0.23224999,0.15333334,-0.46183333,nan,0
566410949,566409762,527625,0.22641666,0.15933333,-0.45933333,nan,0
566430979,566429759,527625,0.22958334,0.15183333,-0.45808333,nan,0
566450698,566449766,527625,0.22874999,0.15183333,-0.45766667,nan,0
566470689,566469757,527625,0.23266667,0.15183333,-0.46016666,nan,0
566491025,566489874,527625,0.2235,0.15416667,-0.45808333,nan,0
566511174,566509940,527625,0.22516666,0.15458333,-0.45558333,nan,0
566530776,566529840,527625,0.22874999,0.15375,-0.45225,nan,0
566550864,566549933,527625,0.22683333,0.15291667,-0.45516667,nan,0
566570859,566569927,527625,0.22958334,0.155,-0.45558333,nan,0
566590929,566589998,527625,0.22708333,0.15725,-0.45475,nan,0
566611285,566610060,527625,0.22708333,0.15558334,-0.4535,nan,0
566630776,566629776,527625,0.23183332,0.15641667,-0.45933333,nan,0
566650693,566649760,527625,0.22708333,0.15541667,-0.45308334,nan,0
566670707,566669758,527625,0.22916667,0.15058333,-0.45225,nan,0
566690721,566689778,527625,0.22641666,0.15641667,-0.45808333,nan,0
566710687,566709756,527625,0.22641666,0.15725,-0.45391667,nan,0
566730697,566729761,527625,0.22641666,0.15541667,-0.4535,nan,0
566750706,566749768,527625,0.22749999,0.15541667,-0.451,nan,0
566770697,566769759,527625,0.23099999,0.15541667,-0.45225,nan,0
566790698,566789758,527625,0.22916667,0.15416667,-0.45433334,nan,0
566810706,566809771,527625,0.22833332,0.15725,-0.45225,nan,0
566830698,566829761,527625,0.22433333,0.15208334,-0.45058334,nan,0
566850705,566849759,527625,0.23041667,0.15375,-0.45391667,nan,0
566870755,566869764,527625,0.22558333,0.15458333,-0.4535,nan,0
566890699,566889762,527625,0.2235,0.14975,-0.45391667,nan,0
566910697,566909762,527625,0.22749999,0.15641667,-0.45266667,nan,0
566930741,566929810,527625,0.23041667,0.15766667,-0.461,nan,0
566950701,566949761,527625,0.23041667,0.15416667,-0.45975,nan,0
566970752,566969757,527625,0.23183332,0.156,-0.4535,nan,0
566990736,566989762,527625,0.226,0.15683334,-0.4485,nan,0
567010755,567009756,527625,0.22683333,0.15558334,-0.44766667,nan,0
567030880,567029762,527625,0.22433333,0.16125,-0.44725,nan,0
567050940,567049769,527625,0.22433333,0.15933333,-0.44224998,nan,0
567070867,567069760,527625,0.22208333,0.155,-0.44016665,nan,0
567090691,567089758,527625,0.22708333,0.16083333,-0.44099998,nan,0
567110690,567109760,527625,0.2225,0.15458333,-0.4385,nan,0
567130716,567129777,527625,0.22874999,0.1485,-0.44266665,nan,0
567150803,567149846,527625,0.22641666,0.1475,-0.44058332,nan,0
567170790,567169858,527625,0.22874999,0.14391667,-0.44349998,nan,0
567190845,567189916,527625,0.22791666,0.14625,-0.44058332,nan,0
567210853,567209911,527625,0.22208333,0.14583333,-0.43558332,nan,0
567230889,567229955,527625,0.21933334,0.14708333,-0.43475,nan,0
567250978,567250047,527625,0.22208333,0.14016667,-0.436,nan,0
567270704,567269763,527625,0.22791666,0.14058334,-0.43808332,nan,0
567290695,567289759,527625,0.22391666,0.13916667,-0.43391666,nan,0
567310697,567309761,527625,0.22291666,0.14,-0.43058333,nan,0
567330702,567329762,527625,0.22208333,0.13266666,-0.43266666,nan,0
567350727,567349792,527625,0.22166666,0.123333335,-0.42766666,nan,0
567370720,567369763,527625,0.22558333,0.11975,-0.43058333,nan,0
567390697,567389760,527625,0.22166666,0.12083333,-0.43141666,nan,0
567410703,567409766,527625,0.2225,0.114583336,-0.43683332,nan,0
567430701,567429764,527625,0.226,0.11683333,-0.43433332,nan,0
567450737,567449799,527625,0.23041667,0.110583335,-0.43558332,nan,0
567470693,567469758,527625,0.22833332,0.11291666,-0.43725,nan,0
567490773,567489763,527625,0.23041667,0.111,-0.43891665,nan,0
567510732,567509761,527625,0.23224999,0.10666667,-0.43808332,nan,0
567530692,567529762,527625,0.23458333,0.1075,-0.44058332,nan,0
567550696,567549764,527625,0.24058333,0.107083336,-0.44099998,nan,0
567570767,567569827,527625,0.24058333,0.107083336,-0.4443333,nan,0
567590715,567589759,527625,0.24599999,0.1075,-0.44266665,nan,0
567610706,567609763,527625,0.24125,0.109749995,-0.43975,nan,0
567630706,567629762,527625,0.24291666,0.11975,-0.44183332,nan,0
567650718,567649757,527625,0.23708333,0.12208333,-0.44183332,nan,0
567670752,567669759,527625,0.24058333,0.12083333,-0.43891665,nan,0
567690913,567689757,527625,0.24016666,0.12208333,-0.44058332,nan,0
567710979,567709758,527625,0.24208333,0.12016667,-0.43933332,nan,0
567730905,567729763,527625,0.23808333,0.114583336,-0.43433332,nan,0
567750689,567749759,527625,0.2375,0.115833335,-0.43016666,nan,0
567770688,567769758,527625,0.23416667,0.110583335,-0.42766666,nan,0
567790702,567789770,527625,0.2385,0.113749996,-0.43225,nan,0
567810790,567809841,527625,0.24458332,0.11975,-0.43641666,nan,0
567830773,567829832,527625,0.24416666,0.11266667,-0.43891665,nan,0
567850785,567849854,527625,0.24416666,0.11683333,-0.43641666,nan,0
567870856,567869919,527625,0.23808333,0.12083333,-0.43641666,nan,0
567890927,567889993,527625,0.23975,0.11683333,-0.44141665,nan,0
567910903,567909966,527625,0.24333332,0.12208333,-0.43891665,nan,0
567930691,567929759,527625,0.24058333,0.1185,-0.43766665,nan,0
567950690,567949759,527625,0.2385,0.12058333,-0.43475,nan,0
567970690,567969759,527625,0.23975,0.1185,-0.44224998,nan,0
567990698,567989767,527625,0.24166666,0.124583334,-0.43391666,nan,0
568010744,568009785,527625,0.24249999,0.12725,-0.43891665,nan,0
568030694,568029759,527625,0.24249999,0.12641667,-0.43725,nan,0
568050704,568049759,527625,0.23975,0.12166666,-0.43516666,nan,0
568070701,568069762,527625,0.24016666,0.12166666,-0.44308332,nan,0
568090695,568089764,527625,0.24166666,0.11683333,-0.43766665,nan,0
