timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
564845637,2490386,2490386,0,0,0,0,0,0,0,0,809.3526,809.3526,8093.5264,8093.5264,0.02404592,0.0014262599,2.4466118e-10,-0.69633615,0.13157615,-9.798931,-0.015726527,-0.0051959422,0.0148968585,0.008478361,0.009642046,0.0800373,3.183812e-05,3.855053e-05,2.5250032e-05,51.64108,51.64108
564949434,2490386,2490386,0,0,0,0,0,0,0,0,809.3526,809.3526,8093.526,8093.526,0.024537632,0.0014010251,2.3196504e-10,-0.69579387,0.13168249,-9.812293,-0.015768593,-0.0051465356,0.01503007,0.008710715,0.010126946,0.075443365,3.1471976e-05,3.6323345e-05,2.4158544e-05,51.646107,51.646107
565054538,2490386,2490386,0,0,0,0,0,0,0,0,809.35254,809.35254,8093.5254,8093.5254,0.093576774,0.005584882,1.2560671e-09,-0.7090469,0.13189802,-9.8143215,-0.015258546,-0.0048876097,0.016777053,0.18687476,0.34753373,0.35089457,0.0003791921,0.00025476722,0.0009006587,51.647327,51.647327
565156829,2490386,2490386,0,0,0,0,0,0,0,0,809.35254,809.35254,8093.525,8093.525,0.13630608,0.00703735,8.240318e-10,-0.6856629,0.14367619,-9.801674,-0.016319413,-0.005730668,0.01421546,0.3129856,0.5931552,0.63856703,0.0002662778,0.00017867307,0.00041562074,51.63835,51.63835
565260605,2490386,2490386,0,0,0,0,0,0,0,0,809.3524,809.3524,8093.5244,8093.5244,0.15171625,0.007391389,9.455684e-10,-0.69150454,0.120842904,-9.826016,-0.015162605,-0.0043776697,0.014004615,0.19607213,0.41208604,0.535822,0.0004346769,0.00017247551,0.00011288763,51.63029,51.63029
565364880,2490386,2490386,0,0,0,0,0,0,0,0,809.3524,809.3524,8093.524,8093.524,0.14882886,0.0073932824,1.2584324e-09,-0.69036585,0.14481734,-9.803604,-0.016348265,-0.005136897,0.01564629,0.21128972,0.2242355,0.8017703,0.00041942723,0.00029684452,0.00013375754,51.641857,51.641857
565468167,2490386,2490386,0,0,0,0,0,0,0,0,809.35236,809.35236,8093.5234,8093.5234,0.16286866,0.007201004,7.762275e-10,-0.7001068,0.12368716,-9.847475,-0.016092852,-0.0059292694,0.014169114,0.25274584,0.34037292,0.95781183,0.000343687,0.00039262505,0.00012879835,51.636906,51.636906
565572027,2490386,2490386,0,0,0,0,0,0,0,0,809.35236,809.35236,8093.5234,8093.5234,0.20669045,0.007375411,1.092829e-09,-0.69569594,0.13398102,-9.833639,-0.015350551,-0.0048640813,0.014766009,0.35393733,0.34921306,1.0397804,0.00035668517,0.001020594,0.000113422946,51.6057,51.6057
565675867,2490386,2490386,0,0,0,0,0,0,0,0,809.3523,809.3523,8093.523,8093.523,0.2183413,0.0072467257,1.4772524e-09,-0.69640255,0.13563596,-9.852168,-0.015917106,-0.0053374865,0.015982866,0.27596605,0.27705047,0.7417396,0.0005228192,0.0013337369,0.0001239569,51.579475,51.579475
565776008,2490386,2490386,0,0,0,0,0,0,0,0,809.3523,809.3523,8093.5225,8093.5225,0.23943922,0.007648579,1.5498715e-09,-0.69595385,0.13298859,-9.856655,-0.016772471,-0.005053946,0.014648398,0.2830553,0.481196,0.67967564,0.0007477619,0.00086488,0.00020263188,51.569527,51.569527
