timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
573995517,573870806,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574114543,573992210,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574273347,574152454,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574352594,574231734,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574489169,574370714,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574607959,574489028,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574735924,574615780,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
574854540,574729468,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575023911,574900100,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575140843,575016856,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575259781,575143050,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575361624,575233754,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575487549,575366942,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575617092,575490908,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575746772,575620508,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575852959,575730606,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
575991134,575870378,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576111402,575991484,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576277757,576161316,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576356908,576236958,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576498290,576371660,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576614299,576492092,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576742280,576619772,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576861562,576737210,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
576990026,576871778,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577119167,576998762,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577278340,577158186,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577365056,577241110,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577484441,577367764,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577613603,577493498,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577741049,577617862,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577870428,577744624,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
577999567,577873754,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578116842,577991850,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578274676,578150108,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578364161,578246716,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578492768,578369118,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578631957,578505932,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578740919,578615564,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578867782,578749770,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
578986448,578869988,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579135371,579010700,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579273242,579156560,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579373025,579247754,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579500162,579375208,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579619669,579495210,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579737724,579618178,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579866672,579748020,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
579994516,579875718,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580124435,580000600,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580271234,580148752,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580370365,580246720,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580488817,580368966,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580617888,580494722,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580735740,580610808,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580865853,580744716,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
580992784,580869812,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
581111873,580989989,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581270031,581145603,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581368380,581244669,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581497200,581371701,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581617575,581491403,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581734061,581611205,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581862708,581741135,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
581991426,581867239,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582119686,581999905,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582268268,582146861,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582368415,582247395,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582495145,582372317,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582614150,582496741,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582733196,582614729,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582871082,582747881,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
582999827,582873923,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583120277,582997741,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583285685,583165767,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583365132,583248785,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583494043,583369809,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583612544,583493897,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583741070,583619857,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583870569,583745231,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
583987560,583868925,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584116697,583993071,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584274856,584153669,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584363325,584246095,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584492263,584373801,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584612918,584491743,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584738932,584620733,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584867243,584744725,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
584996007,584871155,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585114779,584991073,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585273719,585148623,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585363045,585237667,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585490224,585368801,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585608545,585489847,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585737392,585618485,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585865807,585747879,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
585994808,585869875,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586115570,585989191,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586290512,586165345,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586369781,586244761,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586488515,586371831,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586606631,586481735,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586746571,586620975,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586865430,586745507,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
586992796,586871747,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587101086,586984715,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587269655,587152731,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587357932,587241139,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587487574,587366949,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587606739,587481605,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587733592,587612209,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587862138,587739787,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
587991411,587872429,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588099679,587982331,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588268901,588150715,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588359717,588236889,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588484576,588363307,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588603253,588480895,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588732628,588613437,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588860169,588738797,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
588990102,588864917,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
589101032,588981725,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
589265359,589143863,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
589354828,589235941,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
589483744,589362753,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
589612534,589486263,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
589731456,589612747,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
589858412,589739343,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
589986858,589862303,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590107030,589987715,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590273498,590156231,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590352690,590236373,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590482920,590361727,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590609486,590486533,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590738001,590613393,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590857694,590737829,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
590985203,590862731,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
591115196,590992729,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
591276989,591155831,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
591355844,591238255,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
591474532,591357941,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
591608402,591488309,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
591726539,591608853,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
591865026,591740327,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
591985369,591859363,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592112164,591989373,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592260134,592143739,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592359342,592239801,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592477794,592359835,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
592617617,592491033,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,1
