timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
564943286,564942637,3670026,3670026,-2.8117685e-05,-1.9714519e-06,-1.1815788e-06,-0.0036997185,0.00114273,-0.04918564,5014,5014,0,0,1,1
564948167,564947643,3670026,3670026,-3.401591e-05,-6.950407e-06,5.388005e-07,-0.0037453948,0.0012102427,-0.049351152,5006,5006,0,0,1,1
564953138,564952652,3670026,3670026,-2.5533649e-05,-7.5451994e-06,-2.189754e-06,-0.0037930312,0.0011258423,-0.049465194,5009,5009,0,0,1,1
564958224,564957662,3670026,3670026,-2.3642908e-05,1.1806705e-05,-1.0008855e-05,-0.0036832548,0.0014328234,-0.04950992,5010,5010,0,0,1,1
564963177,564962672,3670026,3670026,-5.130796e-05,-3.0746512e-05,-5.99101e-05,-0.0033559243,0.0012265902,-0.049741123,5010,5010,0,0,1,1
564968276,564967681,3670026,3670026,-3.845997e-05,-2.972243e-06,-2.7006916e-05,-0.004233267,0.00037721117,-0.049386185,5009,5009,0,0,1,1
564973193,564972691,3670026,3670026,-3.1491283e-05,9.531473e-06,1.6619055e-05,-0.0038984527,0.0010758652,-0.04943029,5010,5010,0,0,1,1
564978282,564977700,3670026,3670026,1.7834254e-05,-8.44198e-06,9.290616e-05,-0.0030008415,0.0010279418,-0.04911898,5009,5009,0,0,1,1
564983232,564982710,3670026,3670026,8.921112e-06,1.1137631e-05,0.00016445482,-0.0038061729,0.0010491693,-0.04898582,5010,5010,0,0,1,1
564988196,564987720,3670026,3670026,1.2436165e-05,-3.6026242e-05,0.00021124523,-0.0030222288,0.000117583775,-0.049561497,5010,5010,0,0,1,1
564993225,564992730,3670026,3670026,4.2396532e-05,-2.6579974e-06,7.9821155e-05,-0.004478383,0.0032980784,-0.04908858,5010,5010,0,0,1,1
564998310,564997739,3670026,3670026,-6.460893e-05,3.664497e-05,-6.42873e-05,-0.005887917,0.0015394582,-0.050509606,5009,5009,0,0,1,1
565003344,565002749,3670026,3670026,-7.8591605e-05,-3.6982936e-05,-0.0001888488,-0.0031536047,0.0012343373,-0.04853137,5010,5010,0,0,1,1
