timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time,source_protocol
578012428,576061028,1949990,1948840,2803,0
578114429,576162764,1948069,1948837,7182,0
578210044,576258542,1950043,1948839,2908,0
578315158,576363012,1949574,1948841,5134,0
578420442,576469339,1948108,1948838,5980,0
578521607,576571030,1944901,1948838,11346,0
578618622,576667680,1947318,1948832,7228,0
578721101,576769032,1947009,1948832,10111,0
578810232,576859824,1948748,1948831,3306,0
578917106,576965417,1946891,1948824,9584,0
579016632,577066247,1946452,1948816,7851,0
579117924,577161694,1951947,1948825,8556,0
579217912,577266915,1945970,1948825,10045,0
579317114,577366748,1946412,1948817,7898,0
579426156,577475690,1942010,1948817,16903,0
579512163,577561319,1949132,1948817,3413,0
579627556,577676423,1941694,1948817,18869,0
579714936,577763849,1950008,1948819,2141,0
579816844,577865749,1946541,1948812,9098,0
579918171,577963994,1950321,1948815,7702,0
580015797,578065164,1946231,1948806,8791,0
580117919,578165915,1946810,1948806,10382,0
580217393,578265893,1946435,1948806,10124,0
580318841,578368617,1947765,1948802,4906,0
580416813,578466574,1945770,1948792,8927,0
580531264,578580813,1942307,1948792,16279,0
580618922,578666207,1947242,1948792,10937,0
580712173,578761377,1949607,1948794,2368,0
580812618,578860630,1950334,1948797,3293,0
580919480,578967712,1946318,1948797,10893,0
581011081,579060843,1949045,1948797,2375,0
581117506,579167106,1946203,1948788,8383,0
581210826,579260443,1948950,1948788,2856,0
581312044,579361787,1948965,1948788,2574,0
581419641,579468696,1946494,1948780,8889,0
581517976,579567363,1946368,1948771,8479,0
581610254,579659737,1949042,1948771,2940,0
581720018,579769257,1945195,1948771,11123,0
581810113,579858978,1949875,1948774,2512,0
581913144,579962719,1949055,1948773,2652,0
582030854,580078088,1943172,1948773,19179,0
582112816,580162069,1949256,1948774,2970,0
582210818,580259662,1950008,1948777,2285,0
582312034,580361193,1948963,1948776,3746,0
582413828,580462686,1948214,1948773,5844,0
582517818,580565829,1946951,1948773,10069,0
582612035,580660729,1950036,1948776,2525,0
582713467,580763160,1948966,1948776,2665,0
582821883,580870806,1944919,1948776,12309,0
582913634,580962559,1948537,1948774,5054,0
583019825,581068546,1946679,1948767,9187,0
583113931,581162822,1949139,1948767,3924,0
583216845,581266456,1946234,1948758,8298,0
583319147,581367861,1946696,1948751,9169,0
583411705,581461429,1949532,1948752,1476,0
583510855,581558066,1950845,1948758,3877,0
583614927,581661112,1951028,1948763,5557,0
583715957,581760404,1951338,1948770,8419,0
583826205,581875000,1945569,1948770,11264,0
583920424,581970197,1946384,1948762,7675,0
584010606,582058207,1950600,1948767,3581,0
584120817,582170338,1945713,1948756,9522,0
584220926,582269091,1946899,1948750,9861,0
584318900,582368597,1945275,1948750,10050,0
584416867,582463784,1948919,1948749,8317,0
584514153,582559075,1951958,1948758,6228,0
584615053,582661303,1950178,1948761,7133,0
584721201,582769602,1946710,1948754,9767,0
584821337,582869506,1946031,1948754,11593,0
584922036,582970348,1946775,1948747,9814,0
585017984,583066703,1946508,1948739,8862,0
585126128,583174529,1942407,1948739,18377,0
585212591,583261501,1949963,1948742,2244,0
585315112,583364238,1949854,1948744,2023,0
585417827,583467554,1946760,1948737,7016,0
585515658,583564810,1948387,1948735,4906,0
585609601,583658481,1949936,1948738,2356,0
585714897,583764445,1949531,1948739,1825,0
585815910,583865554,1946024,1948730,8653,0
585917350,583966253,1946292,1948722,9600,0
586009695,584059201,1949676,1948724,1625,0
586117706,584166177,1947667,1948719,7713,0
586218084,584267387,1946320,1948711,8741,0
586309908,584359531,1949496,1948712,1746,0
586415510,584462999,1949141,1948713,6724,0
586518849,584568456,1947089,1948707,6597,0
586617248,584663027,1950615,1948711,7199,0
586719823,584769607,1945282,1948700,9857,0
586821883,584870715,1947832,1948696,6662,0
586917818,584967308,1946161,1948688,8688,0
587009813,585059518,1948992,1948687,2595,0
587116817,585166152,1946276,1948679,8767,0
587219760,585267667,1947337,1948674,9502,0
587308918,585358217,1949805,1948676,1782,0
587411398,585459696,1950192,1948679,3010,0
587517029,585566035,1946378,1948671,9221,0
587616751,585666104,1946275,1948663,8734,0
587730656,585779420,1940384,1948663,20048,0
587818250,585867427,1945469,1948663,10700,0
587919813,585969489,1944569,1948663,11501,0
588012176,586058735,1950946,1948669,4975,0
588117403,586166955,1946191,1948660,8496,0
588219939,586268916,1946423,1948652,9189,0
588318105,586367302,1946217,1948644,9161,0
588410902,586460568,1949168,1948644,2316,0
588529852,586578860,1940255,1948644,21467,0
588614285,586660814,1951000,1948650,4932,0
588718361,586767570,1946389,1948642,8793,0
588813419,586862886,1949696,1948644,1661,0
588913926,586961796,1948604,1948643,7036,0
589020023,587068428,1946845,1948636,9488,0
589119493,587169259,1946356,1948628,7743,0
589219020,587268054,1946126,1948619,9667,0
589312342,587361437,1949663,1948621,2467,0
589420198,587469394,1945689,1948621,10224,0
589513875,587558557,1952016,1948630,6590,0
589614154,587658173,1952345,1948640,7260,0
589715804,587764512,1946931,1948634,8711,0
591741429,589790961,985165,1948634,1930597,0
592009603,590059010,899484,1948634,2102212,0
592017123,590066317,947817,1948634,2005971,0
592220077,590269317,1345581,1948634,1210352,0
592231029,590280831,1388384,1948634,1123619,0
592252243,590301078,1431438,1948634,1037596,0
592318991,590367559,1946679,1948626,9496,0
592416037,590463347,1948911,1948626,7548,0
592521823,590570707,1944074,1948626,14075,0
592613209,590662993,1948331,1948624,3759,0
592719925,590769503,1946100,1948615,8634,0
592820089,590868992,1946087,1948615,10012,0
592915703,590963339,1949446,1948616,5825,0
593019693,591069316,1945418,1948606,9906,0
593116297,591164911,1949015,1948606,4731,0
593217099,591266820,1945394,1948595,9760,0
593313900,591363543,1947183,1948589,6334,0
593416738,591465695,1946349,1948581,9377,0
593511828,591560347,1949356,1948582,4239,0
593618243,591663109,1950665,1948587,8921,0
593717231,591766056,1946336,1948579,9666,0
593817467,591866345,1946485,1948571,9263,0
593917297,591965390,1946922,1948565,9960,0
594012759,592058916,1951151,1948571,5372,0
594121498,592170941,1946180,1948563,8743,0
594213741,592263306,1949613,1948565,1633,0
594317726,592366849,1945872,1948555,9997,0
594418714,592466902,1946938,1948549,9735,0
594510901,592560462,1949374,1948550,2114,0
594622397,592669150,1949016,1948550,8451,0
594711620,592760664,1949515,1948552,2865,0
594816291,592865287,1949303,1948553,3392,0
594920121,592967661,1947415,1948553,10082,0
595020133,593069375,1946561,1948545,8384,0
595111970,593159074,1950518,1948550,4745,0
595219643,593267444,1947270,1948545,9847,0
595315491,593362045,1950569,1948549,5737,0
595416507,593464824,1947192,1948544,8972,0
595511485,593561306,1948232,1948542,3884,0
595621275,593670194,1946352,1948534,9447,0
595721152,593769879,1947958,1948531,6619,0
595819732,593868262,1945832,1948531,11270,0
595911390,593958327,1950859,1948536,4399,0
596031131,594077772,1942122,1948536,22468,0
596115146,594163184,1948406,1948534,7099,0
596215029,594263005,1948223,1948532,7585,0
596312475,594359219,1951008,1948538,4482,0
