timestamp,timestamp_sample,position[0],position[1],position[2],q[0],q[1],q[2],q[3],velocity[0],velocity[1],velocity[2],angular_velocity[0],angular_velocity[1],angular_velocity[2],position_variance[0],position_variance[1],position_variance[2],orientation_variance[0],orientation_variance[1],orientation_variance[2],velocity_variance[0],velocity_variance[1],velocity_variance[2],pose_frame,velocity_frame,reset_counter,quality
564924807,564899199,-0.00071775366,-0.0002425494,-0.10082687,0.9986953,-0.044687975,-0.024694098,0.0009100664,-0.002064829,-0.0021488746,-0.0034225013,-0.00032363608,0.00048878934,-4.264356e-05,1.2230214e-07,1.76463e-07,1.0147418e-07,1.07139996e-07,1.17011865e-07,1.5501442e-07,1.1284585e-05,1.42851295e-05,6.55109e-06,2,3,1,100
564960574,564928818,-0.0007176208,-0.00020343291,-0.100847825,0.9986949,-0.044696942,-0.024696881,0.0009103671,-0.002025945,-0.0016430517,-0.0035783611,0.00011392736,-0.0012278998,-7.115529e-05,1.223719e-07,1.7654024e-07,1.01542966e-07,1.0810183e-07,1.2016926e-07,1.5459196e-07,1.1326393e-05,1.4487629e-05,6.5228696e-06,2,3,1,100
564985625,564958451,-0.0007073282,-0.0002044442,-0.100875124,0.99869436,-0.044700757,-0.024710463,0.00089217664,-0.0016395871,-0.001785753,-0.0038403436,0.0020594492,-0.007964055,-0.014152158,1.2237095e-07,1.7660246e-07,1.016036e-07,1.08064235e-07,1.1777528e-07,1.553558e-07,1.1343332e-05,1.4349943e-05,6.5503673e-06,2,3,1,100
565024561,564998100,-0.00079134846,-0.000103726205,-0.10088329,0.99869484,-0.044711273,-0.024668247,0.001042544,-0.0031767818,-0.002071301,-0.004011059,0.010364812,-0.015929228,-0.039530005,1.2266554e-07,1.767888e-07,1.0172388e-07,1.0821714e-07,1.2062922e-07,1.5672298e-07,1.137812e-05,1.4597286e-05,6.572146e-06,2,3,1,100
565055297,565027722,-0.0007017821,-0.00015426088,-0.10092207,0.99869376,-0.044713147,-0.024712628,0.000867303,-0.00096501154,-0.0019643018,-0.0039234753,0.006175698,0.009289988,0.041181665,1.2186116e-07,1.7597111e-07,1.01614155e-07,8.80662e-08,9.096203e-08,1.69851e-07,1.04171095e-05,1.2834949e-05,6.9157795e-06,2,3,1,100
565095459,565067238,-0.0007457776,-0.00023253485,-0.101002045,0.9986957,-0.04470997,-0.024643663,0.00079246203,-0.002577673,-0.0021090114,-0.004214247,-0.004719086,-0.00021612163,-0.006653892,1.2205642e-07,1.7623746e-07,1.01639806e-07,9.478605e-08,1.0076313e-07,1.6285574e-07,1.1059146e-05,1.4048842e-05,6.6344355e-06,2,3,1,100
565125250,565096871,-0.0007564421,-0.0002092374,-0.10094884,0.99869627,-0.044716693,-0.024600247,0.0010135114,-0.0020396768,-0.002517877,-0.0043808036,0.00558508,-0.0032164254,-0.00804495,1.2224949e-07,1.76455e-07,1.01688734e-07,9.9970535e-08,1.1036134e-07,1.5933074e-07,1.1297469e-05,1.45417625e-05,6.5393892e-06,2,3,1,100
565156005,565126526,-0.00075033196,-0.00023850205,-0.100964166,0.9986946,-0.04471169,-0.02468266,0.00084989483,-0.0022617918,-0.0026510337,-0.0039014283,-0.00078355044,0.0019650005,0.012776219,1.2237294e-07,1.7646146e-07,1.0147123e-07,1.0350579e-07,1.12559306e-07,1.588554e-07,1.1342309e-05,1.43198295e-05,6.565206e-06,2,3,1,100
565191225,565166076,-0.000753929,-0.0002213456,-0.101012275,0.99869525,-0.044714224,-0.024649747,0.0008738173,-0.0026890365,-0.0023573863,-0.0044847047,0.009352021,0.009311017,-0.0106706135,1.2260152e-07,1.7670813e-07,1.0163141e-07,1.0646403e-07,1.1928338e-07,1.5876037e-07,1.1364054e-05,1.4551417e-05,6.5627037e-06,2,3,1,100
565220818,565195735,-0.00070054975,-0.00024469467,-0.10092878,0.99869645,-0.044715386,-0.024598977,0.0009281789,-0.0019470991,-0.002635238,-0.003573042,-0.0077791666,0.0078012017,0.000225661,1.2287202e-07,1.7705119e-07,1.018088e-07,1.0959029e-07,1.2383106e-07,1.5955102e-07,1.1456434e-05,1.4674989e-05,6.5917275e-06,2,3,1,100
565251868,565225395,-0.00068491115,-0.00022565859,-0.10094029,0.9986948,-0.044736303,-0.02462947,0.0008759342,-0.0018437436,-0.0023387796,-0.0036190015,-0.00029686035,-0.0019599458,0.004837708,1.2300791e-07,1.7735015e-07,1.01947144e-07,1.1135028e-07,1.261368e-07,1.574417e-07,1.1485256e-05,1.4716317e-05,6.5476715e-06,2,3,1,100
565289135,565265050,-0.00069056044,-0.00020001731,-0.1009685,0.9986959,-0.044713926,-0.024626223,0.0008646459,-0.0023532805,-0.002315981,-0.003947034,-6.763101e-05,0.0022712846,-0.0050128787,1.2317899e-07,1.776045e-07,1.0206392e-07,1.1115583e-07,1.2709707e-07,1.5533607e-07,1.1439114e-05,1.4723412e-05,6.505918e-06,2,3,1,100
565320258,565294725,-0.00068531395,-0.00013395495,-0.10103367,0.9986948,-0.04475814,-0.0245875,0.00093807076,-0.0019252222,-0.0016460062,-0.004116872,0.0050342646,0.0006307077,0.0018728367,1.2343145e-07,1.7779743e-07,1.0225399e-07,1.10851936e-07,1.2584422e-07,1.572071e-07,1.1460869e-05,1.4699489e-05,6.5818804e-06,2,3,1,100
565350833,565324389,-0.00070572435,-0.00015124083,-0.10104886,0.9986962,-0.044720393,-0.024602968,0.0008523349,-0.002441978,-0.002051405,-0.004024876,-0.002665803,0.00057514297,0.0026841175,1.2339e-07,1.7792883e-07,1.0232511e-07,1.1210852e-07,1.2480191e-07,1.5566822e-07,1.1542948e-05,1.4741445e-05,6.5453487e-06,2,3,1,100
565395791,565363936,-0.00065223366,-0.00012581891,-0.101272404,0.99869394,-0.044754975,-0.024629723,0.00091607834,-0.002005011,-0.0018067705,-0.005140339,0.0027634138,-0.0033952189,-0.0066276765,1.2349119e-07,1.7809774e-07,1.0240022e-07,1.128203e-07,1.2462544e-07,1.5060597e-07,1.1558414e-05,1.4773433e-05,6.42577e-06,2,3,1,100
565421514,565393615,-0.0005801286,-6.103565e-05,-0.10141961,0.9986945,-0.044727422,-0.024656206,0.0008974902,-0.0015644969,-0.0013614948,-0.0055360966,-0.0034483417,0.0017565602,0.005503976,1.2343929e-07,1.7812405e-07,1.0244201e-07,1.1199846e-07,1.224262e-07,1.4889179e-07,1.1520854e-05,1.4676062e-05,6.41041e-06,2,3,1,100
565457914,565433234,-0.00051578355,-5.297928e-05,-0.10160262,0.9986943,-0.04473081,-0.024658954,0.0009218316,-0.0014601924,-0.0016925703,-0.006193702,0.0038553383,-0.0039641843,-0.007238089,1.2348751e-07,1.7815361e-07,1.0251271e-07,1.0901914e-07,1.1800103e-07,1.4882272e-07,1.140438e-05,1.4506284e-05,6.437386e-06,2,3,1,100
565491819,565462936,-0.00045287723,-7.050592e-05,-0.10165025,0.99869275,-0.044744354,-0.024697913,0.0009194169,-0.00115567,-0.0017244638,-0.0060892976,-0.004730721,-0.001213185,0.0023591993,1.2344832e-07,1.7819471e-07,1.0252568e-07,1.0761073e-07,1.1443963e-07,1.508364e-07,1.1382177e-05,1.4366953e-05,6.487814e-06,2,3,1,100
565523309,565492674,-0.00044360853,-6.4942615e-05,-0.10170192,0.9986935,-0.04472171,-0.024704829,0.000958014,-0.0011703299,-0.0020136265,-0.006313223,0.006948397,-0.0040655015,-0.0046838443,1.2355729e-07,1.782467e-07,1.0265646e-07,1.11248376e-07,1.17509046e-07,1.5076388e-07,1.1593738e-05,1.4643071e-05,6.463563e-06,2,3,1,100
565559889,565532290,-0.00039986693,-0.000103361934,-0.10178532,0.9986928,-0.044740494,-0.024699342,0.00095801876,-0.0019660338,-0.0021423858,-0.0057770563,-0.007693067,0.003437696,0.008639825,1.2354101e-07,1.7831097e-07,1.0274767e-07,1.0841044e-07,1.1626985e-07,1.4913887e-07,1.1436889e-05,1.450807e-05,6.414966e-06,2,3,1,100
565587076,565562012,-0.00031755853,-1.6532109e-05,-0.10188386,0.9986959,-0.04466407,-0.02471185,0.00095891405,-0.0018445826,-0.0016940453,-0.006399529,0.005489307,0.0015106761,-0.008443864,1.2366631e-07,1.7837088e-07,1.028157e-07,1.0626406e-07,1.17148566e-07,1.4606636e-07,1.1333531e-05,1.4516866e-05,6.339531e-06,2,3,1,100
565617191,565591725,-0.0003896338,-7.9619604e-05,-0.10183168,0.99869174,-0.04472956,-0.024760585,0.0009848422,-0.0024078826,-0.0020312835,-0.0054366835,-0.00609275,0.003429705,0.0082689095,1.2376064e-07,1.7893046e-07,1.0313201e-07,1.1402064e-07,1.2579298e-07,1.6297611e-07,1.1750411e-05,1.5038537e-05,6.7303217e-06,2,3,1,100
565661592,565631375,-0.0003722454,-0.00010769134,-0.10183461,0.9986943,-0.044691574,-0.024727913,0.0009492253,-0.002106034,-0.0029812574,-0.0052714427,-0.0023016275,-4.1512394e-05,-0.003861577,1.2388982e-07,1.7935585e-07,1.033307e-07,1.1675682e-07,1.2375921e-07,1.6682901e-07,1.1805287e-05,1.4737047e-05,6.7465735e-06,2,3,1,100
565692242,565661210,-0.00027494298,-6.9022986e-05,-0.10176766,0.9986915,-0.044744495,-0.024743436,0.0010036356,-0.0009372016,-0.0018855126,-0.004963259,0.0022070403,0.003198788,0.0015554294,1.2415808e-07,1.7973932e-07,1.0340821e-07,1.15823134e-07,1.275048e-07,1.6742163e-07,1.1688361e-05,1.493731e-05,6.662284e-06,2,3,1,100
