timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
565374553,565373461,59.396222822097045,24.660573345204284,30.465775,42.54811,0.06750712,0.39108473,0.58482635,nan,2,2,0,0
565384531,565383480,59.39622281914025,24.660573349780258,30.466604,42.54894,0.06750712,0.39141858,0.5849252,nan,2,2,0,0
565394536,565393500,59.396222816189905,24.660573353928747,30.46744,42.549774,0.06750712,0.39175585,0.58510095,nan,2,2,0,0
565404603,565403519,59.39622281331889,24.66057335776768,30.46828,42.550613,0.06750712,0.39209658,0.5852781,nan,2,2,0,0
565414665,565413538,59.396222810458596,24.66057336120019,30.469126,42.55146,0.06750712,0.3924408,0.58545655,nan,2,2,0,0
565424511,565423557,59.39622280759401,24.660573364302078,30.469973,42.552307,0.06750712,0.3927885,0.58563626,nan,2,2,0,0
565434541,565433577,59.39622280478304,24.66057336702071,30.470833,42.55317,0.06750712,0.39313975,0.58581734,nan,2,2,0,0
565444613,565443596,59.39622280205138,24.660573369433997,30.471704,42.55404,0.06750712,0.39349458,0.5859997,nan,2,2,0,0
565454692,565453616,59.39622279932618,24.660573371440854,30.472712,42.555046,0.06750712,0.39385298,0.5861009,nan,2,2,0,0
565464698,565463638,59.39622279668029,24.660573373171847,30.473715,42.55605,0.06750712,0.394215,0.5862854,nan,2,2,0,0
565474784,565473654,59.39622279408159,24.660573374530113,30.47473,42.557064,0.06750712,0.39458063,0.5864713,nan,2,2,0,0
565485116,565483673,59.396222790588766,24.66057337819847,30.475494,42.55384,0.06750712,0.39060023,0.58456457,nan,2,2,0,0
565494706,565493692,59.3962227871431,24.66057338153832,30.476261,42.554607,0.06750712,0.3909292,0.5847376,nan,2,2,0,0
565504805,565503712,59.396222783811105,24.660573384429632,30.477053,42.5554,0.06750712,0.39126155,0.584912,nan,2,2,0,0
565515118,565513735,59.39622278049411,24.660573386962948,30.477991,42.55634,0.06750712,0.39159733,0.58501095,nan,2,2,0,0
565524789,565523750,59.396222777189976,24.660573389163545,30.478931,42.557278,0.06750712,0.39193657,0.58518744,nan,2,2,0,0
565534812,565533769,59.39622277398875,24.660573391145135,30.479881,42.558228,0.06750712,0.3922793,0.58536524,nan,2,2,0,0
565545191,565543788,59.396222770766094,24.6605733927561,30.480843,42.55919,0.06750712,0.3926255,0.58554435,nan,2,2,0,0
565554826,565553808,59.39622276758203,24.660573393945896,30.481804,42.56015,0.06750712,0.39297524,0.5857247,nan,2,2,0,0
565564953,565563835,59.3962227645352,24.660573394851404,30.482763,42.56111,0.06750712,0.39332855,0.58590645,nan,2,2,0,0
565574859,565573846,59.39622276150552,24.660573395453675,30.483744,42.56209,0.06750712,0.39368543,0.5860895,nan,2,2,0,0
565584991,565583869,59.396222758525134,24.660573395691635,30.484863,42.56321,0.06750712,0.3940459,0.5861909,nan,2,2,0,0
565594907,565593885,59.39622275558123,24.660573395769553,30.485985,42.56433,0.06750712,0.39440998,0.5863761,nan,2,2,0,0
565605313,565603904,59.396222752504386,24.660573400836185,30.486881,42.561604,0.06750712,0.3904593,0.58448154,nan,2,2,0,0
565615702,565613924,59.39622274948541,24.660573405471126,30.487793,42.562515,0.06750712,0.390787,0.58465403,nan,2,2,0,0
565624900,565623947,59.39622274653292,24.660573409653306,30.488712,42.563435,0.06750712,0.3911181,0.5848278,nan,2,2,0,0
565635035,565633963,59.39622274361472,24.6605734134059,30.489641,42.564365,0.06750712,0.3914526,0.58500284,nan,2,2,0,0
565645334,565643981,59.39622274075443,24.660573416865784,30.490704,42.565426,0.06750712,0.39179057,0.5851021,nan,2,2,0,0
565655004,565654000,59.39622273797777,24.660573419866594,30.491762,42.566486,0.06750712,0.39213198,0.5852793,nan,2,2,0,0
565665074,565664019,59.396222735258974,24.660573422564166,30.492832,42.567554,0.06750712,0.3924769,0.58545774,nan,2,2,0,0
565675007,565674038,59.396222732572355,24.66057342494797,30.49392,42.56864,0.06750712,0.39282537,0.58563757,nan,2,2,0,0
