timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
564942637,32767,32767,32767,32767,32767,32767
564947643,32767,32767,32767,32767,32767,32767
564952652,32767,32767,32767,32767,-19,32767
564957662,32767,32767,32767,32767,32767,32767
564962672,32767,32767,32767,32767,32767,-21
564967681,32767,32767,32767,32767,32767,32767
564972691,32767,32767,32767,32767,32767,32767
564977700,32767,32767,32767,32767,32767,32767
564982710,32767,32767,32767,32767,32767,32767
564987720,32767,32767,32767,-41,32767,-21
564992730,32767,32767,32767,32767,32767,32767
564997739,32767,32767,32767,32767,32767,32767
565002749,32767,32767,32767,32767,32767,32767
565007758,32767,32767,32767,32767,32767,32767
565012770,32767,32767,32767,32767,32767,32767
565017777,32767,32767,32767,32767,32767,32767
565022788,32767,32767,32767,32767,32767,32767
565027797,32767,32767,32767,-7,32767,-32
565032807,32767,32767,32767,32767,32767,32767
565037816,32767,32767,32767,32767,32767,32767
565042827,32767,32767,32767,32767,32767,32767
565047835,32767,32767,32767,32767,32767,32767
565052847,32767,32767,32767,32767,32767,32767
565057854,32767,32767,32767,32767,32767,-26
565062864,32767,32767,32767,32767,32767,32767
565067874,32767,32767,32767,32767,32767,32767
565072883,32767,32767,32767,32767,-19,32767
565077893,32767,32767,32767,32767,32767,32767
565082905,32767,32767,32767,32767,32767,32767
565087913,32767,32767,32767,32767,32767,32767
565092922,32767,32767,32767,32767,-20,32767
565097932,32767,32767,32767,32767,32767,-25
565102941,32767,32767,32767,32767,32767,32767
565107951,32767,32767,32767,32767,32767,32767
565112967,32767,32767,32767,6,32767,32767
565117970,32767,32767,32767,32767,32767,32767
565122980,32767,32767,32767,32767,32767,32767
565127991,32767,32767,32767,32767,32767,-27
565132999,32767,32767,32767,32767,32767,32767
565138009,32767,32767,32767,32767,32767,32767
565143019,32767,32767,32767,32767,32767,32767
565148032,32767,32767,32767,32767,32767,32767
565153037,32767,32767,32767,32767,32767,32767
565158048,32767,32767,32767,-11,32767,-20
565163057,32767,32767,32767,32767,32767,32767
565168066,32767,32767,32767,32767,32767,32767
565173076,32767,32767,32767,32767,32767,32767
565178086,32767,32767,32767,32767,32767,32767
565183095,32767,32767,32767,32767,32767,32767
565188105,32767,32767,32767,32767,32767,32767
565193114,32767,32767,32767,32767,32767,-19
565198124,32767,32767,32767,32767,32767,32767
565203134,32767,32767,32767,32767,32767,32767
565208143,32767,32767,32767,32767,32767,32767
565213153,32767,32767,32767,32767,-20,32767
565218163,32767,32767,32767,32767,32767,32767
565223172,32767,32767,32767,32767,32767,-23
565228182,32767,32767,32767,32767,32767,32767
565233192,32767,32767,32767,32767,-20,32767
565238201,32767,32767,32767,32767,32767,32767
565243211,32767,32767,32767,5,32767,32767
565248222,32767,32767,32767,32767,32767,32767
565253230,32767,32767,32767,32767,32767,-14
565258240,32767,32767,32767,32767,32767,32767
565263250,32767,32767,32767,32767,32767,32767
565268259,32767,32767,32767,32767,32767,32767
565273269,32767,32767,32767,32767,32767,32767
565278278,32767,32767,32767,32767,32767,32767
565283288,32767,32767,32767,32767,32767,32767
565288297,32767,32767,32767,-15,32767,32767
565293307,32767,32767,32767,32767,32767,-42
565298317,32767,32767,32767,32767,32767,32767
565303326,32767,32767,32767,32767,32767,32767
565308336,32767,32767,32767,32767,32767,32767
565313346,32767,32767,32767,32767,32767,32767
565318362,32767,32767,32767,32767,32767,32767
565323365,32767,32767,32767,32767,32767,-31
565328374,32767,32767,32767,32767,32767,32767
565333384,32767,32767,32767,32767,32767,32767
565338394,32767,32767,32767,32767,32767,32767
565343403,32767,32767,32767,32767,32767,32767
565348413,32767,32767,32767,32767,32767,32767
565353423,32767,32767,32767,32767,-27,-26
565358432,32767,32767,32767,32767,32767,32767
565363442,32767,32767,32767,32767,32767,32767
565368452,32767,32767,32767,32767,32767,32767
565373461,32767,32767,32767,-1,-27,32767
565378481,32767,32767,32767,32767,32767,32767
565383480,32767,32767,32767,32767,32767,32767
565388490,32767,32767,32767,32767,32767,32767
565393500,32767,32767,32767,32767,32767,32767
565398509,32767,32767,32767,32767,32767,-28
565403519,32767,32767,32767,32767,32767,32767
565408529,32767,32767,32767,32767,32767,32767
565413538,32767,32767,32767,32767,32767,32767
565418548,32767,32767,32767,-19,32767,32767
565423557,32767,32767,32767,32767,32767,-20
565428567,32767,32767,32767,32767,32767,32767
565433577,32767,32767,32767,32767,32767,32767
565438586,32767,32767,32767,32767,32767,32767
565443596,32767,32767,32767,32767,32767,32767
565448606,32767,32767,32767,32767,32767,32767
565453616,32767,32767,32767,32767,32767,32767
565458625,32767,32767,32767,32767,32767,-7
565463638,32767,32767,32767,32767,32767,32767
565468644,32767,32767,32767,32767,32767,32767
565473654,32767,32767,32767,32767,32767,32767
565478663,32767,32767,32767,32767,32767,32767
565483673,32767,32767,32767,32767,32767,32767
565488682,32767,32767,32767,32767,32767,32767
565493692,32767,32767,32767,32767,-29,-18
565498702,32767,32767,32767,32767,32767,32767
565503712,32767,32767,32767,-5,32767,32767
565508721,32767,32767,32767,32767,32767,32767
565513735,32767,32767,32767,32767,-30,32767
565518740,32767,32767,32767,32767,32767,32767
565523750,32767,32767,32767,32767,32767,-4
565528762,32767,32767,32767,32767,32767,32767
565533769,32767,32767,32767,32767,32767,32767
565538779,32767,32767,32767,32767,32767,32767
565543788,32767,32767,32767,32767,32767,32767
565548798,32767,32767,32767,-20,32767,32767
565553808,32767,32767,32767,32767,32767,32767
565558818,32767,32767,32767,32767,32767,32767
565563835,32767,32767,32767,32767,32767,-40
565568837,32767,32767,32767,32767,32767,32767
565573846,32767,32767,32767,32767,32767,32767
565578856,32767,32767,32767,32767,32767,32767
565583869,32767,32767,32767,32767,32767,32767
565588884,32767,32767,32767,32767,32767,-18
565593885,32767,32767,32767,32767,32767,32767
565598896,32767,32767,32767,32767,32767,32767
565603904,32767,32767,32767,32767,32767,32767
565608914,32767,32767,32767,32767,32767,32767
565613924,32767,32767,32767,32767,32767,32767
565618933,32767,32767,32767,32767,32767,-18
565623947,32767,32767,32767,32767,32767,32767
565628952,32767,32767,32767,32767,32767,32767
565633963,32767,32767,32767,-8,-32,32767
565638971,32767,32767,32767,32767,32767,32767
