timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
564258487,564158121,2490386,-0.002210093,0.0027553427,0.0016579488,0.15,1.8969472e-07,1.8840734e-07,4.248916e-07,2490386,0.0018882912,-0.004702677,-0.06575451,0.4,0.0010488881,0.0010519818,0.00051172276,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
564980344,564879713,2490386,-0.0022037544,0.0027691622,0.0016558438,0.15,1.8935023e-07,1.880621e-07,4.241149e-07,2490386,0.0018858004,-0.004701377,-0.066834904,0.4,0.0010489511,0.0010520449,0.00051172223,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
565602584,565502457,2490386,-0.002198892,0.0027777033,0.0016582106,0.15,1.8935789e-07,1.8806607e-07,4.245322e-07,2490386,0.0018865502,-0.0047016647,-0.06807621,0.4,0.0010490054,0.0010520993,0.0005117217,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
565978288,565878080,2490386,-0.002198636,0.0027814482,0.0016646015,0.15,1.8939346e-07,1.8810556e-07,4.2395786e-07,2490386,0.0018885587,-0.0047019185,-0.06959279,0.4,0.0010490386,0.0010521325,0.0005117217,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
566274919,566174623,2490386,-0.0021945336,0.0027877896,0.0016683358,0.15,1.8974892e-07,1.8846367e-07,4.2403727e-07,2490386,0.0018924393,-0.0047040056,-0.070748165,0.4,0.0010490671,0.0010521611,0.00051172305,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
566482718,566382204,2490386,-0.0021945708,0.0027939777,0.0016686223,0.15,1.893527e-07,1.8806708e-07,4.2394714e-07,2490386,0.0018972973,-0.0047042496,-0.072184026,0.4,0.0010490847,0.0010521786,0.00051172293,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
566739413,566639223,2490386,-0.0021875736,0.0027982898,0.0016691198,0.15,1.8940285e-07,1.8812096e-07,4.2362757e-07,2490386,0.0019005376,-0.0047083353,-0.07324059,0.4,0.0010490764,0.0010521702,0.0005117081,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
566978778,566876444,2490386,-0.0021918095,0.0027997144,0.0016692405,0.15,1.8930173e-07,1.8801961e-07,4.238484e-07,2490386,0.0019027557,-0.0047061546,-0.07482157,0.4,0.0010491274,0.0010522213,0.00051172305,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,1,1,0,1,0
567264716,567163103,2490386,-0.0021907296,0.0028035492,0.0016734868,0.15,1.8959196e-07,1.8831155e-07,4.2383795e-07,2490386,0.0019061049,-0.0047068847,-0.07669143,0.4,0.0010491523,0.0010522462,0.0005117232,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
567481412,567380577,2490386,-0.0021924805,0.0028077897,0.0016594591,0.15,1.8923909e-07,1.8796175e-07,4.2384949e-07,2490386,0.0019346137,-0.00470287,-0.079027206,0.4,0.0010491415,0.001052236,0.0005117146,527625,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
