timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,gyro_clipping,accel_calibration_count,gyro_calibration_count
565163057,-0.013251216,0.0027683445,-0.013300794,5009,0,-0.80134445,-0.017944647,-9.9919815,5009,0,0,1,1
565168066,-0.004998187,0.0038860443,-0.013421039,5009,0,-0.908243,0.3494313,-9.837169,5009,0,0,1,1
565173076,-0.0007670053,0.005933885,-0.009836844,5010,0,-0.65049016,0.013884358,-9.919141,5010,0,0,1,1
565178086,-0.0034182882,-0.0066314205,0.002668554,5010,0,-0.560687,0.42350653,-9.910636,5010,0,0,1,1
565183095,0.0027858585,0.010138331,0.0057982523,5009,0,-0.8514287,0.21297784,-9.710219,5009,0,0,1,1
565188105,-0.002436609,-0.0046196543,0.007640364,5010,0,-0.8091728,0.20816982,-9.902069,5010,0,0,1,1
565193114,0.004781744,-0.002646642,0.010354143,5009,0,-0.70983744,0.09795494,-9.768193,5009,0,0,1,1
565198124,-0.011415698,0.0021057308,0.0053835753,5010,0,-0.69762564,0.28829876,-9.904053,5010,0,0,1,1
565203134,-0.0068421583,0.0020954444,-0.002338249,5010,0,-0.839987,0.31174523,-10.023921,5010,0,0,1,1
565208143,-0.005857644,0.0025005774,-0.0056027872,5009,0,-0.6293472,0.055731967,-9.930298,5009,0,0,1,1
565213153,-0.013038366,-0.0075308885,-0.007656161,5010,0,-0.67961,0.31706792,-9.880013,5010,0,0,1,1
565218163,-0.004160884,-0.00731043,-0.008666065,5010,0,-0.7988003,0.18395068,-9.914064,5010,0,0,1,1
565223172,-0.008399529,-0.004225488,-0.0027347456,5009,0,-0.92759234,0.333185,-9.702051,5009,0,0,1,1
565228182,-0.007032571,-0.004230676,0.002605119,5010,0,-0.6767155,0.27001938,-9.960475,5010,0,0,1,1
565233192,-0.0086219935,0.00015270934,0.004963911,5010,0,-0.56376606,0.09340866,-9.636236,5010,0,0,1,1
565238201,0.006624006,0.0057238243,0.005690514,5009,0,-0.86322147,0.18360205,-9.887443,5009,0,0,1,1
565243211,-0.003765717,-0.0063630803,0.008235212,5010,0,-0.7093582,0.39607447,-9.908903,5010,0,0,1,1
565248222,-0.0050722007,-0.0004546873,0.002242958,5011,0,-0.8216398,0.18208325,-9.6505375,5011,0,0,1,1
565253230,0.00019647749,-0.0030943933,-0.004652529,5008,0,-0.81475663,0.17481463,-10.105092,5008,0,0,1,1
565258240,-0.0054436275,0.0049352553,-0.005077084,5010,0,-0.7473562,0.23195146,-9.753139,5010,0,0,1,1
565263250,-0.009036501,-0.004713426,-0.0059759356,5010,0,-0.61017317,0.14105843,-9.983312,5010,0,0,1,1
565268259,-0.007940553,0.0017933127,-0.0077385805,5009,0,-0.74238276,0.36491808,-9.74318,5009,0,0,1,1
565273269,-0.0071848617,-0.0004804094,-0.0041978373,5010,0,-0.8292707,0.1217624,-9.9594,5010,0,0,1,1
565278278,-0.009253958,0.00031152178,0.003122768,5009,0,-0.6424009,0.2043889,-9.876974,5009,0,0,1,1
565283288,-0.0011855047,0.0018376823,0.007793577,5010,0,-0.81770176,0.23691599,-9.910202,5010,0,0,1,1
565288297,-0.004885864,-0.010031338,0.0074759102,5009,0,-0.7877232,0.35196635,-10.007592,5009,0,0,1,1
565293307,-0.0008113329,0.006772052,0.0076399376,5010,0,-0.73041856,0.077002876,-9.614689,5010,0,0,1,1
565298317,-0.0070055895,-0.0101408055,0.003791776,5010,0,-0.7350797,0.3639383,-10.073492,5010,0,0,1,1
565303326,-0.00451764,-0.0017582645,0.00038061425,5009,0,-0.8200387,0.12949853,-9.707648,5009,0,0,1,1
565308336,-0.003939789,-0.0038008434,-0.008111115,5010,0,-0.7171008,0.32625148,-10.005765,5010,0,0,1,1
565313346,-0.004498352,0.0046645827,-0.01225906,5010,0,-0.8256882,0.19352931,-9.873699,5010,0,0,1,1
565318362,-0.0027614431,-0.0004417174,-0.011090625,5016,0,-0.6667029,0.116453595,-10.098445,5016,0,0,1,1
565323365,-0.004220393,-0.001196439,-0.0057814647,5003,0,-0.7269912,0.26552108,-9.789802,5003,0,0,1,1
565328374,-0.0070965793,-0.0026138457,-0.0019148275,5009,0,-0.67940325,0.24258903,-10.023142,5009,0,0,1,1
565333384,-0.0062949792,-0.0048600943,0.0036685613,5010,0,-0.7580558,0.17271087,-9.847301,5010,0,0,1,1
565338394,-0.011001958,-0.0011903648,0.009694185,5010,0,-0.64943373,0.15749592,-9.80884,5010,0,0,1,1
565343403,-0.005489058,-0.00317081,0.01013302,5009,0,-0.8441035,0.2644477,-9.868067,5009,0,0,1,1
565348413,-0.0032134484,0.008704831,0.007961709,5010,0,-0.8208494,0.21288645,-9.857556,5010,0,0,1,1
565353423,-0.005048269,-0.0021028602,0.0056190365,5010,0,-0.77646595,0.22497292,-10.07596,5010,0,0,1,1
565358432,-0.003587291,0.002369497,-0.0022608126,5009,0,-0.6440286,0.31800246,-9.900134,5009,0,0,1,1
565363442,-0.006633908,-0.0021300584,-0.0014441253,5010,0,-0.75130266,0.36320466,-10.029832,5010,0,0,1,1
565368452,-0.0072423853,-0.0077610402,-0.0066803303,5010,0,-0.67662734,0.120884076,-9.910319,5010,0,0,1,1
565373461,-0.002803985,-0.0011220059,-0.008416683,5009,0,-0.7320338,0.28733775,-9.754476,5009,0,0,1,1
565378481,-0.0057699615,-0.010700267,-0.007801071,5020,0,-0.74855095,0.08049712,-9.9878845,5020,0,0,1,1
565383480,-0.0027601863,0.0021545815,-0.0058707697,4999,0,-1.0262457,0.24767284,-9.781565,4999,0,0,1,1
565388490,-0.00025031072,0.0064128092,0.0024677361,5010,0,-0.56712586,0.03445655,-9.993181,5010,0,0,1,1
565393500,-0.006698732,-0.013875841,-0.00031006476,5010,0,-0.6033814,0.5280746,-10.07613,5010,0,0,1,1
565398509,-0.001720721,0.0038404048,0.004043137,5009,0,-0.84989804,0.055366673,-9.748446,5009,0,0,1,1
565403519,-0.013149118,-0.0041089663,0.0036843377,5010,0,-0.77266866,0.31134588,-10.0009575,5010,0,0,1,1
565408529,-0.008863888,-0.005529372,0.0050543873,5010,0,-0.6945899,0.09452205,-9.908803,5010,0,0,1,1
565413538,-0.0046722223,0.0005996381,0.0033623762,5009,0,-0.8981073,0.30637652,-9.824239,5009,0,0,1,1
565418548,-0.010143263,0.0054645706,0.002051868,5010,0,-0.72860277,0.20571254,-9.929485,5010,0,0,1,1
565423557,-0.0049538426,-0.0009874509,-0.0014030894,5009,0,-0.8229498,0.31143856,-9.995978,5009,0,0,1,1
565428567,0.0054735965,0.0027107247,-0.0019663027,5010,0,-0.6732326,0.0900583,-10.06214,5010,0,0,1,1
565433577,-0.006821377,-0.0016752825,-0.0015259793,5010,0,-0.6455033,0.3542557,-10.026361,5010,0,0,1,1
565438586,-0.0057973866,-0.0040319795,-0.005512611,5009,0,-0.7354612,0.25743216,-9.964417,5009,0,0,1,1
565443596,-0.0016278606,0.0028502333,-0.0039445,5010,0,-0.8985756,0.12321795,-9.811135,5010,0,0,1,1
565448606,-0.0061886115,-0.0007363875,-0.0025241398,5010,0,-0.6464178,0.10765975,-9.946172,5010,0,0,1,1
565453616,-0.011174748,-0.005907888,-0.0034027095,5010,0,-0.69873923,0.42690387,-9.905817,5010,0,0,1,1
565458625,0.0010182149,-0.0010961093,0.0015907658,5009,0,-0.6816094,0.1492097,-9.775618,5009,0,0,1,1
565463638,-0.0109079145,-0.01271938,0.002900593,5013,0,-0.6988778,0.18569218,-10.137022,5013,0,0,1,1
565468644,-0.0062985504,-0.00187465,0.0014633909,5006,0,-0.7732075,0.20541023,-9.9937935,5006,0,0,1,1
565473654,-0.0030841208,-0.0022059854,0.0028145749,5010,0,-0.7901819,0.2660935,-9.860293,5010,0,0,1,1
565478663,-0.0070434087,0.0020563207,0.004108469,5009,0,-0.7439288,0.2432624,-9.783156,5009,0,0,1,1
565483673,-0.003688665,-0.006244523,0.0037310051,5010,0,-0.7672085,0.13793944,-9.910239,5010,0,0,1,1
565488682,-0.0023975272,0.002622457,0.0028464755,5009,0,-0.847341,0.42328167,-9.800016,5009,0,0,1,1
565493692,0.0003752599,-0.0021139572,-0.0031354479,5010,0,-0.50513494,0.14585574,-10.07431,5010,0,0,1,1
565498702,3.2853648e-05,-0.010242411,-0.007270741,5010,0,-0.78461903,0.18631601,-10.191712,5010,0,0,1,1
565503712,-0.0045999684,0.004994403,-0.00661936,5010,0,-0.8626117,0.22787768,-9.96994,5010,0,0,1,1
565508721,-0.008153888,0.0019193103,-0.0062009203,5009,0,-0.66362375,0.24728468,-9.841097,5009,0,0,1,1
565513735,-0.009287587,-0.00091089937,-0.0010380738,5014,0,-0.9217872,0.039245285,-9.967686,5014,0,0,1,1
565518740,-0.0076932544,0.0031603114,-0.004400815,5005,0,-0.8356113,0.45184082,-9.849563,5005,0,0,1,1
565523750,-0.010035479,0.0012017208,0.0011338487,5010,0,-0.3998143,0.04342618,-9.854819,5010,0,0,1,1
565528762,-0.005835945,-0.01698627,0.0052275113,5012,0,-0.7652317,0.5790397,-10.127093,5012,0,0,1,1
565533769,-0.008734178,0.011272741,0.00908863,5007,0,-1.0926738,-0.027287813,-9.991592,5007,0,0,1,1
565538779,-0.005807876,0.0019346869,0.009807677,5010,0,-0.6145284,0.28494477,-9.996798,5010,0,0,1,1
565543788,0.0011060612,-0.003726086,0.0072687715,5009,0,-0.71165526,0.22933248,-9.734342,5009,0,0,1,1
565548798,-0.0070937118,0.0028711553,0.0023557632,5010,0,-0.9071823,0.025037037,-9.998831,5010,0,0,1,1
565553808,-0.00044286702,0.0010860193,-0.0025322821,5010,0,-0.5536512,0.4518723,-9.701354,5010,0,0,1,1
