timestamp,timestamp_sample,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,heading_accuracy,rtcm_injection_rate,automatic_gain_control,fix_type,jamming_state,spoofing_state,vel_ned_valid,satellites_used,selected_rtcm_instance
567473660,0,1720616864250383,0,593962222,246605744,23767,42355,0.127,0.71425974,0.13100001,0.264,0.62,1.17,85,20,0.036000002,0.029000001,0.022000002,-0.128,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
567603790,0,1720616864375383,0,593962221,246605744,23846,42434,0.125,0.7142606,0.13100001,0.264,0.62,1.17,85,20,0.07,-0.069000006,-0.013,-0.397,4.019509,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
567733698,0,1720616864500383,0,593962222,246605740,23997,42586,0.126,0.57107973,0.13100001,0.264,0.61,1.13,85,20,0.109000005,0.026,-0.106000006,-0.758,4.5902843,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
567856342,0,1720616864625383,0,593962220,246605742,24089,42678,0.12200001,0.40022668,0.13100001,0.264,0.61,1.13,85,20,0.14500001,-0.119,0.083000004,-0.638,3.209713,0,nan,0.0,0.0,0.0,0,4,1,1,1,22,0
567970400,0,1720616864750383,0,593962223,246605739,24266,42854,0.13000001,0.22804698,0.13100001,0.264,0.63,1.13,85,20,0.26200002,0.224,-0.135,-0.869,5.119911,0,nan,0.0,0.0,0.0,0,4,1,1,1,21,0
568105778,0,1720616864875383,0,593962221,246605739,24358,42946,0.14600001,0.7345803,0.132,0.264,0.63,1.13,86,19,0.102000006,-0.096,-0.035,-0.68700004,4.9767036,0,nan,0.0,0.0,0.0,0,4,1,1,1,21,0
568272590,0,1720616865000383,0,593962222,246605740,24507,43095,0.155,0.7345823,0.132,0.26500002,0.63,1.13,86,19,0.036000002,-0.004,0.035,-0.845,4.9767036,0,nan,0.0,0.0,0.0,0,4,1,1,1,22,0
568356714,0,1720616865125383,0,593962221,246605736,24570,43158,0.15900001,0.54757625,0.132,0.26500002,0.64,1.2099999,86,19,0.165,-0.007,-0.164,-0.546,4.779773,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
568471188,0,1720616865250383,0,593962224,246605737,24784,43373,0.17300001,0.37395546,0.132,0.26500002,0.59999996,1.13,86,19,0.20300001,0.201,0.029000001,-1.121,5.9011226,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
568605716,0,1720616865375383,0,593962223,246605734,24932,43520,0.149,0.7523152,0.132,0.26500002,0.59999996,1.13,86,19,0.10700001,-0.035,-0.101,-1.095,5.5989184,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
568732328,0,1720616865500383,0,593962223,246605734,25115,43703,0.134,0.75231785,0.132,0.26500002,0.59999996,1.13,86,19,0.09,0.09,0.0,-1.194,5.5989184,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
568855036,0,1720616865625383,0,593962222,246605733,25226,43815,0.14400001,0.5931969,0.132,0.26500002,0.61,1.13,86,19,0.128,-0.015000001,-0.127,-0.95100003,4.9778275,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
568969744,0,1720616865750383,0,593962222,246605733,25392,43981,0.14500001,0.5932002,0.132,0.26500002,0.59999996,1.13,86,19,0.056,-0.029000001,-0.047000002,-1.125,4.9778275,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
569106662,0,1720616865875383,0,593962221,246605732,25553,44142,0.135,0.59320354,0.132,0.26500002,0.59999996,1.13,86,20,0.031000001,0.018000001,-0.025,-1.1290001,4.9778275,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
569263836,0,1720616866000384,0,593962222,246605733,25724,44313,0.134,0.5932069,0.132,0.26500002,0.59999996,1.13,86,20,0.048,0.048,0.0,-1.1650001,4.9778275,0,nan,0.0,0.0,0.0,0,4,1,1,1,23,0
