timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
565112455,565112008,2490386,2490386,-3.637021e-05,2.4222712e-05,-0.00011233229,-0.0040747635,0.0007627372,-0.048443448,4933,4933,0,0,1,1
565117445,565116952,2490386,2490386,-3.4173852e-05,1.898316e-05,-0.000108812,-0.0043638386,0.00069290824,-0.049033646,4944,4944,0,0,1,1
565122340,565121891,2490386,2490386,-1.6646512e-05,3.983278e-06,-5.9238406e-05,-0.0029829456,0.0010110434,-0.04951086,4939,4939,0,0,1,1
565127353,565126836,2490386,2490386,-4.2011332e-05,1.6554925e-05,-1.1534868e-05,-0.0031032634,-0.00016295466,-0.04826705,4945,4945,0,0,1,1
565132300,565131777,2490386,2490386,2.674949e-06,-2.7399014e-05,6.460178e-05,-0.0040166047,0.0011965686,-0.048431322,4941,4941,0,0,1,1
565137269,565136719,2490386,2490386,3.9707935e-05,6.9632097e-06,9.3993425e-05,-0.0030448413,0.00029273788,-0.04823603,4942,4942,0,0,1,1
565142188,565141661,2490386,2490386,-1.4090675e-05,-2.9674391e-05,0.00010613447,-0.003483742,0.001471575,-0.048130643,4942,4942,0,0,1,1
565146925,565146603,2490386,2490386,4.6128825e-06,1.4325853e-06,6.699328e-05,-0.004395189,0.0009461224,-0.049281545,4942,4942,0,0,1,1
565151877,565151546,2490386,2490386,-1.904911e-05,1.7243043e-05,2.7054723e-05,-0.0039296285,0.0006107707,-0.04950668,4943,4943,0,0,1,1
565156833,565156488,2490386,2490386,-2.4177454e-05,1.5916377e-05,-2.773785e-05,-0.003555971,0.001570014,-0.049693376,4942,4942,0,0,1,1
565161727,565161431,2490386,2490386,-4.2634765e-05,6.0971288e-05,-6.309654e-05,-0.0038820377,0.00047354357,-0.049114797,4943,4943,0,0,1,1
565166673,565166373,2490386,2490386,-2.3835843e-05,2.6587972e-05,-6.257171e-05,-0.004339752,0.0014214561,-0.048424926,4942,4942,0,0,1,1
565171616,565171316,2490386,2490386,1.5772752e-05,5.819375e-05,-4.290405e-05,-0.0026568787,0.00014253413,-0.04874521,4943,4943,0,0,1,1
565176615,565176258,2490386,2490386,-1.5363306e-05,2.5564346e-05,-8.311683e-06,-0.0028461213,0.00033395248,-0.048716024,4942,4942,0,0,1,1
565181490,565181200,2490386,2490386,3.9387203e-05,4.8780075e-06,3.581112e-05,-0.0042088195,0.000899738,-0.048626497,4942,4942,0,0,1,1
565186438,565186143,2490386,2490386,-3.895465e-06,3.0134508e-05,5.069829e-05,-0.0038583125,0.00036085004,-0.04902911,4943,4943,0,0,1,1
565191427,565191085,2490386,2490386,-4.2291917e-06,2.2807188e-05,5.5512053e-05,-0.0036151675,0.0015772785,-0.049382497,4942,4942,0,0,1,1
565196315,565196028,2490386,2490386,-7.125492e-06,1.9160918e-05,4.4685803e-05,-0.0034098318,0.0005241068,-0.04845469,4943,4943,0,0,1,1
565201398,565200970,2490386,2490386,-4.8553164e-05,3.778949e-05,1.6758297e-05,-0.003989107,0.0009832585,-0.04902539,4942,4942,0,0,1,1
565206368,565205926,2490386,2490386,2.4977885e-06,-1.4794825e-06,1.3553615e-06,-0.0042780605,0.0009801704,-0.048799917,4956,4956,0,0,1,1
565211414,565210855,2490386,2490386,-4.6136967e-05,-2.3073868e-08,-2.8344873e-05,-0.0028614667,0.001108031,-0.048641365,4929,4929,0,0,1,1
565216196,565215797,2490386,2490386,-4.078581e-05,2.659022e-05,-2.8002394e-05,-0.0033010186,0.0012061442,-0.04903522,4942,4942,0,0,1,1
565221218,565220740,2490386,2490386,-1.0229941e-05,5.638314e-06,-2.8932789e-06,-0.0039038374,0.00049558544,-0.048859227,4943,4943,0,0,1,1
565226192,565225688,2490386,2490386,-2.849629e-05,6.3535385e-06,-6.6301154e-06,-0.0036591077,0.000831944,-0.048628796,4948,4948,0,0,1,1
565231293,565230624,2490386,2490386,7.232558e-06,3.7616294e-06,2.6112357e-05,-0.0039048344,0.0005247137,-0.049122993,4936,4936,0,0,1,1
565235883,565235567,2490386,2490386,1.211673e-06,1.2432405e-05,3.4718512e-05,-0.0041057933,0.0014310429,-0.04927587,4943,4943,0,0,1,1
565240895,565240509,2490386,2490386,5.0953087e-05,2.8043623e-05,2.6573856e-05,-0.0031580934,-5.0662682e-05,-0.04945717,4942,4942,0,0,1,1
565245781,565245457,2490386,2490386,2.3988041e-05,-1.844123e-05,3.901934e-05,-0.0030656504,0.0014559741,-0.04916546,4948,4948,0,0,1,1
565250715,565250394,2490386,2490386,-6.593231e-06,1.4704474e-05,1.9994131e-06,-0.0044563287,0.00077070144,-0.049003158,4937,4937,0,0,1,1
565255638,565255336,2490386,2490386,1.4404931e-06,-3.876944e-06,-9.808791e-06,-0.003547484,0.0006254591,-0.04869905,4942,4942,0,0,1,1
565260610,565260279,2490386,2490386,-1.2480807e-05,4.3472006e-05,-2.5142594e-05,-0.0039445814,0.00079486636,-0.048610248,4943,4943,0,0,1,1
565265510,565265222,2490386,2490386,-4.6192665e-05,2.274371e-05,-3.0945408e-05,-0.003310348,0.0006093251,-0.048506904,4943,4943,0,0,1,1
565270459,565270164,2490386,2490386,-2.4588679e-05,3.0286192e-05,-2.3411496e-05,-0.0035083313,0.0011835453,-0.0485544,4942,4942,0,0,1,1
565275397,565275106,2490386,2490386,-2.6840884e-05,3.0910294e-05,-2.5355978e-06,-0.0036364577,0.0006068523,-0.04906594,4942,4942,0,0,1,1
565280353,565280049,2490386,2490386,-3.3979046e-05,2.7408314e-06,2.5268188e-05,-0.003573176,0.00079244294,-0.04838389,4943,4943,0,0,1,1
565285283,565284991,2490386,2490386,4.22791e-06,1.4866778e-05,5.315463e-05,-0.0041311327,0.0008296416,-0.04871153,4942,4942,0,0,1,1
565290255,565289935,2490386,2490386,-7.2538455e-06,3.107924e-06,6.067813e-05,-0.003696153,0.0012375036,-0.048801422,4944,4944,0,0,1,1
565295254,565294876,2490386,2490386,-1.974079e-05,1.8395007e-05,5.656374e-05,-0.0033351078,0.00090059283,-0.048391942,4941,4941,0,0,1,1
565300266,565299818,2490386,2490386,1.106587e-05,2.4699844e-05,2.6437432e-05,-0.0034336778,0.0006701382,-0.04882758,4942,4942,0,0,1,1
565305293,565304761,2490386,2490386,-1.3335017e-05,7.5646244e-06,-8.773799e-06,-0.003801374,0.0010400068,-0.04902035,4943,4943,0,0,1,1
565310144,565309703,2490386,2490386,1.23864165e-05,1.5452873e-05,-3.0098527e-05,-0.0040293024,0.0007855639,-0.049418673,4942,4942,0,0,1,1
565315479,565314646,2490386,2490386,-1.566185e-05,3.69921e-05,-4.8093192e-05,-0.003816978,0.00056626805,-0.04904078,4943,4943,0,0,1,1
565320138,565319588,2490386,2490386,7.5164016e-06,2.9774816e-05,-4.745971e-05,-0.0036025697,0.0008399388,-0.049050845,4942,4942,0,0,1,1
565325050,565324530,2490386,2490386,-9.3824965e-06,-1.3608551e-05,-2.2970722e-05,-0.003055442,0.00038518413,-0.04895647,4942,4942,0,0,1,1
565330275,565329473,2490386,2490386,-1.690604e-05,1.414614e-05,8.592629e-06,-0.0035170706,0.0009710512,-0.04816862,4943,4943,0,0,1,1
565335091,565334417,2490386,2490386,-2.3331424e-05,-1.381986e-05,3.1338055e-05,-0.003708037,0.0009963196,-0.048613295,4944,4944,0,0,1,1
565339747,565339358,2490386,2490386,-3.9862283e-05,5.919696e-06,5.118082e-05,-0.004015939,0.00083740434,-0.04909479,4941,4941,0,0,1,1
565345118,565344300,2490386,2490386,-1.7626242e-05,-6.008375e-06,5.3708725e-05,-0.0036635858,0.0006940199,-0.048426323,4942,4942,0,0,1,1
565349550,565349242,2490386,2490386,-5.5214973e-06,5.4366898e-05,4.53672e-05,-0.0040741535,0.0007905598,-0.049489502,4942,4942,0,0,1,1
565355532,565354185,2490386,2490386,-8.589325e-06,1.1182361e-05,3.4581415e-05,-0.0037781212,0.0012304519,-0.049237315,4943,4943,0,0,1,1
565359418,565359128,2490386,2490386,-1.4798582e-06,1.988837e-05,3.106379e-07,-0.002987571,0.00095585996,-0.04948995,4943,4943,0,0,1,1
565365094,565364070,2490386,2490386,-2.5133782e-05,4.528535e-06,-1.3890121e-05,-0.003643382,0.0010604954,-0.04916792,4942,4942,0,0,1,1
565369327,565369012,2490386,2490386,-1.8218562e-07,3.9289685e-06,-3.0388248e-05,-0.0035307005,0.0007107003,-0.048438452,4942,4942,0,0,1,1
565375249,565373954,2490386,2490386,-1.2582689e-05,1.6428448e-05,-2.394002e-05,-0.0034384327,0.0010197506,-0.048512515,4942,4942,0,0,1,1
565379545,565378897,2490386,2490386,-1.6926157e-05,-5.3181884e-06,-2.8928212e-05,-0.003738099,0.00041722794,-0.048871323,4943,4943,0,0,1,1
565384880,565383843,2490386,2490386,1.0036674e-05,2.6234025e-05,-1.132592e-05,-0.0049437406,0.00087711803,-0.048609532,4946,4946,0,0,1,1
565389359,565388782,2490386,2490386,-9.941836e-07,1.443018e-05,1.1831828e-05,-0.0028026379,0.00021867613,-0.049650848,4939,4939,0,0,1,1
565395210,565393725,2490386,2490386,-1.1760922e-06,1.5733296e-05,1.8505703e-05,-0.0031619114,0.001803898,-0.049158975,4943,4943,0,0,1,1
565399352,565398667,2490386,2490386,-1.47909e-05,3.166903e-07,2.95329e-05,-0.0041414835,0.00015422165,-0.04899611,4942,4942,0,0,1,1
565405248,565403609,2490386,2490386,-3.629047e-05,2.8130403e-06,2.8370232e-05,-0.0034865371,0.0012967363,-0.048973568,4942,4942,0,0,1,1
565409335,565408554,2490386,2490386,-1.7950497e-05,1.46775365e-05,2.3562336e-05,-0.00366193,0.0006246457,-0.048831206,4945,4945,0,0,1,1
565415558,565413496,2490386,2490386,-5.9476806e-06,1.9759344e-05,2.3520686e-05,-0.0041040876,0.0007585025,-0.04865082,4942,4942,0,0,1,1
565419962,565418436,2490386,2490386,-3.1056923e-05,3.0452846e-05,1.7918926e-05,-0.0041267397,0.0017926912,-0.048698835,4940,4940,0,0,1,1
565423701,565423378,2490386,2490386,-1.23746e-05,-7.016118e-07,1.2401102e-05,-0.00306845,0.0002504229,-0.049676917,4942,4942,0,0,1,1
565428651,565428321,2490386,2490386,3.5173132e-05,2.5941803e-05,1.3593286e-06,-0.003734161,0.00056220836,-0.049729533,4943,4943,0,0,1,1
565433564,565433264,2490386,2490386,-1.081605e-05,1.159562e-05,-1.0130412e-05,-0.0038429569,0.0011791352,-0.049753383,4943,4943,0,0,1,1
565438496,565438206,2490386,2490386,1.5215296e-07,-2.2524e-07,-1.8097933e-05,-0.0038133794,0.0004496952,-0.048939057,4942,4942,0,0,1,1
565443442,565443148,2490386,2490386,4.555711e-06,4.468075e-05,-1.9215446e-05,-0.0040019318,0.00064392533,-0.04902964,4942,4942,0,0,1,1
565448448,565448090,2490386,2490386,-2.910561e-05,2.157017e-05,-1.3652657e-05,-0.0034979235,0.0015824785,-0.048928633,4942,4942,0,0,1,1
565453321,565453033,2490386,2490386,-2.1575424e-05,5.463349e-06,-5.313974e-06,-0.002626509,0.0003677426,-0.048388924,4943,4943,0,0,1,1
565458270,565457975,2490386,2490386,-8.319307e-06,5.62829e-06,1.904359e-05,-0.0035059017,0.0009653279,-0.048819058,4942,4942,0,0,1,1
565463207,565462918,2490386,2490386,-4.4971533e-05,-3.936474e-05,2.1196513e-05,-0.003641227,0.00076933776,-0.048551276,4943,4943,0,0,1,1
565468175,565467861,2490386,2490386,-2.5471882e-05,-1.1262867e-06,1.6153064e-05,-0.0038168153,0.0010870808,-0.049771875,4943,4943,0,0,1,1
565473148,565472811,2490386,2490386,-3.6527947e-06,3.4639952e-06,3.4586017e-05,-0.0044455323,0.00010081423,-0.049602948,4950,4950,0,0,1,1
565478198,565477745,2490386,2490386,-2.6623715e-05,3.76821e-05,3.5216468e-05,-0.0038899458,0.0016923922,-0.048359886,4934,4934,0,0,1,1
565483114,565482689,2490386,2490386,-1.2675649e-06,3.7408758e-05,3.3358217e-05,-0.0034556768,0.00046053837,-0.04907711,4944,4944,0,0,1,1
565488137,565487630,2490386,2490386,4.7715366e-06,2.9083487e-05,2.1876545e-05,-0.0036714945,0.0010336526,-0.048332863,4941,4941,0,0,1,1
