timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
564935683,564935315,2490386,-1.0172963,0.16352397,-9.979511,51.65459,0,0,0,0,10
564936945,564936551,2490386,-0.88992476,0.09624691,-10.031226,51.61836,0,0,0,0,10
564938071,564937787,2490386,-0.84108305,0.28293478,-9.39407,51.74517,0,0,0,0,10
564939332,564939022,2490386,-0.8841787,0.22337902,-9.79037,51.70894,0,0,0,0,10
564940566,564940258,2490386,-1.0939108,0.11731589,-10.196905,51.57005,0,0,0,0,10
564941905,564941493,2490386,-0.75680715,0.13263878,-9.589736,51.630436,0,0,0,0,10
564943159,564942730,2490386,-1.0199299,0.39432502,-9.562442,51.7029,0,0,0,0,10
564944337,564943965,2490386,-0.9232042,0.16304514,-9.902179,51.630436,0,0,0,0,10
564945569,564945202,2490386,-1.0074801,0.07230489,-10.148542,51.57005,0,0,0,0,10
564946832,564946436,2490386,-0.761835,0.236188,-9.3318205,51.497585,0,0,0,0,10
564948068,564947674,2490386,-0.9533711,0.27437553,-9.816945,51.52778,0,0,0,0,10
564949320,564948907,2490386,-1.0230424,0.08020576,-10.081265,51.69686,0,0,0,0,10
564950640,564950143,2490386,-0.84299845,0.107739076,-9.7738495,51.66063,0,0,0,0,10
564951896,564951378,2490386,-0.93738985,0.36750996,-9.433394,51.678745,0,0,0,0,10
564952811,564952614,2490386,-0.9495404,0.21452047,-9.90577,51.690823,0,0,0,0,10
564956509,564956320,2490386,-1.1602302,0.9938331,-9.623973,51.648552,0,0,0,0,10
564961469,564961263,2490386,-0.88034797,-0.3406949,-10.107122,51.455315,0,0,0,0,10
564962708,564962499,2490386,-1.3227965,0.8937555,-9.779356,51.61836,0,0,0,0,10
564966390,564966205,2490386,-1.3223176,0.13359645,-9.8262825,51.624397,0,0,0,0,10
564971356,564971148,2490386,-1.1484985,-0.061770406,-10.259394,51.74517,0,0,0,0,10
564973821,564973619,2490386,-0.8252813,0.34476504,-9.717107,51.727055,0,0,0,0,10
564977525,564977326,2490386,-0.8461109,0.05626374,-9.782948,51.781403,0,0,0,0,10
564981221,564981033,2490386,-0.7699753,0.13215993,-9.625409,51.666668,0,0,0,0,10
564984925,564984740,2490386,-0.7369353,0.06488287,-10.173921,51.65459,0,0,0,0,10
564988635,564988446,2490386,-1.0105926,2.5574863,-9.86866,51.594204,0,0,0,0,10
564991115,564990917,2490386,-1.694616,0.631351,-9.955569,51.65459,0,0,0,0,10
564994827,564994625,2490386,-1.1408371,0.074220255,-9.321345,51.666668,0,0,0,0,10
564998520,564998331,2490386,-1.7702727,-0.12306197,-9.653421,51.557972,0,0,0,0,10
565002223,565002038,2490386,-1.7848774,1.5344439,-9.233718,51.624397,0,0,0,0,10
565005943,565005746,2490386,-0.7335834,0.7553706,-9.900024,51.630436,0,0,0,0,10
565008409,565008216,2490386,-0.57819974,0.7493851,-9.603382,51.75121,0,0,0,0,10
565012192,565011923,2490386,-0.12761095,-0.24013843,-9.585905,51.678745,0,0,0,0,10
565015924,565015633,2490386,-1.438197,-0.0014365211,-9.179369,51.678745,0,0,0,0,10
565019622,565019337,2490386,-1.4176068,0.52289367,-10.252212,51.70894,0,0,0,0,10
565023403,565023043,2490386,-0.52648497,1.1731589,-9.754696,51.449276,0,0,0,0,10
565025861,565025514,2490386,-0.34596214,-0.3394978,-10.20313,51.636475,0,0,0,0,10
565029626,565029224,2490386,-0.7548918,0.04094085,-9.281841,51.727055,0,0,0,0,10
565033255,565032928,2490386,-1.54019,-0.009337387,-10.464816,51.69686,0,0,0,0,10
565037012,565036635,2490386,-1.7796102,0.88369983,-9.869857,51.69686,0,0,0,0,10
565040723,565040342,2490386,-0.43580458,1.100375,-8.9272,51.630436,0,0,0,0,10
565045490,565045284,2490386,-0.78817123,-0.5260061,-10.8165245,51.74517,0,0,0,0,10
565046703,565046520,2490386,-1.120247,0.34380737,-9.841605,51.61836,0,0,0,0,10
565050416,565050226,2490386,-1.2562376,0.15705964,-11.025299,51.648552,0,0,0,0,10
565055383,565055169,2490386,-1.6857574,1.4858416,-10.079589,51.52174,0,0,0,0,10
565057826,565057640,2490386,-0.7750031,2.2670696,-9.895475,51.61232,0,0,0,0,10
565061528,565061347,2490386,-0.9150639,-0.28491,-9.699869,51.636475,0,0,0,0,10
565065242,565065054,2490386,-0.13479356,-0.9342175,-10.620679,51.61232,0,0,0,0,10
565068955,565068761,2490386,-1.327106,1.3872005,-9.985019,51.678745,0,0,0,0,10
565071422,565071232,2490386,-1.0292673,0.83581585,-11.526166,51.624397,0,0,0,0,10
565075128,565074942,2490386,-0.4699818,0.82534117,-8.849508,51.56401,0,0,0,0,10
565078839,565078652,2490386,-1.1456255,0.52528787,-9.471702,51.57005,0,0,0,0,10
565082560,565082352,2490386,-0.9287109,1.0266337,-9.64576,51.690823,0,0,0,0,10
565086245,565086059,2490386,-1.8035522,0.9888053,-8.671799,51.642513,0,0,0,0,10
565089973,565089766,2490386,-1.1575966,-0.044292733,-10.637198,51.61836,0,0,0,0,10
565092449,565092239,2490386,-1.7044921,0.5767632,-8.064689,51.7029,0,0,0,0,10
565096143,565095944,2490386,-0.66534865,0.8480263,-10.586681,51.582127,0,0,0,0,10
565099856,565099651,2490386,-0.62464726,-0.5796362,-10.584047,51.727055,0,0,0,0,10
565103572,565103365,2490386,-1.8846557,1.211047,-9.08007,51.666668,0,0,0,0,10
565106035,565105829,2490386,-1.1142615,0.0059855045,-10.189723,51.57005,0,0,0,0,10
565109791,565109537,2490386,-0.88202393,0.598311,-8.946893,51.7029,0,0,0,0,10
565113654,565113242,2490386,-0.6895301,0.5681441,-9.132443,51.52174,0,0,0,0,10
565117390,565116952,2490386,-0.4036624,0.79367787,-9.803778,51.7029,0,0,0,0,10
565121073,565120656,2490386,-0.2789245,-0.24732104,-10.901998,51.485508,0,0,0,0,10
565124681,565124363,2490386,-1.4453796,0.4072537,-9.041943,51.467392,0,0,0,0,10
565128435,565128069,2490386,-1.1031883,1.0345944,-9.284595,51.594204,0,0,0,0,10
565131020,565130541,2490386,-1.2804191,1.1422737,-9.586144,51.74517,0,0,0,0,10
565135667,565135483,2490386,-1.3515269,0.0016759412,-8.762539,51.551933,0,0,0,0,10
565138138,565137954,2490386,-0.92775315,0.4156334,-10.66162,51.66063,0,0,0,0,10
