i,timestamp(ns),gain,exposure(ns),format,height,width,frame_id,reserved
0,592069227807,41,1567398,1,1080,1920,15549,0
1,592169071807,41,1567398,1,1080,1920,15552,0
2,592268987807,41,1567398,1,1080,1920,15555,0
3,592368767807,41,1567398,1,1080,1920,15558,0
4,592468614807,41,1567398,1,1080,1920,15561,0
5,592568461807,41,1567398,1,1080,1920,15564,0
6,592668407807,41,1567398,1,1080,1920,15567,0
7,592768155807,41,1567398,1,1080,1920,15570,0
8,592868011807,41,1567398,1,1080,1920,15573,0
9,592967800561,41,1619644,1,1080,1920,15576,0
10,593067646561,41,1619644,1,1080,1920,15579,0
11,593167499561,41,1619644,1,1080,1920,15582,0
12,593267341561,41,1619644,1,1080,1920,15585,0
13,593400473561,41,1619644,1,1080,1920,15588,0
14,593500317561,41,1619644,1,1080,1920,15591,0
15,593600167561,41,1619644,1,1080,1920,15594,0
16,593700018561,41,1619644,1,1080,1920,15597,0
17,593799859561,41,1619644,1,1080,1920,15600,0
18,593933018561,41,1619644,1,1080,1920,15603,0
19,594066120561,41,1619644,1,1080,1920,15606,0
20,594165970561,41,1619644,1,1080,1920,15609,0
21,594265814561,41,1619644,1,1080,1920,15612,0
22,594365668561,41,1619644,1,1080,1920,15615,0
23,594465514561,41,1619644,1,1080,1920,15618,0
24,594565357561,41,1619644,1,1080,1920,15621,0
25,594665206561,41,1619644,1,1080,1920,15624,0
26,594765070561,41,1619644,1,1080,1920,15627,0
27,594864914561,41,1619644,1,1080,1920,15630,0
28,594964747561,41,1619644,1,1080,1920,15633,0
29,595064603561,41,1619644,1,1080,1920,15636,0
30,595164445561,41,1619644,1,1080,1920,15639,0
31,595264289561,41,1619644,1,1080,1920,15642,0
32,595364154561,41,1619644,1,1080,1920,15645,0
33,595463989561,41,1619644,1,1080,1920,15648,0
34,595563840561,41,1619644,1,1080,1920,15651,0
35,595663683561,41,1619644,1,1080,1920,15654,0
36,595763527561,41,1619644,1,1080,1920,15657,0
37,595863377561,41,1619644,1,1080,1920,15660,0
38,595996513561,41,1619644,1,1080,1920,15663,0
39,596096359561,41,1619644,1,1080,1920,15666,0
40,596196206561,41,1619644,1,1080,1920,15669,0
41,596296051561,41,1619644,1,1080,1920,15672,0
42,596429177561,41,1619644,1,1080,1920,15675,0
43,596529027561,41,1619644,1,1080,1920,15678,0
44,596628884561,41,1619644,1,1080,1920,15681,0
45,596728727561,41,1619644,1,1080,1920,15684,0
46,596828569561,41,1619644,1,1080,1920,15687,0
47,596928414561,41,1619644,1,1080,1920,15690,0
48,597028261561,41,1619644,1,1080,1920,15693,0
49,597128125561,41,1619644,1,1080,1920,15696,0
50,597228023561,41,1619644,1,1080,1920,15699,0
51,597327877561,41,1619644,1,1080,1920,15702,0
52,597427656561,41,1619644,1,1080,1920,15705,0
53,597527503561,41,1619644,1,1080,1920,15708,0
54,597627405561,41,1619644,1,1080,1920,15711,0
55,597727201561,41,1619644,1,1080,1920,15714,0
56,597827042561,41,1619644,1,1080,1920,15717,0
57,597926901561,41,1619644,1,1080,1920,15720,0
58,598026739561,41,1619644,1,1080,1920,15723,0
59,598126595561,41,1619644,1,1080,1920,15726,0
60,598226433561,41,1619644,1,1080,1920,15729,0
61,598326282561,41,1619644,1,1080,1920,15732,0
62,598426130561,41,1619644,1,1080,1920,15735,0
63,598526027561,41,1619644,1,1080,1920,15738,0
64,598625825561,41,1619644,1,1080,1920,15741,0
65,598725745561,41,1619644,1,1080,1920,15744,0
66,598825521561,41,1619644,1,1080,1920,15747,0
67,598925363561,41,1619644,1,1080,1920,15750,0
68,599025212561,41,1619644,1,1080,1920,15753,0
69,599125058561,41,1619644,1,1080,1920,15756,0
70,599258200561,41,1619644,1,1080,1920,15759,0
71,599358059561,41,1619644,1,1080,1920,15762,0
72,599457886561,41,1619644,1,1080,1920,15765,0
73,599557732561,41,1619644,1,1080,1920,15768,0
74,599657581561,41,1619644,1,1080,1920,15771,0
75,599757431561,41,1619644,1,1080,1920,15774,0
76,599857276561,41,1619644,1,1080,1920,15777,0
77,599957121561,41,1619644,1,1080,1920,15780,0
78,600056967561,41,1619644,1,1080,1920,15783,0
79,600156819561,41,1619644,1,1080,1920,15786,0
80,600256669561,41,1619644,1,1080,1920,15789,0
81,600356522561,41,1619644,1,1080,1920,15792,0
82,600456367561,41,1619644,1,1080,1920,15795,0
83,600556209561,41,1619644,1,1080,1920,15798,0
84,600656055561,41,1619644,1,1080,1920,15801,0
85,600755905561,41,1619644,1,1080,1920,15804,0
86,600855750561,41,1619644,1,1080,1920,15807,0
87,600955596561,41,1619644,1,1080,1920,15810,0
88,601088738561,41,1619644,1,1080,1920,15813,0
89,601188572561,41,1619644,1,1080,1920,15816,0
90,601288422561,41,1619644,1,1080,1920,15819,0
91,601388274561,41,1619644,1,1080,1920,15822,0
92,601488116561,41,1619644,1,1080,1920,15825,0
93,601588016561,41,1619644,1,1080,1920,15828,0
94,601687809561,41,1619644,1,1080,1920,15831,0
95,601787660561,41,1619644,1,1080,1920,15834,0
96,601887505561,41,1619644,1,1080,1920,15837,0
97,602020638561,41,1619644,1,1080,1920,15840,0
98,602120486561,41,1619644,1,1080,1920,15843,0
99,602220340561,41,1619644,1,1080,1920,15846,0
