Unnamed: 0,timestamp,device_id,AX(m/s2),AY(m/s2),AZ(m/s2),GX(rad/s),GY(rad/s),GZ(rad/s),T(C)
0,603047167,3670026,0.7192182,0.24612394,-10.273998,0.013741911,-0.015552861,0.034621093,44.108936
1,603048424,3670026,0.2633622,0.6157887,-10.491871,0.0030892668,-0.028229509,0.06455503,44.045288
2,603049824,3670026,-1.1247959,-0.22984336,-11.020511,0.04580637,0.000958738,0.034461305,44.094246
3,603051065,3670026,-0.50517654,-0.9959879,-10.224678,0.004261058,-0.00628506,0.050653324,44.108936
4,603052352,3670026,-0.32561144,0.7752425,-9.799468,-0.018642128,-0.00058589544,0.06364955,44.07956
5,603053573,3670026,-0.20925324,0.88010854,-10.431537,0.015180019,0.0044208476,0.06130597,44.11383
6,603054748,3670026,-0.863828,0.25139117,-10.889787,0.020932447,0.002396845,0.03723099,44.050182
7,603056023,3670026,0.0545878,0.3677494,-8.717289,-0.018535601,0.019973708,0.04426174,44.069767
8,603057236,3670026,-0.6603208,2.4028208,-10.164344,-0.07020093,0.021092236,0.020879183,44.172585
9,603058461,3670026,0.8154651,-2.765303,-11.696633,0.023861924,0.018748654,0.015233281,44.07956
10,603059688,3670026,0.047405194,1.5169662,-10.48804,-0.046125952,-0.010386328,0.051292483,44.1481
11,603060946,3670026,-0.818817,1.421677,-9.847831,-0.038935415,0.024394555,0.014327806,44.13831
12,603062257,3670026,-0.7608773,-2.4152708,-11.274296,0.007882956,0.017044231,0.0061252704,44.133415
13,603063459,3670026,-0.5664681,2.0087352,-9.799468,-0.09305085,0.020559603,0.0030892668,44.069767
14,603064692,3670026,0.5200206,-2.228523,-10.336726,-0.034834146,0.03669836,-0.018908443,44.10404
15,603067197,3670026,0.16424224,3.368163,-8.080431,-0.055926383,0.026045715,-0.02828277,44.08935
16,603069697,3670026,0.9318233,0.9514558,-8.2322235,-0.10508834,0.036485307,-0.084741786,44.050182
17,603072219,3670026,0.2657564,-0.11492168,-10.9582615,0.004740427,-0.006764429,-0.054488275,44.04039
18,603075981,3670026,-0.29209262,0.38163576,-10.100658,-0.07584683,0.007190535,-0.031531826,44.084454
19,603079729,3670026,-0.8082825,0.79439616,-9.143456,-0.07323693,0.034301516,0.0063915867,44.11873
20,603083471,3670026,0.23511061,1.502601,-9.866984,-0.036804885,-0.027696876,0.022903185,44.123623
21,603087224,3670026,0.6004658,0.76710224,-10.138966,-0.012463594,-0.010918961,0.060400493,44.094246
22,603089739,3670026,-0.56072205,-1.3081918,-10.310869,0.014647386,-0.026471822,0.048043426,44.084454
23,603097242,3670026,-0.19297266,-0.07565677,-10.348698,-0.058909122,-0.024820661,0.018908443,44.099144
24,603098501,3670026,0.1067814,0.12354081,-9.739134,-0.0116113825,-0.015180019,-0.014966966,44.074665
25,603101009,3670026,0.17190368,-0.5013458,-10.060435,-0.027963191,-0.02199771,-0.016990967,44.08935
26,603107259,3670026,-0.5688623,1.9651607,-10.914687,-0.03552657,0.0073503247,-0.035153728,44.011017
27,603108523,3670026,-0.1292869,-0.19632454,-11.400231,-0.05225122,-0.014487596,-0.04745753,44.07956
28,603111034,3670026,-0.638773,1.4853628,-10.644621,-0.058696073,-0.0030360036,-0.019387813,44.059975
29,603116025,3670026,-0.11204864,-1.9598936,-10.693941,0.02844256,-0.0050067427,0.0037816889,44.069767
30,603118527,3670026,-0.6114791,-0.007182605,-10.078153,-0.008948221,0.010652645,0.021358551,44.045288
31,603122288,3670026,0.12497733,-0.21883003,-11.575486,-5.3263222e-05,0.0041545313,0.032170985,44.059975
32,603126193,3670026,-0.5061343,0.35338417,-11.519941,-0.017257284,0.011558119,0.016564863,44.108936
33,603128690,3670026,-0.2858677,-1.2047623,-11.526645,-0.0479369,-0.0360592,0.040906154,44.10404
34,603132428,3670026,-0.15322891,0.9399636,-8.736443,-0.06897587,0.00079894834,0.005060006,44.08935
35,603136153,3670026,-0.78865004,-0.034955345,-9.772174,-0.036112465,0.005539375,-0.02231729,44.10404
36,603139921,3670026,0.082360536,-0.8384494,-11.028651,-0.011771172,0.02844256,-0.015126755,44.099144
37,603142395,3670026,-1.055843,0.45537716,-8.507556,-0.038722362,0.028389297,-0.0015446334,44.11383
38,603146176,3670026,-0.69671273,0.5731719,-8.504205,0.016405072,0.036911413,-0.01688444,44.050182
39,603149916,3670026,0.20159179,-0.039743748,-11.893436,-0.047031425,0.01422128,0.0080960095,44.059975
40,603153640,3670026,0.4261679,2.4870968,-9.937374,-0.036751624,0.01304949,0.00042610578,44.074665
41,603157332,3670026,-0.5765238,2.7581203,-10.046549,-0.008468852,-0.007403588,0.01768339,44.045288
42,603159842,3670026,-0.43718123,-0.13934255,-9.731951,-0.021571605,-0.014913702,0.015126755,44.08935
43,603166110,3670026,-0.773806,0.5353435,-10.4980955,-0.0030892668,0.0041545313,-0.01885518,44.04039
44,603168617,3670026,0.4357447,-0.009097966,-9.301952,-0.045593318,0.015339808,-0.013315805,44.11873
45,603171121,3670026,0.13311762,1.0879253,-10.820355,-0.021358551,0.004314321,-0.018056232,44.064873
46,603176132,3670026,-0.18722658,-2.435382,-11.2896185,-0.00314253,-0.036751624,-0.022796659,44.050182
47,603177379,3670026,0.088585466,1.3354857,-8.565975,-0.031638354,0.00085221155,-0.004101268,44.099144
48,603181129,3670026,-0.9911995,-0.9126697,-9.54664,-0.006764429,-0.017470337,0.0046871635,44.006123
49,603186127,3670026,-1.127669,1.7166426,-8.912176,-0.050227217,0.010173275,0.016458336,44.064873
50,603188650,3670026,1.0840945,-0.5147534,-11.25179,-0.03723099,0.0073503247,0.02860235,44.069767
51,603192388,3670026,-0.004309563,-1.0869676,-9.404425,-0.04862932,0.027909929,0.00063915865,44.035496
52,603194908,3670026,1.1678916,2.0446482,-11.046846,-0.0505468,-0.0075101145,0.0080960095,44.0306
53,603198665,3670026,-0.23127988,0.8034941,-8.924148,-0.045859635,-0.013209279,-0.022210764,43.996326
54,603202403,3670026,-0.98449576,-0.4156334,-11.237905,-0.0005326322,-0.017896442,-0.016298546,44.12852
55,603206181,3670026,-0.20685902,0.4486734,-11.689929,-0.049960904,0.008948221,-0.008735169,44.01591
56,603209924,3670026,0.6301539,-1.7793707,-9.536584,-0.0340352,0.028708877,0.0014913703,44.0306
57,603212424,3670026,-0.25187004,2.0848708,-11.409808,-0.010226538,-0.0060187443,0.0175236,43.976746
58,603216187,3670026,-0.86813754,0.5061343,-10.73177,-0.00974717,0.01107875,-0.00090547476,44.069767
59,603219950,3670026,-1.094629,0.725922,-8.900684,-0.008202536,0.028389297,0.026205506,44.050182
60,603226244,3670026,-0.033997666,0.8652645,-9.179369,-0.05848302,0.033502568,0.002130529,44.08935
61,603227475,3670026,0.01388637,0.53917426,-12.686396,-0.04697816,0.021518342,0.028708877,44.025703
62,603229966,3670026,-0.2624045,-1.1990162,-11.267114,-0.026418557,-0.025992453,-0.016245283,44.064873
63,603236398,3670026,-0.45394066,-0.27437553,-10.704476,-0.07201187,-0.015819177,-0.020772656,44.035496
64,603237586,3670026,-0.18674773,0.60286,-10.722193,-0.032650355,0.012410331,-0.008362326,44.069767
65,603241266,3670026,0.039743748,-1.6117766,-10.240001,-0.06924219,-0.0037816889,-0.01587244,44.035496
66,603243734,3670026,-0.31124622,1.880406,-10.928574,-0.0046871635,-0.008415589,-0.0010652645,44.094246
67,603248739,3670026,-0.2825158,-0.020590134,-10.774865,-0.019920446,-0.021465078,0.043249737,44.069767
68,603251229,3670026,0.13934255,0.5597644,-9.752063,-0.019228023,-0.00074568513,0.017257284,44.084454
69,603254989,3670026,-1.4973338,1.7812861,-9.829635,-0.006764429,0.00031957933,0.026205506,44.0306
70,603258772,3670026,0.010534488,-1.0941502,-11.418905,-0.04974785,0.0032490566,0.040107206,44.08935
71,603261245,3670026,-0.88729113,0.26767176,-9.295728,-0.030466562,-0.004580637,0.00031957933,44.050182
72,603265034,3670026,0.5257667,0.20398599,-10.117896,0.015339808,0.0037284256,-0.0029294773,44.05508
73,603268808,3670026,1.1420342,2.1586123,-9.561006,-0.019707393,0.008948221,-0.019281287,44.035496
74,603273802,3670026,-0.20254947,-0.52049947,-11.01668,0.012463594,-0.010546118,-0.036005937,44.04039
75,603276274,3670026,-1.013705,2.1590912,-9.36899,-0.07105314,0.010599381,-0.023062976,44.006123
76,603278786,3670026,0.04644751,1.2756307,-10.362584,-0.0022370552,0.0036751623,-0.016990967,44.0306
77,603283801,3670026,0.5497087,-0.5080496,-10.49235,-0.004101268,-0.0050067427,0.016564863,44.064873
78,603286297,3670026,-1.3072342,1.6299726,-10.3692875,-0.03797668,0.00085221155,0.007829694,44.069767
79,603290053,3670026,-0.16041152,-0.60094464,-11.522814,-0.041545313,-0.015606124,0.044368263,44.074665
80,603293813,3670026,0.40318358,-0.59663504,-9.714713,0.014860439,0.0,0.016458336,44.05508
81,603296323,3670026,-1.2770672,1.0788273,-9.915347,-0.014807176,0.018961707,0.0072970614,44.069767
82,603300086,3670026,0.107260235,0.20398599,-9.843042,-0.024394555,0.019707393,-0.016724652,44.084454
83,603303825,3670026,0.101992995,1.1530476,-9.514558,-0.018216021,0.019068234,-0.0063383235,44.064873
84,603307582,3670026,0.588016,1.0132262,-9.421662,-0.02924151,0.02892193,-0.01438107,44.045288
85,603311487,3670026,-0.5267244,-0.71155673,-9.7434435,-0.04346279,0.0030892668,0.0017576864,44.011017
86,603315174,3670026,-0.4295198,0.35817257,-10.594342,-0.0700944,-0.008415589,-0.007882956,44.006123
87,603317725,3670026,-0.11971009,1.3177686,-9.85597,-0.035100464,0.011132013,0.019654129,44.0306
88,603321352,3670026,-1.1324574,1.1334151,-10.138008,-0.071479246,-0.003834952,0.021145498,44.025703
89,603326504,3670026,-0.7331046,-0.9409213,-10.716447,-0.022743396,0.0015978967,0.041012682,44.064873
90,603328949,3670026,-0.725922,0.9902418,-10.583329,-0.03653857,-0.01257012,-0.009161274,44.04039
